workflow,nodes,networkspeed,filesystem,avgTransferSpeed,factor
Synthetic_Blast_200,8,1,ceph,246.43083624624688,196.05325434657294
Synthetic_Blast_200,8,1,nfs,223.00947582074832,188.8575601209176
Synthetic_Bwa_200,8,1,ceph,81.7224771080351,44.820386096199485
Synthetic_Bwa_200,8,1,nfs,80.45765517598366,43.81434351230496
Synthetic_Cycles_200,8,1,ceph,207.72893578895517,77.20309631649059
Synthetic_Cycles_200,8,1,nfs,203.71131822917502,78.53041629383985
Synthetic_Genome_200,8,1,ceph,155.16372682178877,64.31350063579761
Synthetic_Genome_200,8,1,nfs,144.5222997166468,73.08923781690721
Synthetic_Montage_200,8,1,ceph,259.8950556513879,155.6511103720672
Synthetic_Montage_200,8,1,nfs,257.6278204009595,163.87999348848894
Synthetic_Seismology_200,8,1,ceph,174.31079120206084,168.68029230064633
Synthetic_Seismology_200,8,1,nfs,172.17546726065325,162.24960138144334
Synthetic_Soykb_200,8,1,ceph,121.56496107478824,60.619917184153316
Synthetic_Soykb_200,8,1,nfs,189.60817510808042,123.64443824990394
allIntoOne,2,1,ceph,109.68609595733726,49.99891808822554
allIntoOne,2,1,nfs,110.16788786028134,49.99890116476139
allIntoOne,4,1,ceph,145.2148866287731,73.96879654324493
allIntoOne,4,1,nfs,145.10754387856582,73.87079910865701
allIntoOne,6,1,ceph,151.97903674219864,82.11059264345211
allIntoOne,6,1,nfs,154.16168321696176,81.93295973287793
allIntoOne,8,1,ceph,160.5692846079597,86.07371255440613
allIntoOne,8,1,nfs,161.57262812686193,85.37080493270854
allIntoOne,8,2,ceph,245.17358417682823,86.40624170147028
allIntoOne,8,2,nfs,241.79443096772644,85.59065554003547
chain,2,1,ceph,155.54849401446688,41.59585357456027
chain,2,1,nfs,154.90040004690013,42.53543700784637
chain,4,1,ceph,212.82494349210845,27.266987801659543
chain,4,1,nfs,203.94404980295178,26.595470263662897
chain,6,1,ceph,249.6202206497685,21.80711541795738
chain,6,1,nfs,258.1219737103406,23.93216395586323
chain,8,1,ceph,275.7351060564725,19.704287065846465
chain,8,1,nfs,312.08606486465703,20.878912849063592
chain,8,2,ceph,517.6410530010598,35.76455250821982
chain,8,2,nfs,561.8193011476206,38.37321585912029
chipseq,2,1,ceph,15.101853732050573,80.1964953340541
chipseq,2,1,nfs,15.015214161084083,79.61023880654999
chipseq,4,1,ceph,69.23408159773004,184.6280618911133
chipseq,4,1,nfs,68.54238792682149,186.82362636518727
chipseq,6,1,ceph,139.98971308802462,255.48574133972352
chipseq,6,1,nfs,135.22239390199047,258.3463150407797
chipseq,8,1,ceph,208.1397003274094,291.14573300360547
chipseq,8,1,nfs,199.88948312678164,308.2809946598771
chipseq,8,2,ceph,255.55749971985395,356.12373812861983
chipseq,8,2,nfs,265.64944938628383,377.5309822803373
fork,2,1,ceph,3.6649260128971286,0.9884745543820711
fork,2,1,nfs,3.972283124876653,0.9884783911551178
fork,4,1,ceph,18.77591022480199,2.9686945121685513
fork,4,1,nfs,19.75363438233218,2.9686906753955045
fork,6,1,ceph,37.33231494833807,4.948902959635891
fork,6,1,nfs,39.48867936335173,4.948902959635891
fork,8,1,ceph,52.2432696428836,6.929115243876277
fork,8,1,nfs,55.98438832979525,6.929119080649325
fork,8,2,ceph,67.29491060313742,6.929111407103231
fork,8,2,nfs,73.16204625858188,6.929115243876277
group,2,1,ceph,98.94965724912338,19.453708058537227
group,2,1,nfs,96.42798991995463,18.7821691070505
group,4,1,ceph,163.16960281403377,22.173962369626736
group,4,1,nfs,173.91702607059233,24.561126388344256
group,6,1,ceph,261.39176913970203,28.278413458897234
group,6,1,nfs,278.3939614308892,34.99529646248158
group,8,1,ceph,339.5563327768867,34.028655986868465
group,8,1,nfs,326.69430024819155,34.97205853959608
group,8,2,ceph,513.7881922188334,39.502171555864294
group,8,2,nfs,556.0573927938502,38.7418292575582
groupMultiple,2,1,ceph,98.74207683851652,18.314535888075493
groupMultiple,2,1,nfs,94.16038272191123,17.004334717277047
groupMultiple,4,1,ceph,192.28192877740918,25.216560988153752
groupMultiple,4,1,nfs,216.75617613514032,26.896841445901607
groupMultiple,6,1,ceph,284.52386627512794,30.110822679031397
groupMultiple,6,1,nfs,284.80758296517695,32.71535505097711
groupMultiple,8,1,ceph,364.11738943602626,33.78729513382419
groupMultiple,8,1,nfs,352.98768738653536,35.16935893445868
groupMultiple,8,2,ceph,591.035622378827,39.809404950460255
groupMultiple,8,2,nfs,632.036826207524,41.22467397951709
rangeland,8,1,ceph,38.33909395269701,130.4454351690194
rangeland,8,1,nfs,35.94635350942383,121.09668997866085
rnaseq,8,1,ceph,131.20693240523846,186.7713359758292
rnaseq,8,1,nfs,121.47205336496556,232.13168816259903
sarek,8,1,ceph,180.3190804448253,334.29235289849476
sarek,8,1,nfs,171.98865253627412,348.10366744528056
