workflow;nodes;networkspeed;filesystem;notCopied;usefulCopied;uselessCopied;notCopiedPercent;usefulCopiedPercent
allIntoOne;8;1;ceph;100.000;1.000;1.000;99.010;0.990
allIntoOne;8;1;ceph;100.000;1.000;1.000;99.010;0.990
allIntoOne;8;1;ceph;100.000;1.000;1.000;99.010;0.990
allIntoOne;8;1;nfs;100.000;1.000;1.000;99.010;0.990
allIntoOne;8;1;nfs;100.000;1.000;1.000;99.010;0.990
allIntoOne;8;1;nfs;100.000;1.000;1.000;99.010;0.990
chain;8;1;ceph;197.000;3.000;35.000;98.500;1.500
chain;8;1;ceph;197.000;3.000;36.000;98.500;1.500
chain;8;1;ceph;198.000;2.000;39.000;99.000;1.000
chain;8;1;nfs;197.000;3.000;46.000;98.500;1.500
chain;8;1;nfs;198.000;2.000;36.000;99.000;1.000
chain;8;1;nfs;198.000;2.000;39.000;99.000;1.000
chipseq;8;1;ceph;2812.000;725.000;3260.000;79.502;20.498
chipseq;8;1;ceph;2817.000;720.000;3297.000;79.644;20.356
chipseq;8;1;ceph;2825.000;712.000;3354.000;79.870;20.130
chipseq;8;1;nfs;2767.000;770.000;3426.000;78.230;21.770
chipseq;8;1;nfs;2790.000;747.000;3466.000;78.880;21.120
chipseq;8;1;nfs;2821.000;716.000;3442.000;79.757;20.243
fork;8;1;ceph;100.000;1.000;6.000;99.010;0.990
fork;8;1;ceph;100.000;1.000;6.000;99.010;0.990
fork;8;1;ceph;101.000;0.000;7.000;100.000;0.000
fork;8;1;nfs;101.000;0.000;7.000;100.000;0.000
fork;8;1;nfs;100.000;1.000;6.000;99.010;0.990
fork;8;1;nfs;100.000;1.000;6.000;99.010;0.990
group;8;1;ceph;101.000;33.000;6.000;75.373;24.627
group;8;1;ceph;104.000;30.000;8.000;77.612;22.388
group;8;1;ceph;102.000;32.000;7.000;76.119;23.881
group;8;1;nfs;102.000;32.000;8.000;76.119;23.881
group;8;1;nfs;101.000;33.000;8.000;75.373;24.627
group;8;1;nfs;100.000;34.000;7.000;74.627;25.373
groupMultiple;8;1;ceph;114.000;46.000;8.000;71.250;28.750
