,Workflow,Filesystem,Strategy,1,2,4,6,8
0,chipseq,nfs,wow,100.0,99.20233387395291,96.94714654970792,92.23692107475942,85.74045200606791
1,chipseq,nfs,cws,100.0,95.78259655311072,74.63644954481819,59.45171784462943,48.11008844002179
2,chipseq,ceph,wow,100.0,100.49599343871225,99.39513928833962,96.91148381744176,95.21993760740091
3,chipseq,ceph,cws,100.0,101.08436833615121,96.06244470656434,92.13646379275387,85.5729627708839
4,allIntoOne,nfs,wow,100.0,32.343925073057115,14.46832678211892,9.1793245751545,6.967891596865044
5,allIntoOne,nfs,cws,100.0,52.92984132865723,26.6068870956294,17.72134776747269,13.290536879356463
6,allIntoOne,ceph,wow,100.0,31.7297593985677,14.197070824553531,8.919281400010286,6.7604572092778366
7,allIntoOne,ceph,cws,100.0,46.934487669344264,25.68219382381656,17.293931672866584,13.232048976660302
8,chain,nfs,wow,100.0,91.73515347526737,95.99840534210395,93.21591019065131,90.39321800606875
9,chain,nfs,cws,100.0,58.547017710712836,29.143572925016585,19.291544594544607,14.36798201480716
10,chain,ceph,wow,100.0,95.83506439551309,100.70444603893634,96.28200439295226,88.27875157247003
11,chain,ceph,cws,100.0,70.73512733958277,50.04717010774108,39.3027036680278,31.976107498690094
12,fork,nfs,wow,100.0,100.84685218077757,83.49144156803283,66.74699959768223,50.689528608840575
13,fork,nfs,cws,100.0,55.183079160129566,29.10711666485292,19.37940026732771,14.349212628546157
14,fork,ceph,wow,100.0,92.72822619411791,79.08929958068023,62.88788121276785,47.1418097798316
15,fork,ceph,cws,100.0,87.2748810183932,63.52574414810083,43.67474276425843,35.249458679177195
16,group,nfs,wow,100.0,87.77813612996322,59.917273027476966,47.76271478754981,39.897952736004044
17,group,nfs,cws,100.0,59.382720272177714,32.50067893000631,20.840491832508565,16.24617887720752
18,group,ceph,wow,100.0,86.25613896305086,63.24206430720526,52.39928316847543,42.56316074817023
19,group,ceph,cws,100.0,76.56706902897994,52.77892870034685,39.270287533966794,30.903540166734466
20,groupMultiple,nfs,wow,100.0,99.78110717140456,67.56383176558428,51.13666323194064,44.10328046469324
21,groupMultiple,nfs,cws,100.0,67.77391273879647,35.34215802976093,24.02647836685684,17.453172574964483
22,groupMultiple,ceph,wow,100.0,95.27320154031533,66.71537116821979,54.76801473496277,47.52403261611352
23,groupMultiple,ceph,cws,100.0,81.25378796541945,56.94951032482265,42.509959325121585,33.60015723146521
