,workflow,nodes,networkspeed,filesystem,localData,tasksByNode,cpuHoursByNode
0,allIntoOne,8,1,ceph,0.5904842346092138,0.0358910890804823,0.5890677235108879
1,allIntoOne,8,1,ceph,0.5925277922160662,0.03836633660327419,0.5929822878214045
2,allIntoOne,8,1,ceph,0.59130977215511,0.03836633660327419,0.5937855790103943
3,allIntoOne,8,1,nfs,0.6014057832698538,0.0804455444907362,0.5899710339120221
4,allIntoOne,8,1,nfs,0.5969186113854758,0.06806930687677679,0.5938971290951843
5,allIntoOne,8,1,nfs,0.6010198601565145,0.08292079201352807,0.600302962670484
6,chain,8,1,ceph,0.03548790869762066,0.033749999986499996,0.03439715122829956
7,chain,8,1,ceph,0.039750864706724974,0.0362499999855,0.04286542287704745
8,chain,8,1,ceph,0.03738324109532036,0.034999999986,0.0431200236064234
9,chain,8,1,nfs,0.04982527952832714,0.06624999997349999,0.059409294942225216
10,chain,8,1,nfs,0.04413958983551411,0.0737499999705,0.0684699359365466
11,chain,8,1,nfs,0.031177546523670614,0.044999999982,0.05641937397827271
12,chipseq,8,1,ceph,0.006054041546308019,0.03940486287725406,0.003389022035075679
13,chipseq,8,1,ceph,0.015070913023117286,0.03134718688082901,0.0028927732921144294
14,chipseq,8,1,ceph,0.006937199999009486,0.03565875035260031,0.004605070018109664
15,chipseq,8,1,nfs,0.013421687328812293,0.03869804919335713,0.0054166584866817006
16,chipseq,8,1,nfs,0.01631487366212016,0.023006785410845196,0.005427770068603443
17,chipseq,8,1,nfs,0.01319106608283602,0.036365564036497246,0.006070873517906113
18,fork,8,1,ceph,0.1435182785363092,0.16212871274286833,0.1644515207321186
19,fork,8,1,ceph,0.1458330999940888,0.1646039602656602,0.17891142631435733
20,fork,8,1,ceph,0.14583296992370884,0.1646039602656602,0.178443769125018
21,fork,8,1,nfs,0.14351825993111633,0.16212871274286833,0.1574580271090713
22,fork,8,1,nfs,0.13425901496491757,0.15222772265170081,0.14741510458213977
23,fork,8,1,nfs,0.14583310821693207,0.1646039602656602,0.15994906798799893
24,group,8,1,ceph,0.054694270769940094,0.041044776094898636,0.09894304632134988
25,group,8,1,ceph,0.09809025507799217,0.05970149250167075,0.10337980108004578
26,group,8,1,ceph,0.08438472370826616,0.048507462657607484,0.1182295285862816
27,group,8,1,nfs,0.10582209407627154,0.08395522383047449,0.10450991899987978
28,group,8,1,nfs,0.0728684008483982,0.03917910445422143,0.05721866083978655
29,group,8,1,nfs,0.115897130856381,0.07835820890844286,0.1002846846161293
30,groupMultiple,8,1,ceph,0.08659017224202947,0.043749999978124995,0.10758132446178353
31,groupMultiple,8,1,ceph,0.09151282543130985,0.04218749997890625,0.09549436966185242
32,groupMultiple,8,1,ceph,0.07427783630524168,0.0749999999625,0.10704975920380809
33,groupMultiple,8,1,nfs,0.12147736748418925,0.0781249999609375,0.1179751878129209
34,groupMultiple,8,1,nfs,0.03890709861597906,0.0343749999828125,0.05818766597643247
35,groupMultiple,8,1,nfs,0.045760650893198265,0.0468749999765625,0.05048499009237343
36,rangeland,8,1,ceph,0.06321831275146306,0.0057317839194539755,0.005064028007391175
37,rangeland,8,1,ceph,0.056274153638827804,0.010992462311281596,0.004755382212639522
38,rangeland,8,1,ceph,0.06321934901062642,0.008793969849025278,0.0029153333228229077
39,rangeland,8,1,nfs,0.08162121841944092,0.011149497487157047,0.005970189427832511
40,rangeland,8,1,nfs,0.06603377619306408,0.01672424623073557,0.005685244633516515
41,rangeland,8,1,nfs,0.0657396611404546,0.011699120602721127,0.004962669298781605
42,rnaseq,8,1,ceph,0.05371406438829165,0.16124901496225383,0.050976085926790364
43,rnaseq,8,1,ceph,0.08090258743970567,0.2262608352891246,0.050656757615553105
44,rnaseq,8,1,ceph,0.06369673055536854,0.1496256895098739,0.05032886736258575
45,rnaseq,8,1,nfs,0.02561377009604762,0.07180851063377093,0.027350008695770058
46,rnaseq,8,1,nfs,0.04051455064556328,0.13012214341181264,0.013431962326770509
47,rnaseq,8,1,nfs,0.06673792055519105,0.16696217493037277,0.04955757918469322
48,sarek,8,1,ceph,0.032686395352655995,0.022383317929552837,0.010509209467494295
49,sarek,8,1,ceph,0.02049366705914778,0.03451363216234273,0.013747763492589575
50,sarek,8,1,ceph,0.030967072158900596,0.05181377079434551,0.017728559992579846
51,sarek,8,1,nfs,0.02177872958301665,0.02573359519384717,0.02207052299146921
52,sarek,8,1,nfs,0.024012770214877067,0.037430683918323195,0.024190010628301492
53,sarek,8,1,nfs,0.02664651197069806,0.03035466728252907,0.02368804193421523
54,Synthetic_Blast_200,8,1,ceph,0.468733976790353,0.08838383834812774,0.19720555019327327
55,Synthetic_Blast_200,8,1,ceph,0.46204571947273576,0.03661616160136721,0.16957439563117857
56,Synthetic_Blast_200,8,1,ceph,0.46627312212037125,0.0707070706785022,0.18795924561989077
57,Synthetic_Blast_200,8,1,nfs,0.4815415772113504,0.17676767669625548,0.11343043315767108
58,Synthetic_Blast_200,8,1,nfs,0.4902192595447591,0.2373737372778288,0.06558081514652833
59,Synthetic_Blast_200,8,1,nfs,0.49021926861198,0.23358585849148045,0.06814493906127772
60,Synthetic_Bwa_200,8,1,ceph,0.5369169452775172,0.8749999996464648,0.8749999726820276
61,Synthetic_Bwa_200,8,1,ceph,0.5725618544516197,0.8749999996464648,0.8749999724992584
62,Synthetic_Bwa_200,8,1,ceph,0.5743607889269631,0.8749999996464648,0.8749999718259353
63,Synthetic_Bwa_200,8,1,nfs,0.5771622516118118,0.8749999996464648,0.8749999730865304
64,Synthetic_Bwa_200,8,1,nfs,0.5778084503822374,0.8749999996464648,0.8749999732241909
65,Synthetic_Bwa_200,8,1,nfs,0.578702901173276,0.8749999996464648,0.874999973195106
66,Synthetic_Cycles_200,8,1,ceph,0.4347007891034855,0.559343434117437,0.7124655450969378
67,Synthetic_Cycles_200,8,1,ceph,0.4313832779842253,0.5858585856218753,0.7121325351991992
68,Synthetic_Cycles_200,8,1,ceph,0.49237956975480324,0.6654040401351904,0.7341747679726461
69,Synthetic_Cycles_200,8,1,nfs,0.436261542080235,0.5669191916901336,0.7138371094088731
70,Synthetic_Cycles_200,8,1,nfs,0.4099753420456366,0.5467171714962759,0.7074171238870716
71,Synthetic_Cycles_200,8,1,nfs,0.43246227556485206,0.5505050502826242,0.7010358728887081
72,Synthetic_Genome_200,8,1,ceph,0.5877089560908184,0.7348484845515764,0.7432152960113226
73,Synthetic_Genome_200,8,1,ceph,0.5841268423062854,0.7335858582894603,0.8039634944036885
74,Synthetic_Genome_200,8,1,ceph,0.595695825210961,0.7373737370758086,0.7346245547496344
75,Synthetic_Genome_200,8,1,nfs,0.32117511045642283,0.4886363634389348,0.5869169021496299
76,Synthetic_Genome_200,8,1,nfs,0.6120919506912572,0.7373737370758086,0.6710247761759763
77,Synthetic_Genome_200,8,1,nfs,0.5725330997059517,0.7260101007167636,0.6635228230046273
78,Synthetic_Montage_200,8,1,ceph,0.2831200602521674,0.1919191918416488,0.24106395232275496
79,Synthetic_Montage_200,8,1,ceph,0.26668069551133433,0.17803030295837158,0.19429454537156587
80,Synthetic_Montage_200,8,1,ceph,0.196558536778973,0.07575757572696663,0.06531326943895392
81,Synthetic_Montage_200,8,1,nfs,0.2866552733817337,0.17803030295837158,0.17912689619321287
82,Synthetic_Montage_200,8,1,nfs,0.21178489400005768,0.1199494949010305,0.15936765741737993
83,Synthetic_Montage_200,8,1,nfs,0.21087088054422495,0.1085858585419855,0.1488360686335881
84,Synthetic_Seismology_200,8,1,ceph,0.4945703090284576,0.0479797979604122,0.08152685600002377
85,Synthetic_Seismology_200,8,1,ceph,0.4911281836377067,0.03787878786348332,0.054999595619940056
86,Synthetic_Seismology_200,8,1,ceph,0.4886175821931147,0.030303030290786653,0.06635379167998941
87,Synthetic_Seismology_200,8,1,nfs,0.5208549996217374,0.13762626257065605,0.03223992776955196
88,Synthetic_Seismology_200,8,1,nfs,0.5274568943159986,0.1553030302402816,0.02716705781729493
89,Synthetic_Seismology_200,8,1,nfs,0.5312886552430107,0.17045454538567492,0.034826774273950256
90,Synthetic_Soykb_200,8,1,ceph,0.5891677191925709,0.8392857139431488,0.8533515410280154
91,Synthetic_Soykb_200,8,1,ceph,0.5173055636776842,0.8201530608897336,0.8529012809713034
92,Synthetic_Soykb_200,8,1,ceph,0.5517409531540244,0.8354591833324657,0.8489785617111134
93,Synthetic_Soykb_200,8,1,nfs,0.4592507914845583,0.7882653058007081,0.8283231490610996
94,Synthetic_Soykb_200,8,1,nfs,0.41275899737014254,0.6364795915769471,0.6905739398373564
95,Synthetic_Soykb_200,8,1,nfs,0.39884759482235166,0.635204081373386,0.6890540194401079
96,allIntoOne,2,1,ceph,0.1666653174684424,0.004950495048524654,0.3280204350402907
97,allIntoOne,2,1,ceph,0.16666530806646923,0.014851485145573964,0.3472676393963635
98,allIntoOne,2,1,ceph,0.16666532687035918,0.014851485145573964,0.3436097375374065
99,allIntoOne,2,1,nfs,0.166665336272277,0.02475247524262327,0.34958423839132424
100,allIntoOne,2,1,nfs,0.16666532216940066,0.02475247524262327,0.3511390127169227
101,allIntoOne,2,1,nfs,0.16666536447803681,0.02475247524262327,0.35624588358384385
102,chain,2,1,ceph,0.011349670849706442,0.019999999998,0.060050434390317244
103,chain,2,1,ceph,0.03428759694376723,0.059999999994000006,0.14054185569514788
104,chain,2,1,ceph,0.022260241925835346,0.019999999998,0.08957567623563557
105,chain,2,1,nfs,0.03802448986856111,0.054999999994500004,0.14827911792334575
106,chain,2,1,nfs,0.04231584899156602,0.06999999999300001,0.1383430386512966
107,chain,2,1,nfs,0.04425970027424543,0.06499999999350001,0.1643518935498887
108,chipseq,2,1,ceph,0.0022357161038528885,0.0026858919988539108,0.001703280036552336
109,chipseq,2,1,ceph,0.0022310814306199496,0.014277636414960264,0.00271623966867965
110,chipseq,2,1,ceph,6.832036865160453e-05,0.017387616624159528,0.0012317823384110714
