workflow,nodes,networkspeed,filesystem,localData,tasksByNode,cpuHoursByNode
Synthetic_Blast_200,8,1,ceph,0.46627312212037125,0.0707070706785022,0.18795924561989077
Synthetic_Blast_200,8,1,nfs,0.4902192595447591,0.23358585849148045,0.06814493906127772
Synthetic_Bwa_200,8,1,ceph,0.5725618544516197,0.8749999996464648,0.8749999724992584
Synthetic_Bwa_200,8,1,nfs,0.5778084503822374,0.8749999996464648,0.874999973195106
Synthetic_Cycles_200,8,1,ceph,0.4347007891034855,0.5858585856218753,0.7124655450969378
Synthetic_Cycles_200,8,1,nfs,0.43246227556485206,0.5505050502826242,0.7074171238870716
Synthetic_Genome_200,8,1,ceph,0.5877089560908184,0.7348484845515764,0.7432152960113226
Synthetic_Genome_200,8,1,nfs,0.5725330997059517,0.7260101007167636,0.6635228230046273
Synthetic_Montage_200,8,1,ceph,0.26668069551133433,0.17803030295837158,0.19429454537156587
Synthetic_Montage_200,8,1,nfs,0.21178489400005768,0.1199494949010305,0.15936765741737993
Synthetic_Seismology_200,8,1,ceph,0.4911281836377067,0.03787878786348332,0.06635379167998941
Synthetic_Seismology_200,8,1,nfs,0.5274568943159986,0.1553030302402816,0.03223992776955196
Synthetic_Soykb_200,8,1,ceph,0.5517409531540244,0.8354591833324657,0.8529012809713034
Synthetic_Soykb_200,8,1,nfs,0.41275899737014254,0.6364795915769471,0.6905739398373564
allIntoOne,2,1,ceph,0.1666653174684424,0.014851485145573964,0.3436097375374065
allIntoOne,2,1,nfs,0.166665336272277,0.02475247524262327,0.3511390127169227
allIntoOne,4,1,ceph,0.4344205154771782,0.03217821780903833,0.5099951754027526
allIntoOne,4,1,nfs,0.4347208499663204,0.03217821780903833,0.5170965891036652
allIntoOne,6,1,ceph,0.5396515231374659,0.05115511548116197,0.5709704860822398
allIntoOne,6,1,nfs,0.5438096108169648,0.06435643560533282,0.5770879335115808
allIntoOne,8,1,ceph,0.59130977215511,0.03836633660327419,0.5929822878214045
allIntoOne,8,1,nfs,0.6010198601565145,0.0804455444907362,0.5938971290951843
allIntoOne,8,2,ceph,0.5895773692202371,0.0358910890804823,0.606855665840277
allIntoOne,8,2,nfs,0.6005087258472027,0.0804455444907362,0.616738986747428
chain,2,1,ceph,0.022260241925835346,0.019999999998,0.08957567623563557
chain,2,1,nfs,0.04231584899156602,0.06499999999350001,0.14827911792334575
chain,4,1,ceph,0.029998368928163936,0.029999999994,0.03320856837761359
chain,4,1,nfs,0.03355392482323371,0.0524999999895,0.061360548301727304
chain,6,1,ceph,0.030460286571091476,0.03333333332333333,0.03398924236351985
chain,6,1,nfs,0.03285089756518823,0.05166666665116666,0.052782014049627714
chain,8,1,ceph,0.03738324109532036,0.034999999986,0.04286542287704745
chain,8,1,nfs,0.04413958983551411,0.06624999997349999,0.059409294942225216
chain,8,2,ceph,0.018599204389055286,0.034999999986,0.030364719775745376
chain,8,2,nfs,0.034069425215131066,0.057499999977,0.05621907397567611
chipseq,2,1,ceph,0.0022310814306199496,0.014277636414960264,0.001703280036552336
chipseq,2,1,nfs,0.0011884173808474406,0.0371783997736094,0.004096899256964483
chipseq,4,1,ceph,0.005607240933413043,0.016468758834984804,0.0019918347708575293
chipseq,4,1,nfs,0.007807159121641317,0.018730562623480572,0.0035552990909547607
chipseq,6,1,ceph,0.012773696043289633,0.024267269813931947,0.002572417607288919
chipseq,6,1,nfs,0.008438827666171603,0.0417020073501549,0.003916451821059318
chipseq,8,1,ceph,0.006937199999009486,0.03565875035260031,0.003389022035075679
chipseq,8,1,nfs,0.013421687328812293,0.036365564036497246,0.005427770068603443
chipseq,8,2,ceph,0.008531524322799957,0.04046508340309946,0.003960783335505922
chipseq,8,2,nfs,0.006636263221587232,0.0496536612937596,0.004674639671122734
fork,2,1,ceph,0.019607695634240904,0.02475247524262327,0.025089461397108947
fork,2,1,nfs,0.019607843133349245,0.02475247524262327,0.02532991853457059
fork,4,1,ceph,0.05769225177744306,0.06683168314184884,0.07426075502431231
fork,4,1,nfs,0.057692228847265,0.06683168314184884,0.06499885709411299
fork,6,1,ceph,0.0754715952921785,0.08745874582263176,0.0954884567818466
fork,6,1,nfs,0.07547158643997047,0.08745874582263176,0.08484921628152989
fork,8,1,ceph,0.14583296992370884,0.1646039602656602,0.178443769125018
fork,8,1,nfs,0.14351825993111633,0.16212871274286833,0.1574580271090713
fork,8,2,ceph,0.06249986764008105,0.07549504944515244,0.07133488447662613
fork,8,2,nfs,0.06481470662328945,0.07797029696794432,0.0731905641615953
group,2,1,ceph,0.003985071331537321,0.007462686566050346,0.00891788322155214
group,2,1,nfs,0.020568473458201092,0.02238805969815104,0.03302360631520245
group,4,1,ceph,0.017317740117999154,0.02611940297727779,0.04583223009393101
group,4,1,nfs,0.05992305950209124,0.041044776107150814,0.05179857966431045
group,6,1,ceph,0.044395880063725815,0.03731343281911339,0.08805734195917526
group,6,1,nfs,0.03001918451914069,0.03980099500705428,0.04169172628681658
group,8,1,ceph,0.08438472370826616,0.048507462657607484,0.10337980108004578
group,8,1,nfs,0.10582209407627154,0.07835820890844286,0.1002846846161293
group,8,2,ceph,0.0640529780528754,0.041044776094898636,0.08126755904471115
group,8,2,nfs,0.04001389734954459,0.05410447757963911,0.053191734010688954
groupMultiple,2,1,ceph,0.018875252179371638,0.00624999999921875,0.05007781099188241
groupMultiple,2,1,nfs,0.006463394800338349,0.018749999997656253,0.042684545798533695
groupMultiple,4,1,ceph,0.037567316253575976,0.02499999999375,0.029735661763606633
groupMultiple,4,1,nfs,0.038707815165889635,0.04062499998984375,0.04215327283303918
groupMultiple,6,1,ceph,0.05802376477438514,0.043749999983593746,0.07872723442595066
groupMultiple,6,1,nfs,0.0380038407353196,0.05833333331145833,0.07394529554276862
groupMultiple,8,1,ceph,0.08659017224202947,0.043749999978124995,0.10704975920380809
groupMultiple,8,1,nfs,0.045760650893198265,0.0468749999765625,0.05818766597643247
groupMultiple,8,2,ceph,0.04572374220817626,0.029687499985156247,0.05352946510119943
groupMultiple,8,2,nfs,0.08068589844072173,0.04531249997734375,0.06090373484030162
rangeland,8,1,ceph,0.06321831275146306,0.008793969849025278,0.004755382212639522
rangeland,8,1,nfs,0.06603377619306408,0.011699120602721127,0.005685244633516515
rnaseq,8,1,ceph,0.06369673055536854,0.16124901496225383,0.050656757615553105
rnaseq,8,1,nfs,0.04051455064556328,0.13012214341181264,0.027350008695770058
sarek,8,1,ceph,0.030967072158900596,0.03451363216234273,0.013747763492589575
sarek,8,1,nfs,0.024012770214877067,0.03035466728252907,0.02368804193421523
