Workflow;Inputs in GB;Generated GB;Factor;Abstract tasks;Physical tasks
\multirow{4}{*}{\cellcolor{white}\rotatebox{90}{Real-World}};RNA-Seq;139.143;598.288;4.300;53;1,269
;Sarek;205.863;918.845;4.463;49;8,656
;Chip-Seq;141.224;787.196;5.574;48;3,537
;Rangeland;303.218;273.996;0.904;8;3,184
\multirow{7}{*}{\cellcolor{white}\rotatebox{90}{Synthetic}};Syn. BLAST;21.859;151.032;6.909;4;198
;Syn. BWA;19.450;152.823;7.857;5;198
;Syn. Cycles;20.442;157.893;7.724;7;198
;Syn. Genome;21.897;154.734;7.067;5;198
;Syn. Montage;19.785;168.804;8.532;8;198
;Syn. Seismology;20.654;150.698;7.296;2;198
;Syn. Soykb;22.271;159.975;7.183;14;196
\multirow{5}{*}{\cellcolor{white}\rotatebox{90}{Pattern}};All in One;0.000;180.327;-;2;101
;Chain;0.000;180.330;-;2;200
;Fork;0.000;99.425;-;2;101
;Group;0.000;180.328;-;2;134
;Group Multiple;0.000;270.491;-;3;160
