task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
2,cpu01,24/3b4571,nf-243b4571d15fe0c7b030006841a689a9,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1706050665326,1706050666000,1706050693000,27674,0,-,64.8,0.0,6336512,31612928,6336512,31617024,690283,9279,247,18,5857280,20480,31,6,/input/data/work/24/3b4571d15fe0c7b030006841a689a9,true,-,8,1,2,28
1,cpu01,7f/0f1d4b,nf-7f0f1d4bfc5edefe4ebbafaaa2472ee9,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1706050665363,1706050666000,1706050693000,27637,10000,-,101.1,0.0,6373376,12394496,6373376,12398592,3147403162,5962,48261,20,8712192,16384,32,991,/input/data/work/7f/0f1d4bfc5edefe4ebbafaaa2472ee9,true,-,5,2,2,26
150,cpu01,15/604b39,nf-15604b3932c0142c2491bd869ed8c9d0,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1706050709991,1706050711000,1706050723000,13009,0,-,13.6,0.0,12083200,53719040,12083200,53723136,102148,26543,195,23,4259840,20480,82,4,/input/data/work/15/604b3932c0142c2491bd869ed8c9d0,true,-,86,2,2,121
3,cpu01,76/c10319,nf-76c10319c9cfdb6664ff4f6068aae5ed,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1706050665283,1706050666000,1706050765000,99717,94000,-,24.3,2.1,2855698432,2876768256,2855698432,2876772352,916296331,25693122,112010,3154,2932736,25702400,333,10276,/input/data/work/76/c10319c9cfdb6664ff4f6068aae5ed,true,-,21,8,30,68
4,cpu01,2e/4ea909,nf-2e4ea90975c3cb5569a4094faf9fbc20,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1706050698090,1706050698000,1706050803000,104910,100000,-,76.1,0.2,235851776,2941747200,235851776,3006763008,836424191,1751062,1603522,5531,18403328,2265088,149,24,/input/data/work/2e/4ea90975c3cb5569a4094faf9fbc20,true,-,7,2,4,28
6,cpu01,2b/3f5b17,nf-2b3f5b17b87b95beb7cc8297efb39ab4,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1706050698187,1706050700000,1706050803000,104813,100000,-,70.5,0.2,234967040,2941747200,234967040,3006763008,771028269,1748399,1475863,5522,0,2252800,3,7,/input/data/work/2b/3f5b17b87b95beb7cc8297efb39ab4,true,-,4,1,3,26
10,cpu01,99/128694,nf-99128694a74e72c64154b296aea7db50,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1706050698291,1706050699000,1706050806000,107709,104000,-,72.7,0.2,235778048,2941747200,235778048,3006763008,807744876,1747928,1547599,5530,0,2465792,5,9,/input/data/work/99/128694a74e72c64154b296aea7db50,true,-,5,1,3,19
16,cpu01,84/c2290e,nf-84c2290e94b099cfa12ab08679ddbdbd,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1706050698402,1706050699000,1706050803000,104598,100000,-,74.5,0.2,236498944,2941747200,236498944,3006763008,822066908,1746351,1575607,5526,69632,2252800,3,3,/input/data/work/84/c2290e94b099cfa12ab08679ddbdbd,true,-,3,1,2,19
22,cpu01,63/6323bf,nf-636323bf25e93e99286432858b6264ec,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1706050698492,1706050699000,1706050806000,107508,104000,-,73.4,0.2,235732992,2941747200,235991040,3006763008,827254197,1751200,1585771,5532,0,2433024,3,7,/input/data/work/63/6323bf25e93e99286432858b6264ec,true,-,4,1,2,19
61,cpu01,9c/f257c7,nf-9cf257c79f38110b2f16bfc88fa1fae6,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1706050698549,1706050699000,1706050783000,84451,79000,-,74.8,0.2,234577920,2941747200,234942464,3006763008,633581062,1726383,1207573,5491,19542016,2174976,3,6,/input/data/work/9c/f257c79f38110b2f16bfc88fa1fae6,true,-,4,1,2,20
