task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
1,cpu01,47/a8e503,nf-47a8e503b0c94a9d6a4e18dedc5b30b0,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706233711648,1706233712000,1706233722000,10352,999,-,111.5,0.0,27803648,326897664,27803648,326934528,108386,1056966599,252,258066,28672,1056964608,3,4,/input/data/work/47/a8e503b0c94a9d6a4e18dedc5b30b0,true,-,39,12,31,52
18,cpu01,3f/79200b,nf-3f79200bcf17d295cb40a58c57704dc0,revertFile,17,revertFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706233727906,1706233728000,1706233782000,54094,23841,-,33.7,0.0,4030464,10248192,4030464,10285056,3170953176,1056965026,193688,258062,369549312,1056964608,114791,76,/input/data/work/3f/79200bcf17d295cb40a58c57704dc0,true,-,25,1,7,37
28,cpu01,26/2248f0,nf-262248f0f2f4a221830f3ee2bfba366c,revertFile,27,revertFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706233727959,1706233729000,1706233782000,54041,23535,-,34.0,0.0,3825664,10248192,3825664,10285056,3170953175,1056965026,193688,258062,355405824,1056964608,117453,88,/input/data/work/26/2248f0f2f4a221830f3ee2bfba366c,true,-,10,1,9,31
24,cpu01,7d/8161f3,nf-7d8161f38b21128adfe6c21d1dad68ab,revertFile,23,revertFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706233727999,1706233728000,1706233782000,54001,23843,-,34.0,0.0,3964928,10248192,3964928,10285056,3170953176,1056965026,193688,258062,332009472,1056964608,117976,105,/input/data/work/7d/8161f38b21128adfe6c21d1dad68ab,true,-,7,1,6,25
12,cpu01,7e/c25d88,nf-7ec25d883eb39033ad72f9b5a2b22e27,revertFile,11,revertFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706233728042,1706233785000,1706233818000,89958,5524,-,100.4,0.0,4014080,10248192,4014080,10285056,3170953177,1056965027,193688,258062,0,1056964608,5,341,/input/data/work/7e/c25d883eb39033ad72f9b5a2b22e27,true,-,9,2,5,26
29,cpu01,8d/3ab305,nf-8d3ab305822bf4e5bef3fe1b47804ac4,revertFile,28,revertFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706233728080,1706233785000,1706233818000,89920,5511,-,100.1,0.0,4096000,10248192,4096000,10285056,3170953176,1056965027,193688,258062,0,1056964608,6,329,/input/data/work/8d/3ab305822bf4e5bef3fe1b47804ac4,true,-,8,1,5,23
10,cpu01,07/4ecc1f,nf-074ecc1f8b0e5228f65f8b0eb8a99b9d,revertFile,9,revertFile (9),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706233728117,1706233785000,1706233818000,89883,5461,-,100.3,0.0,4079616,10248192,4079616,10285056,3170953176,1056965027,193688,258062,0,1056964608,5,331,/input/data/work/07/4ecc1f8b0e5228f65f8b0eb8a99b9d,true,-,8,0,6,22
16,cpu01,71/98e83e,nf-7198e83e803e840ca63d6101ba0ce2f6,revertFile,15,revertFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706233728161,1706233820000,1706233852000,123839,5490,-,100.2,0.0,3923968,10248192,3923968,10285056,3170953177,1056965027,193688,258062,0,1056964608,8,333,/input/data/work/71/98e83e803e840ca63d6101ba0ce2f6,true,-,8,1,5,29
30,cpu01,20/440804,nf-204408042cfd024d770c45013ad97e88,revertFile,29,revertFile (29),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706233728201,1706233820000,1706233852000,123799,5459,-,99.8,0.0,3973120,10248192,3973120,10285056,3170953176,1056965026,193688,258062,0,1056964608,5,333,/input/data/work/20/4408042cfd024d770c45013ad97e88,true,-,8,1,5,25
20,cpu01,02/3ce33c,nf-023ce33c7ec34c586228ba38c47f694d,revertFile,19,revertFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706233728237,1706233821000,1706233852000,123763,5457,-,98.9,0.0,3952640,10248192,3952640,10285056,3170953176,1056965026,193688,258062,0,1056964608,5,341,/input/data/work/02/3ce33c7ec34c586228ba38c47f694d,true,-,7,1,5,21
