task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
28,cpu01,24/91d70d,nf-2491d70d33e597dd6a300f03aa4822c4,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237767848,1706237768000,1706237797000,29152,1134,-,95.5,0.0,27209728,422277120,28389376,590700544,108386,950011839,252,231954,9572352,950009856,240,20,/input/data/work/24/91d70d33e597dd6a300f03aa4822c4,true,-,33,12,36,76
8,cpu01,74/60f141,nf-7460f14109addf751822d43ae65f7507,writeLargeFile,8,writeLargeFile (8),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237767906,1706237768000,1706237797000,29094,1173,-,97.5,0.0,32968704,776900608,34148352,945324032,108409,1017120731,252,248338,6172672,1017118720,186,96,/input/data/work/74/60f14109addf751822d43ae65f7507,true,-,9,2,6,36
31,cpu01,41/d0ab29,nf-41d0ab29222dc51e6e7a3bdbf45439bf,writeLargeFile,31,writeLargeFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237767950,1706237768000,1706237797000,29050,1083,-,110.1,0.0,28418048,326897664,28418048,326934528,108407,969934810,252,236818,0,969932800,3,6,/input/data/work/41/d0ab29222dc51e6e7a3bdbf45439bf,true,-,9,1,5,28
11,cpu01,24/afbb52,nf-24afbb52a7625b13b3a25e4a117f0535,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237767992,1706237800000,1706237827000,59008,1021,-,107.2,0.0,27394048,326901760,27394048,326938624,108446,951060481,252,232210,0,951058432,3,7,/input/data/work/24/afbb52a7625b13b3a25e4a117f0535,true,-,7,1,5,28
24,cpu01,6a/043159,nf-6a043159affa6e9a2a8723116b066687,writeLargeFile,24,writeLargeFile (24),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237768036,1706237800000,1706237827000,58964,1103,-,97.8,0.0,27725824,422440960,28532736,590704640,108423,1059063789,252,258578,0,1059061760,99,24,/input/data/work/6a/043159affa6e9a2a8723116b066687,true,-,9,1,5,28
30,cpu01,ed/fdfc55,nf-edfdfc557634caea3bdadcc45949d304,writeLargeFile,30,writeLargeFile (30),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237768074,1706237800000,1706237827000,58926,1015,-,104.3,0.0,27672576,326897664,27672576,326934528,108409,912263132,252,222738,0,912261120,3,7,/input/data/work/ed/fdfc557634caea3bdadcc45949d304,true,-,7,1,5,24
4,cpu01,b8/f73ef5,nf-b8f73ef5890822fe1d4cbd1e2ee44f1f,writeLargeFile,4,writeLargeFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237768114,1706237830000,1706237857000,88886,1081,-,104.7,0.0,27684864,326901760,27684864,326938624,108451,1012926471,252,247314,0,1012924416,6,6,/input/data/work/b8/f73ef5890822fe1d4cbd1e2ee44f1f,true,-,8,1,5,25
12,cpu01,00/a90f61,nf-00a90f612a2061fd3c4adc94ffd43f3e,writeLargeFile,12,writeLargeFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237768150,1706237830000,1706237857000,88850,1147,-,106.3,0.0,32673792,776900608,33837056,945324032,108424,1070598126,252,261394,0,1070596096,103,102,/input/data/work/00/a90f612a2061fd3c4adc94ffd43f3e,true,-,8,1,4,22
6,cpu01,48/c5aa72,nf-48c5aa728121406519e6257ac407e0f1,writeLargeFile,6,writeLargeFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237768187,1706237830000,1706237857000,88813,1135,-,104.9,0.0,27865088,422273024,28590080,590696448,108413,1058015203,252,258322,0,1058013184,102,97,/input/data/work/48/c5aa728121406519e6257ac407e0f1,true,-,8,1,4,23
32,cpu01,ae/ee7c26,nf-aeee7c266074f960117e228f4e56dc60,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237768226,1706237860000,1706237885000,116774,1132,-,104.3,0.0,27709440,422277120,28483584,590700544,108426,1069549551,252,261138,0,1069547520,100,22,/input/data/work/ae/ee7c266074f960117e228f4e56dc60,true,-,8,1,5,24
15,cpu01,4f/1c630b,nf-4f1c630b86a88f698e19ef24987ac6cf,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237768264,1706237860000,1706237885000,116736,989,-,97.2,0.0,27488256,326901760,27488256,326938624,108406,871368665,252,212754,0,871366656,3,7,/input/data/work/4f/1c630b86a88f698e19ef24987ac6cf,true,-,7,1,5,24
17,cpu01,c5/e5fb66,nf-c5e5fb66388ea8efcb7c0256622f1c42,writeLargeFile,17,writeLargeFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237768301,1706237860000,1706237885000,116699,1086,-,107.0,0.0,27467776,326897664,27467776,326934528,108420,1017120745,252,248338,0,1017118720,3,8,/input/data/work/c5/e5fb66388ea8efcb7c0256622f1c42,true,-,8,1,5,22
16,cpu01,0b/4af668,nf-0b4af668754348e4d083745955c0b00f,writeLargeFile,16,writeLargeFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237768345,1706237888000,1706237913000,144655,997,-,112.8,0.0,27807744,326897664,27807744,326934528,108420,887097319,252,216594,0,887095296,3,7,/input/data/work/0b/4af668754348e4d083745955c0b00f,true,-,8,1,4,30
19,cpu01,85/356773,nf-85356773e62cf88ab71f29eb7f5e29bd,writeLargeFile,19,writeLargeFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237768381,1706237888000,1706237913000,144619,1067,-,105.4,0.0,27848704,326897664,27848704,326934528,108408,994052059,252,242706,0,994050048,3,6,/input/data/work/85/356773e62cf88ab71f29eb7f5e29bd,true,-,8,0,5,22
1,cpu01,8c/a4c46e,nf-8ca4c46ee981a7177933723b74d22c2c,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237768421,1706237888000,1706237913000,144579,1102,-,111.0,0.0,27582464,420155392,28442624,590696448,108429,1056966638,253,258066,0,1056964608,101,21,/input/data/work/8c/a4c46ee981a7177933723b74d22c2c,true,-,9,1,4,24
10,cpu01,e7/56a723,nf-e756a7230129d678684e2500f2e625e3,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237768461,1706237916000,1706237947000,178539,1123,-,109.0,0.0,27803648,422277120,28659712,590700544,108434,1021315063,252,249362,0,1021313024,98,21,/input/data/work/e7/56a7230129d678684e2500f2e625e3,true,-,8,1,5,24
20,cpu01,a9/ca248b,nf-a9ca248be4f9c7144b079459da99d605,writeLargeFile,20,writeLargeFile (20),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237768497,1706237916000,1706237947000,178503,1007,-,107.0,0.0,27791360,326901760,27791360,326938624,108424,956303335,253,233490,0,956301312,3,7,/input/data/work/a9/ca248be4f9c7144b079459da99d605,true,-,7,1,4,24
23,cpu01,52/265ad8,nf-52265ad8e9b477ffd6a84618b69c1a12,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706237768533,1706237916000,1706237947000,178467,1113,-,102.6,0.0,27361280,422273024,28127232,590696448,108435,1002440695,252,244754,0,1002438656,101,20,/input/data/work/52/265ad8e9b477ffd6a84618b69c1a12,true,-,8,1,4,22
