task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
30,cpu01,61/590fb8,nf-61590fb8a6c3036eac5850b405bba080,writeLargeFile,30,writeLargeFile (30),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706249413966,1706249414000,1706249442000,28034,1119,-,97.6,0.0,26935296,422277120,27914240,590700544,108430,912263144,253,222738,10788864,912261120,254,23,/input/data/work/61/590fb8a6c3036eac5850b405bba080,true,-,32,10,34,70
32,cpu01,83/d59674,nf-83d5967489914d2b9e683cc6ab672d71,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706249414020,1706249415000,1706249442000,27980,1124,-,110.3,0.0,27668480,422277120,28479488,590700544,108425,1069549552,252,261138,0,1069547520,102,25,/input/data/work/83/d5967489914d2b9e683cc6ab672d71,true,-,9,1,5,32
13,cpu01,a0/a588aa,nf-a0a588aa985a7cbaf0812fbc3175b4a4,writeLargeFile,13,writeLargeFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706249414065,1706249414000,1706249442000,27935,1201,-,95.2,0.0,31940608,776908800,32927744,945332224,108416,990906329,253,241938,11862016,990904320,334,106,/input/data/work/a0/a588aa985a7cbaf0812fbc3175b4a4,true,-,10,1,5,28
17,cpu01,7c/57f10b,nf-7c57f10b70e1b09afdfe816bc28671c4,writeLargeFile,17,writeLargeFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706249414105,1706249445000,1706249472000,57895,1132,-,100.6,0.0,27602944,326901760,28426240,590700544,108438,1017120764,252,248338,0,1017118720,103,21,/input/data/work/7c/57f10b70e1b09afdfe816bc28671c4,true,-,9,1,4,25
4,cpu01,aa/68000e,nf-aa68000e3037a1cddbb839fefa331516,writeLargeFile,4,writeLargeFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706249414143,1706249445000,1706249472000,57857,1136,-,106.5,0.0,27770880,422273024,28606464,590696448,108438,1012926460,252,247314,0,1012924416,98,19,/input/data/work/aa/68000e3037a1cddbb839fefa331516,true,-,7,1,6,23
5,cpu01,8f/705b0f,nf-8f705b0fd8d48ffacee5275390cfc438,writeLargeFile,5,writeLargeFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706249414184,1706249445000,1706249472000,57816,979,-,109.7,0.0,27996160,326901760,27996160,326938624,108420,908068841,252,221714,0,908066816,3,5,/input/data/work/8f/705b0fd8d48ffacee5275390cfc438,true,-,8,2,5,25
22,cpu01,a7/e2319e,nf-a7e2319e190e17a3b590b24a87a8bfcf,writeLargeFile,22,writeLargeFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706249414225,1706249475000,1706249500000,85775,1123,-,101.0,0.0,27471872,326897664,27471872,326934528,108414,1050675174,252,256530,0,1050673152,3,7,/input/data/work/a7/e2319e190e17a3b590b24a87a8bfcf,true,-,8,1,5,26
23,cpu01,47/77ccc6,nf-4777ccc6ffa0fc260e5850d28d247e5d,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706249414265,1706249475000,1706249500000,85735,1076,-,107.1,0.0,27664384,326901760,27664384,326938624,108419,1002440681,252,244754,0,1002438656,3,8,/input/data/work/47/77ccc6ffa0fc260e5850d28d247e5d,true,-,9,0,5,25
7,cpu01,fc/ccfc2b,nf-fcccfc2b2d414d96b321a55ba57dc41a,writeLargeFile,7,writeLargeFile (7),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706249414304,1706249475000,1706249500000,85696,1021,-,107.1,0.0,27480064,326897664,27480064,326934528,108405,877660122,252,214290,0,877658112,3,8,/input/data/work/fc/ccfc2b2d414d96b321a55ba57dc41a,true,-,7,1,4,26
19,cpu01,bd/596dd0,nf-bd596dd05e42920c61c1433afd1842bc,writeLargeFile,19,writeLargeFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1706249414344,1706249503000,1706249532000,117656,1105,-,108.7,0.0,27451392,422273024,28233728,590696448,108407,994052060,252,242706,0,994050048,101,20,/input/data/work/bd/596dd05e42920c61c1433afd1842bc,true,-,9,1,4,25
