task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
10,cpu02,-,67/0c41be,nf-670c41bed3aa3dda13e56c65de9f2e91,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702903757650,1702903758000,1702903765000,7350,2149,-,46.8,0.0,32980992,776908800,34070528,945328128,109484,1021315116,250,249362,53248,1021313024,103,98,/input/data/work/67/0c41bed3aa3dda13e56c65de9f2e91,true,-,0,-,-,-,-,-,-,-,103,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,103,-,-,-,-,-,-,39,10,32,36,-
27,cpu01,-,46/9307bd,nf-469307bd667698492f8e607da56eb6cf,writeLargeFile,27,writeLargeFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702903757687,1702903758000,1702903765000,7313,928,-,106.8,0.0,28217344,326901760,28217344,326938624,109030,913311797,245,222994,28672,913309696,2,5,/input/data/work/46/9307bd667698492f8e607da56eb6cf,true,-,0,-,-,-,-,-,-,-,101,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,5,1,5,24,-
21,cpu01,-,88/31afb0,nf-8831afb09726c3bb0e777a9e7f126239,writeLargeFile,21,writeLargeFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702903757723,1702903758000,1702903765000,7277,909,-,111.6,0.0,28770304,326897664,28770304,326934528,109031,967837750,245,236306,32768,967835648,2,7,/input/data/work/88/31afb09726c3bb0e777a9e7f126239,true,-,0,-,-,-,-,-,-,-,74,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,4,0,6,25,-
24,cpu01,-,60/b0f6d4,nf-60b0f6d481cc51547dd7d7922692a287,writeLargeFile,24,writeLargeFile (24),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702903757759,1702903758000,1702903765000,7241,969,-,103.6,0.0,28385280,326905856,28385280,326942720,109194,1059063869,248,258578,32768,1059061760,2,4,/input/data/work/60/b0f6d481cc51547dd7d7922692a287,true,-,0,-,-,-,-,-,-,-,46,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,39,-,-,-,-,-,-,5,1,6,23,-
14,cpu02,-,77/101b0f,nf-77101b0fcc7ee6e6d0060c7378dcedc7,writeLargeFile,14,writeLargeFile (14),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702903757794,1702903758000,1702903765000,7206,871,-,112.6,0.0,3366912,5857280,3366912,5894144,109299,961546270,247,234770,28672,961544192,2,2,/input/data/work/77/101b0fcc7ee6e6d0060c7378dcedc7,true,-,0,-,-,-,-,-,-,-,27,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,5,0,3,25,-
23,cpu02,-,43/1bbd73,nf-431bbd7352f88955ceeb0a3657fe50c9,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702903757835,1702903758000,1702903765000,7165,2152,-,46.8,0.0,33546240,776908800,34652160,945328128,109523,1002440787,250,244754,12288,1002438656,106,83,/input/data/work/43/1bbd7352f88955ceeb0a3657fe50c9,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,10,1,5,24,-
94,cpu01,-,17/0a0b8d,nf-170a0b8df53d9cfc5c66c7d5fa91367e,writeLargeFile,94,writeLargeFile (94),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702903760556,1702903768000,1702903775000,14444,968,-,105.8,0.0,28004352,326897664,28004352,326934528,109253,1030752376,248,251666,0,1030750208,2,5,/input/data/work/17/0a0b8df53d9cfc5c66c7d5fa91367e,true,-,0,-,-,-,-,-,-,-,7393,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,53,-,-,-,-,-,-,5,1,3,19,-
96,cpu01,-,79/53569e,nf-7953569e242656d18056e4ea13456b78,writeLargeFile,96,writeLargeFile (96),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702903760582,1702903769000,1702903775000,14418,923,-,112.0,0.0,28086272,326901760,28086272,326938624,109036,990906427,245,241938,0,990904320,2,6,/input/data/work/79/53569e242656d18056e4ea13456b78,true,-,0,-,-,-,-,-,-,-,7302,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,4,0,3,18,-
97,cpu01,-,5e/998300,nf-5e998300e1119e38f3f458621328af07,writeLargeFile,97,writeLargeFile (97),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702903760612,1702903768000,1702903775000,14388,904,-,105.4,0.0,27934720,326897664,27934720,326934528,109029,922748980,245,225298,0,922746880,2,6,/input/data/work/5e/998300e1119e38f3f458621328af07,true,-,0,-,-,-,-,-,-,-,7220,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,54,-,-,-,-,-,-,4,1,3,21,-
99,cpu02,-,68/7e6ddb,nf-687e6ddbee33e3f3af2ddca1a123c5d3,writeLargeFile,99,writeLargeFile (99),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702903760641,1702903767000,1702903774000,13359,978,-,112.2,0.0,3280896,5857280,3280896,5894144,109494,959449149,250,234258,36864,959447040,3,3,/input/data/work/68/7e6ddbee33e3f3af2ddca1a123c5d3,true,-,0,-,-,-,-,-,-,-,6270,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,4,0,3,21,-
