task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
21,cpu02,-,53/85e0c5,nf-5385e0c570b757249ee6e2b2cd843e26,writeLargeFile,21,writeLargeFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704661175957,1704661176000,1704661183000,7043,1078,-,92.7,0.0,6643712,185212928,6643712,185249792,109530,967837767,251,236306,12169216,967835648,137,4,/input/data/work/53/85e0c570b757249ee6e2b2cd843e26,true,-,0,-,-,-,-,-,-,-,121,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,121,-,-,-,-,-,-,40,12,34,33,-
25,cpu02,-,56/f51cc2,nf-56f51cc2768af30a9a515cc4af7c8fd9,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704661176097,1704661176000,1704661183000,6903,1074,-,93.8,0.0,7405568,185212928,7405568,185249792,109487,1001392160,251,244498,10162176,1001390080,138,4,/input/data/work/56/f51cc2768af30a9a515cc4af7c8fd9,true,-,0,-,-,-,-,-,-,-,56,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,8,1,5,25,-
1,cpu02,-,0d/8bcf0e,nf-0d8bcf0e4ea02170c3bd3728adb0d1be,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704661176138,1704661176000,1704661183000,6862,1040,-,106.8,0.0,27389952,326901760,27389952,326938624,109478,1056966693,250,258066,40960,1056964608,5,5,/input/data/work/0d/8bcf0e4ea02170c3bd3728adb0d1be,true,-,0,-,-,-,-,-,-,-,37,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,8,1,6,24,-
22,cpu01,-,ec/924d16,nf-ec924d16df6cd133fb0256269eb5fbfa,writeLargeFile,22,writeLargeFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704661176011,1704661177000,1704661184000,7989,1030,-,98.6,0.0,28102656,326897664,28102656,326934528,108805,1050675223,248,256530,24576,1050673152,3,5,/input/data/work/ec/924d16df6cd133fb0256269eb5fbfa,true,-,0,-,-,-,-,-,-,-,107,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,9,1,6,35,-
10,cpu01,-,a7/ea2893,nf-a7ea289397fd55166ac19b96dc501b74,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704661176057,1704661177000,1704661184000,7943,994,-,101.2,0.0,27557888,326901760,27557888,326938624,108802,1021315091,248,249362,20480,1021313024,3,7,/input/data/work/a7/ea289397fd55166ac19b96dc501b74,true,-,0,-,-,-,-,-,-,-,71,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,10,1,5,28,-
11,cpu01,-,87/730ead,nf-87730eadf1f2e1473f15d18d82cafba2,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704661176178,1704661177000,1704661184000,7822,966,-,101.0,0.0,27750400,326901760,27750400,326938624,108840,951060536,248,232210,28672,951058432,3,8,/input/data/work/87/730eadf1f2e1473f15d18d82cafba2,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,7,1,5,25,-
94,cpu01,-,d0/1c7dc7,nf-d01c7dc7fd55059b1a8c3d7e11673543,writeLargeFile,94,writeLargeFile (94),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704661179380,1704661187000,1704661194000,14620,968,-,108.5,0.0,27893760,326901760,27893760,326938624,108802,1030752275,248,251666,16384,1030750208,3,7,/input/data/work/d0/1c7dc7fd55059b1a8c3d7e11673543,true,-,0,-,-,-,-,-,-,-,6892,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,55,-,-,-,-,-,-,9,6,3,21,-
97,cpu01,-,92/37eb31,nf-9237eb317f166fd04b2a867e84a01ba1,writeLargeFile,97,writeLargeFile (97),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704661179411,1704661187000,1704661194000,14589,915,-,106.2,0.0,27709440,326897664,27709440,326934528,108679,922748971,245,225298,24576,922746880,3,7,/input/data/work/92/37eb317f166fd04b2a867e84a01ba1,true,-,0,-,-,-,-,-,-,-,6801,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,55,-,-,-,-,-,-,7,0,4,19,-
100,cpu01,-,bd/a46107,nf-bda46107a7b55d2ceaac09ef097ae5a0,writeLargeFile,100,writeLargeFile (100),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704661179443,1704661187000,1704661194000,14557,946,-,107.7,0.0,27357184,326901760,27357184,326938624,108800,954206225,248,232978,12288,954204160,3,6,/input/data/work/bd/a46107a7b55d2ceaac09ef097ae5a0,true,-,0,-,-,-,-,-,-,-,6710,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,56,-,-,-,-,-,-,7,1,3,20,-
86,cpu02,-,ae/79ae57,nf-ae79ae57eedb11bab30d237bef96ff4a,writeLargeFile,86,writeLargeFile (86),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704661179474,1704661186000,1704661192000,12526,951,-,110.3,0.0,27901952,326901760,27901952,326938624,109528,978323538,251,238866,32768,978321408,5,4,/input/data/work/ae/79ae57eedb11bab30d237bef96ff4a,true,-,0,-,-,-,-,-,-,-,6324,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,53,-,-,-,-,-,-,7,1,3,20,-
