task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
27,cpu02,-,b2/17d6ec,nf-b217d6ec53168c2bb5d6657db79060e7,writeLargeFile,27,writeLargeFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702911895713,1702911899000,1702911905000,9287,887,-,104.5,0.0,3321856,5857280,3321856,5894144,109358,913311833,247,222994,0,913309696,4,0,/input/data/work/b2/17d6ec53168c2bb5d6657db79060e7,true,-,0,-,-,-,-,-,-,-,105,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,105,-,-,-,-,-,-,36,10,33,36,-
15,cpu01,-,79/88a450,nf-7988a4507c30a407adfd577773b154b4,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702911895753,1702911896000,1702911904000,8247,906,-,101.6,0.0,27975680,326901760,27975680,326938624,109043,871368770,245,212754,0,871366656,2,6,/input/data/work/79/88a4507c30a407adfd577773b154b4,true,-,0,-,-,-,-,-,-,-,102,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,6,1,5,26,-
19,cpu01,-,41/8b9cf1,nf-418b9cf114554e020b0a449b5524847d,writeLargeFile,19,writeLargeFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702911895791,1702911896000,1702911904000,8209,980,-,100.2,0.0,28135424,326901760,28135424,326938624,109209,994052170,248,242706,0,994050048,2,7,/input/data/work/41/8b9cf114554e020b0a449b5524847d,true,-,0,-,-,-,-,-,-,-,71,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,6,1,6,24,-
23,cpu01,-,39/2fab0d,nf-392fab0dba925b8af04d8aea0c145cb9,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702911895829,1702911896000,1702911904000,8171,1042,-,107.8,0.0,28639232,326901760,28639232,326938624,109225,1002440795,248,244754,0,1002438656,2,7,/input/data/work/39/2fab0dba925b8af04d8aea0c145cb9,true,-,0,-,-,-,-,-,-,-,43,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-,5,2,6,24,-
18,cpu02,-,49/924703,nf-4992470324fce85bcfe368b022d09b6e,writeLargeFile,18,writeLargeFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702911895867,1702911899000,1702911905000,9133,986,-,94.4,0.0,3338240,5857280,3338240,5894144,109509,973080653,250,237586,0,973078528,2,3,/input/data/work/49/92470324fce85bcfe368b022d09b6e,true,-,0,-,-,-,-,-,-,-,20,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,6,1,5,25,-
10,cpu02,-,62/50136e,nf-6250136efcf99ae8e44615832b214462,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702911895906,1702911899000,1702911905000,9094,1000,-,105.1,0.0,28684288,326901760,28684288,326938624,109524,1021315164,250,249362,0,1021313024,5,7,/input/data/work/62/50136efcf99ae8e44615832b214462,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,5,1,6,26,-
33,cpu01,-,3a/0c21a2,nf-3a0c21a23741720d492e992b8936fe7f,writeLargeFile,33,writeLargeFile (33),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702911896791,1702911907000,1702911916000,19209,916,-,105.7,0.0,27906048,326901760,27906048,326938624,109083,887097450,245,216594,0,887095296,2,8,/input/data/work/3a/0c21a23741720d492e992b8936fe7f,true,-,0,-,-,-,-,-,-,-,10153,-,-,83,-,-,-,-,-,-,-,-,-,-,-,-,-,63,-,-,-,-,-,-,5,1,4,22,-
34,cpu01,-,14/aac56a,nf-14aac56ab9e9525f93f6e1d4abf1b76f,writeLargeFile,34,writeLargeFile (34),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702911896823,1702911908000,1702911916000,19177,897,-,114.2,0.0,28262400,326901760,28262400,326938624,109065,991955032,245,242194,0,991952896,2,6,/input/data/work/14/aac56ab9e9525f93f6e1d4abf1b76f,true,-,0,-,-,-,-,-,-,-,10178,-,-,83,-,-,-,-,-,-,-,-,-,-,-,-,-,54,-,-,-,-,-,-,5,1,4,21,-
35,cpu01,-,fd/492395,nf-fd492395bf61adf7db44bad6e29096d1,writeLargeFile,35,writeLargeFile (35),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702911896855,1702911907000,1702911916000,19145,931,-,110.5,0.0,28426240,326901760,28426240,326938624,109055,931137607,247,227346,0,931135488,2,7,/input/data/work/fd/492395bf61adf7db44bad6e29096d1,true,-,0,-,-,-,-,-,-,-,10202,-,-,83,-,-,-,-,-,-,-,-,-,-,-,-,-,52,-,-,-,-,-,-,5,0,4,22,-
36,cpu02,-,fe/c08a05,nf-fec08a0519d9014956cf0dad03a11b48,writeLargeFile,36,writeLargeFile (36),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702911896884,1702911908000,1702911915000,18116,1073,-,104.4,0.0,27353088,321576960,27353088,321613824,109525,1024460894,250,250130,0,1024458752,4,5,/input/data/work/fe/c08a0519d9014956cf0dad03a11b48,true,-,0,-,-,-,-,-,-,-,10614,-,-,83,-,-,-,-,-,-,-,-,-,-,-,-,-,48,-,-,-,-,-,-,5,1,4,18,-
80,cpu02,-,bc/df2ca6,nf-bcdf2ca619a44027cd3566ca01384888,writeLargeFile,80,writeLargeFile (80),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702911898289,1702911908000,1702911915000,16711,890,-,112.8,0.0,27787264,326901760,27787264,326938624,109346,894437453,247,218386,0,894435328,5,5,/input/data/work/bc/df2ca619a44027cd3566ca01384888,true,-,0,-,-,-,-,-,-,-,9322,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,48,-,-,-,-,-,-,5,0,4,21,-
