task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
11,cpu02,-,4a/0f170d,nf-4a0f170dec213a2f35a8cc22670a0fc2,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704670620010,1704670620000,1704670627000,6990,959,-,105.9,0.0,27701248,326897664,27701248,326934528,109508,951060541,251,232210,36864,951058432,5,7,/input/data/work/4a/0f170dec213a2f35a8cc22670a0fc2,true,-,0,-,-,-,-,-,-,-,106,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,106,-,-,-,-,-,-,49,14,35,34,-
22,cpu01,-,39/9e9060,nf-399e906077abdf544a03a8932e600342,writeLargeFile,22,writeLargeFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704670620058,1704670620000,1704670629000,8942,958,-,110.2,0.0,28090368,326897664,28090368,326934528,108880,1050675293,248,256530,0,1050673152,3,6,/input/data/work/39/9e906077abdf544a03a8932e600342,true,-,0,-,-,-,-,-,-,-,96,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,10,1,6,28,-
16,cpu01,-,df/79c935,nf-df79c9356120bdf2166166a8768ede6c,writeLargeFile,16,writeLargeFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704670620103,1704670621000,1704670629000,8897,894,-,98.2,0.0,27688960,326897664,27688960,326934528,108699,887097401,245,216594,0,887095296,3,7,/input/data/work/df/79c9356120bdf2166166a8768ede6c,true,-,0,-,-,-,-,-,-,-,61,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,10,1,6,27,-
2,cpu02,-,f4/a034dc,nf-f4a034dca6cd4c23d699279e9ee2b472,writeLargeFile,2,writeLargeFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704670620145,1704670620000,1704670627000,6855,932,-,107.9,0.0,27701248,326897664,27701248,326934528,109375,881854549,250,215314,32768,881852416,7,6,/input/data/work/f4/a034dca6cd4c23d699279e9ee2b472,true,-,0,-,-,-,-,-,-,-,39,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,9,1,6,25,-
32,cpu02,-,4c/24bdac,nf-4c24bdac3d56b6ad7f5fc7aac021dbc1,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704670620187,1704670621000,1704670627000,6813,970,-,111.1,0.0,27439104,326897664,27439104,326934528,109513,1069549642,250,261138,36864,1069547520,5,6,/input/data/work/4c/24bdac3d56b6ad7f5fc7aac021dbc1,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,7,1,6,27,-
1,cpu01,-,77/59bdc7,nf-7759bdc72d676b0bdc56b1abe5cb34d3,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704670620231,1704670621000,1704670629000,8769,975,-,102.7,0.0,27586560,326897664,27586560,326934528,108849,1056966718,248,258066,0,1056964608,3,6,/input/data/work/77/59bdc72d676b0bdc56b1abe5cb34d3,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,8,2,6,26,-
98,cpu02,-,aa/23f6d7,nf-aa23f6d7353fc900b6b5a89c76cb4431,writeLargeFile,98,writeLargeFile (98),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704670623541,1704670630000,1704670638000,14459,947,-,105.0,0.0,27508736,326901760,27508736,326938624,109518,905971788,250,221202,36864,905969664,5,5,/input/data/work/aa/23f6d7353fc900b6b5a89c76cb4431,true,-,0,-,-,-,-,-,-,-,6125,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,8,1,3,22,-
85,cpu02,-,ea/b764f7,nf-eab764f7ed7ec313dafc3ebd024d5e00,writeLargeFile,85,writeLargeFile (85),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704670623574,1704670630000,1704670638000,14426,1019,-,97.8,0.0,28119040,326897664,28119040,326934528,109516,994052170,250,242706,32768,994050048,5,4,/input/data/work/ea/b764f7ed7ec313dafc3ebd024d5e00,true,-,0,-,-,-,-,-,-,-,6035,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,52,-,-,-,-,-,-,8,0,3,21,-
86,cpu02,-,34/af2839,nf-34af2839b1f034e0bfde97d8d55d52e9,writeLargeFile,86,writeLargeFile (86),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704670623607,1704670630000,1704670638000,14393,960,-,108.8,0.0,27975680,326901760,27975680,326938624,109511,978323525,250,238866,40960,978321408,5,7,/input/data/work/34/af2839b1f034e0bfde97d8d55d52e9,true,-,0,-,-,-,-,-,-,-,5942,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,68,-,-,-,-,-,-,8,0,4,19,-
10,cpu01,-,63/cd10b9,nf-63cd10b925bbf45bcf6f7fdd23541a50,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704670621285,1704670631000,1704670645000,23715,968,-,98.8,0.0,27586560,326901760,27586560,326938624,108884,1021315169,248,249362,0,1021313024,3,6,/input/data/work/63/cd10b925bbf45bcf6f7fdd23541a50,true,-,0,-,-,-,-,-,-,-,9891,-,-,77,-,-,-,-,-,-,-,-,-,-,-,-,-,59,-,-,-,-,-,-,9,0,4,21,-
