task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
2,cpu02,8a/6cf97d,nf-8a6cf97d187d00f848b8a94422fac194,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1702760303630,1702760313000,1702760322000,18370,1000,-,64.6,0.0,3006464,11567104,3006464,11571200,690714,9283,248,18,0,20480,2,1,/input/data/work/8a/6cf97d187d00f848b8a94422fac194,true,-,7,2,2,30
1,cpu01,de/97c747,nf-de97c7478e7ab37964a776bf2f563c62,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1702760303664,1702760304000,1702760356000,52336,45000,-,49.8,2.1,2852933632,2873925632,2852933632,2873929728,916296488,25693124,112010,3154,0,25702400,31,11650,/input/data/work/de/97c7478e7ab37964a776bf2f563c62,true,-,6,1,3,23
3,cpu02,00/bc2d97,nf-00bc2d9737b3caa59adab5f9465b7794,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1702760303585,1702760313000,1702760397000,93415,77000,-,19.1,0.0,4841472,12394496,4841472,12398592,3147403577,5953,48262,20,0,16384,403,3754,/input/data/work/00/bc2d9737b3caa59adab5f9465b7794,true,-,21,8,30,69
61,cpu01,c8/2e95ad,nf-c82e95ad0e246c7957fbeb143d74d12d,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702760329657,1702760330000,1702760403000,73343,71000,-,81.4,0.2,234688512,2941747200,234688512,3006763008,595351311,1730285,1132894,5507,0,2097152,3,9,/input/data/work/c8/2e95ad0e246c7957fbeb143d74d12d,true,-,11,2,2,24
214,cpu02,ac/b77fb8,nf-acb77fb871a0c26d224c60d141ab6124,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1702760403244,1702760404000,1702760411000,7756,4000,-,0.8,0.0,2912256,11567104,2912256,11571200,102578,26545,196,23,0,20480,2,2,/input/data/work/ac/b77fb871a0c26d224c60d141ab6124,true,-,4,0,3,24
10,cpu02,87/f3737b,nf-87f3737bf85dbc1d5ea8df1b413398b7,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702760328905,1702760329000,1702760411000,82095,80000,-,98.6,0.2,235933696,2941747200,235950080,2942840832,807712517,1747932,1547565,5488,0,2109440,6,4,/input/data/work/87/f3737bf85dbc1d5ea8df1b413398b7,true,-,9,2,4,29
41,cpu01,7b/d07f18,nf-7bd07f188d53f04db7b1b8fe7ac3205d,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702760329098,1702760329000,1702760413000,83902,81000,-,86.1,0.2,259825664,3017633792,259825664,3049443328,730971835,1745723,1397701,5521,0,2170880,3,9,/input/data/work/7b/d07f188d53f04db7b1b8fe7ac3205d,true,-,7,1,3,24
22,cpu02,7b/5ffb04,nf-7b5ffb04976bc0446cf182f3882b2462,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702760329311,1702760330000,1702760411000,81689,79000,-,99.2,0.2,236105728,2941747200,236109824,3006767104,827222217,1751204,1585773,5553,0,2117632,6,6,/input/data/work/7b/5ffb04976bc0446cf182f3882b2462,true,-,4,1,3,23
17,cpu02,71/e033f7,nf-71e033f7cc93b815232ccaa2f8fa4130,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702760329407,1702760330000,1702760413000,83593,81000,-,97.6,0.2,273367040,3021828096,274313216,3048689664,822034662,1746355,1575573,5526,0,2822144,6,9,/input/data/work/71/e033f7cc93b815232ccaa2f8fa4130,true,-,4,1,3,19
4,cpu02,3a/c9aac2,nf-3ac9aac2ac7b564728975ae84379f645,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702760328996,1702760330000,1702760414000,85004,83000,-,97.3,0.2,236380160,2941747200,236380160,3006763008,836425579,1751066,1603607,5531,0,2248704,6,4,/input/data/work/3a/c9aac2ac7b564728975ae84379f645,true,-,4,8,4,21
