task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
2,cpu02,-,43/8ae82c,nf-438ae82c2fbca22509af413ed0cd105a,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1702673729981,1702673739000,1702673745000,15019,0,-,106.1,0.0,10498048,37687296,10498048,37695488,690715,9284,248,18,24576,20480,9,7,/input/data/work/43/8ae82c2fbca22509af413ed0cd105a,true,-,0,-,-,-,-,-,-,-,119,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,119,-,-,-,-,-,-,24,7,33,36,-
3,cpu01,-,ea/3c7261,nf-ea3c7261e22c29683718b8ae2d205c63,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1702673730062,1702673742000,1702673762000,31938,10000,-,101.4,0.0,4947968,12394496,4947968,12398592,3147403298,5952,48261,20,0,16384,2,980,/input/data/work/ea/3c7261e22c29683718b8ae2d205c63,true,-,0,-,-,-,-,-,-,-,95,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,44,-,-,-,-,-,-,6,2,3,24,-
1,cpu01,-,cb/ce11c1,nf-cbce11c17507c807bf018e94a45d0eeb,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1702673730025,1702673736000,1702673785000,54975,47000,-,46.4,2.1,2877239296,2898296832,2877239296,2898300928,916296483,25693124,112010,3154,28672,25702400,34,12627,/input/data/work/cb/ce11c17507c807bf018e94a45d0eeb,true,-,0,-,-,-,-,-,-,-,125,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,6,2,3,28,-
214,cpu01,-,52/49d4ab,nf-5249d4ab7b42736debc2e62aa326e0c7,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1702673768552,1702673810000,1702673815000,46448,0,-,4.8,0.0,2805760,11567104,2805760,11571200,102300,26544,195,23,40960,20480,1,1,/input/data/work/52/49d4ab7b42736debc2e62aa326e0c7,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,4,1,2,18,-
4,cpu02,-,d2/fd7630,nf-d2fd76308175981f2fa14cfaece7964c,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702673762528,1702673783000,1702673875000,112472,87000,-,87.9,0.2,245796864,3014103040,245796864,3077021696,836425989,1751066,1603597,5489,0,2035712,6,2,/input/data/work/d2/fd76308175981f2fa14cfaece7964c,true,-,0,-,-,-,-,-,-,-,13,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,5,2,3,24,-
7,cpu02,-,77/59c8b6,nf-7759c8b6b04aa04c41477a2b0669ca92,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702673762559,1702673786000,1702673875000,112441,84000,-,84.8,0.2,236195840,2941747200,236208128,3006763008,771029301,1748403,1475839,5480,0,2031616,5,3,/input/data/work/77/59c8b6b04aa04c41477a2b0669ca92,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,5,1,3,21,-
22,cpu02,-,ef/e2daeb,nf-efe2daeb0fe0e8baced8c862ac43fe25,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702673762785,1702673788000,1702673878000,115215,88000,-,86.3,0.2,235745280,2941747200,236027904,3006763008,827254445,1751202,1585720,5532,0,2510848,5,7,/input/data/work/ef/e2daeb0fe0e8baced8c862ac43fe25,true,-,0,-,-,-,-,-,-,-,12,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,6,2,2,21,-
32,cpu02,-,1a/2e1b18,nf-1a2e1b180ec71ecdac60fe8677334f75,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702673762905,1702673791000,1702673878000,115095,82000,-,89.2,0.2,236732416,2941747200,236732416,3006763008,804337764,1755188,1541011,5542,0,2093056,5,5,/input/data/work/1a/2e1b180ec71ecdac60fe8677334f75,true,-,0,-,-,-,-,-,-,-,13,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,5,1,3,22,-
40,cpu01,-,21/52a0ec,nf-2152a0ecfb15177a58be3c63d9093f6d,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702673763013,1702673783000,1702673875000,111987,88000,-,76.7,0.2,235397120,2941747200,235405312,3006763008,730972894,1745723,1397760,5521,0,2162688,3,4,/input/data/work/21/52a0ecfb15177a58be3c63d9093f6d,true,-,0,-,-,-,-,-,-,-,13,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,4,1,4,24,-
49,cpu01,-,47/bf82b7,nf-47bf82b7b9f0ab9f95e9184247728158,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702673763224,1702673791000,1702673875000,111776,82000,-,76.4,0.2,242593792,3012005888,242593792,3012018176,670764179,1758076,1280123,5550,0,2236416,4,5,/input/data/work/47/bf82b7b9f0ab9f95e9184247728158,true,-,0,-,-,-,-,-,-,-,12,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,5,1,3,19,-
