task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
2,cpu02,-,ef/127dd6,nf-ef127dd67643876fdc137180c10e59ec,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1702717054687,1702717058000,1702717096000,41313,33000,-,40.8,0.0,4997120,12394496,4997120,12398592,3147403577,5953,48262,20,0,16384,311,2926,/input/data/work/ef/127dd67643876fdc137180c10e59ec,true,-,0,-,-,-,-,-,-,-,112,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,112,-,-,-,-,-,-,20,7,31,31,-
1,cpu01,-,45/f6ae17,nf-45f6ae17958c23297b95918688117e73,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1702717054730,1702717060000,1702717096000,41270,0,-,89.9,0.0,10358784,33492992,10358784,33497088,690437,9281,247,18,28672,20480,9,7,/input/data/work/45/f6ae17958c23297b95918688117e73,true,-,0,-,-,-,-,-,-,-,104,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,6,2,3,29,-
4,cpu02,-,b6/1a980a,nf-b61a980a818edc14100870374501d203,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1702717096943,1702717102000,1702717117000,20057,5000,-,0.8,0.0,2928640,11567104,2928640,11571200,102577,26545,196,23,0,20480,2,1,/input/data/work/b6/1a980a818edc14100870374501d203,true,-,0,-,-,-,-,-,-,-,26,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,7,2,2,42,-
3,cpu01,-,7c/7a5dd2,nf-7c7a5dd2afd147c8c7a3cafc81391d8d,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1702717054769,1702717063000,1702717117000,62231,52000,-,42.4,2.1,2903810048,2924998656,2903810048,2925002752,916296485,25693124,112010,3154,32768,25702400,46,13450,/input/data/work/7c/7a5dd2afd147c8c7a3cafc81391d8d,true,-,0,-,-,-,-,-,-,-,73,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,5,2,2,29,-
61,cpu02,-,ff/520de3,nf-ff520de327bcdc74ca7ecadd75163e58,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702717097411,1702717125000,1702717196000,98589,66000,-,87.3,0.2,274415616,3019730944,275980288,3048689664,633581858,1726387,1207550,5491,0,2195456,5,5,/input/data/work/ff/520de327bcdc74ca7ecadd75163e58,true,-,0,-,-,-,-,-,-,-,13,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,5,1,3,20,-
70,cpu02,-,e1/f00804,nf-e1f00804d53867ffac0c337f44065c6b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702717097471,1702717126000,1702717196000,98529,63000,-,87.9,0.2,235769856,2941747200,235769856,3006763008,601107274,1719638,1144047,5490,0,1998848,5,7,/input/data/work/e1/f00804d53867ffac0c337f44065c6b,true,-,0,-,-,-,-,-,-,-,13,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,5,2,3,17,-
8,cpu02,-,73/ef9c99,nf-73ef9c99a3218dee6b0990ef7ea54f74,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702717097120,1702717117000,1702717202000,104880,83000,-,87.7,0.2,240857088,3012005888,240857088,3012018176,771029679,1748403,1475852,5522,0,2158592,6,3,/input/data/work/73/ef9c99a3218dee6b0990ef7ea54f74,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,7,1,4,28,-
6,cpu02,-,b2/aea0a7,nf-b2aea0a7e74ea9510fa6446302e227cd,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702717097193,1702717118000,1702717207000,109807,87000,-,90.1,0.2,257818624,3017633792,257818624,3077021696,836426516,1751066,1603644,5531,0,2240512,5,4,/input/data/work/b2/aea0a7e74ea9510fa6446302e227cd,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,6,2,2,22,-
24,cpu02,-,e4/e64bad,nf-e4e64badd7e35e0723208d0c748a9a77,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702717097290,1702717122000,1702717211000,113710,86000,-,88.5,0.2,292167680,3021828096,292200448,3048689664,827254798,1751204,1585731,5532,0,2441216,5,6,/input/data/work/e4/e64badd7e35e0723208d0c748a9a77,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,4,1,5,19,-
27,cpu02,-,9f/afe584,nf-9fafe584aa32c2185994fbb6140e2797,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702717097321,1702717120000,1702717217000,119679,95000,-,85.5,0.2,235544576,2941747200,235544576,3006763008,873449700,1762720,1675998,5552,0,2445312,5,4,/input/data/work/9f/afe584aa32c2185994fbb6140e2797,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,5,1,3,21,-
