task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
2,cpu01,-,29/16ba48,nf-2916ba48499b6413ffe74f9e32ac7795,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1703070270467,1703070276000,1703070278000,7533,0,-,99.4,0.0,10997760,33906688,10997760,34807808,690443,9281,247,18,118784,20480,20,9,/input/data/work/29/16ba48499b6413ffe74f9e32ac7795,true,-,0,-,-,-,-,-,-,-,109,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,9,1,3,30,-
3,cpu01,-,c8/a8dc2b,nf-c8a8dc2b9b22d9b555f09849e0474e88,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1703070270505,1703070279000,1703070308000,37495,26000,-,88.4,2.2,2911281152,2932436992,2911281152,2932441088,916296491,25693124,112010,3154,727429120,25702400,3543,1968,/input/data/work/c8/a8dc2b9b22d9b555f09849e0474e88,true,-,0,-,-,-,-,-,-,-,82,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,33,-,-,-,-,-,-,9,1,3,23,-
1,cpu02,-,ce/94fcac,nf-ce94fcac0b3cf27037976aa0e77adbce,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1703070270420,1703070273000,1703070346000,75580,72000,-,25.8,0.0,4935680,12394496,4935680,12398592,3147403575,5953,48262,20,3147296768,16384,22235,1652,/input/data/work/ce/94fcac0b3cf27037976aa0e77adbce,true,-,0,-,-,-,-,-,-,-,116,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,116,-,-,-,-,-,-,25,9,33,36,-
214,cpu02,-,92/e67251,nf-92e672510669948576c380dae59337d3,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1703070349879,1703070357000,1703070360000,10121,0,-,10.4,0.0,3010560,11567104,3010560,11571200,102579,26547,196,23,24576,20480,1,0,/input/data/work/92/e672510669948576c380dae59337d3,true,-,0,-,-,-,-,-,-,-,391,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,390,-,-,-,-,-,-,384,1,2,119,-
45,cpu01,-,96/e8e732,nf-96e8e7320a76f51af178e87e0010231b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1703070283839,1703070300000,1703070445000,161161,144000,-,56.6,0.2,236027904,2941747200,236027904,3006763008,741724312,1748842,1418786,5532,720928768,2138112,4,6,/input/data/work/96/e8e7320a76f51af178e87e0010231b,true,-,0,-,-,-,-,-,-,-,25,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,24,2,3,32,-
7,cpu02,-,88/e7dccf,nf-88e7dccf4ca1a6c8ea23d8fc62dfd417,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1703070282954,1703070299000,1703070447000,164046,146000,-,56.9,0.2,236118016,2941747200,236118016,3006763008,771030228,1748403,1475965,5522,750239744,2138112,6,3,/input/data/work/88/e7dccf4ca1a6c8ea23d8fc62dfd417,true,-,0,-,-,-,-,-,-,-,33,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,33,-,-,-,-,-,-,32,1,4,30,-
55,cpu01,-,a6/3f45e4,nf-a63f45e49ad04630182a8b0816c15da4,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1703070284279,1703070303000,1703070448000,163721,143000,-,56.8,0.2,244002816,3014103040,244002816,3014115328,732446118,1758309,1400625,5541,711647232,2183168,4,4,/input/data/work/a6/3f45e49ad04630182a8b0816c15da4,true,-,0,-,-,-,-,-,-,-,26,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,22,2,3,35,-
35,cpu02,-,a0/e426bf,nf-a0e426bf5032ae987d7fdc5facd8d49c,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1703070283201,1703070303000,1703070455000,171799,149000,-,55.4,0.2,235663360,2941747200,235888640,3006763008,762722346,1749781,1459692,5531,741933056,2191360,6,2,/input/data/work/a0/e426bf5032ae987d7fdc5facd8d49c,true,-,0,-,-,-,-,-,-,-,27,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,24,1,3,30,-
36,cpu01,-,14/d2545d,nf-14d2545d375af3d68974923e0b46815d,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1703070283948,1703070301000,1703070458000,174052,153000,-,59.0,0.2,259952640,3017633792,260755456,3048689664,832741103,1754263,1596392,5534,811945984,2256896,4,4,/input/data/work/14/d2545d375af3d68974923e0b46815d,true,-,0,-,-,-,-,-,-,-,28,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,21,1,4,28,-
4,cpu02,-,b8/873025,nf-b88730256d0f588d672f58e29e0c2076,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1703070283011,1703070300000,1703070465000,181989,164000,-,55.3,0.2,234479616,2941747200,234479616,3006763008,836425883,1751066,1603620,5531,815636480,2252800,6,4,/input/data/work/b8/8730256d0f588d672f58e29e0c2076,true,-,0,-,-,-,-,-,-,-,28,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,23,2,3,28,-
