task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
1,cpu02,02/ac23db,nf-02ac23db05f3e6e806af1fde42a5d3c5,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921093958,1702921103000,1702921120000,26042,5986,-,19.5,0.0,32964608,709799936,34144256,945332224,108841,1056966633,254,258066,0,1056964608,23,15,/input/data/work/02/ac23db05f3e6e806af1fde42a5d3c5,true,-,20,8,33,72
29,cpu02,bb/21493c,nf-bb21493cd63ff669e9b866c9b3fc4878,revertFile,28,revertFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125192,1702921134000,1702921215000,89808,49293,-,19.4,0.0,4104192,10248192,4104192,10285056,3170953583,1056965030,193688,258062,0,1056964608,147439,127,/input/data/work/bb/21493cd63ff669e9b866c9b3fc4878,true,-,7,1,7,31
14,cpu01,7f/881d70,nf-7f881d70c348a1fb369b01571a49c6df,revertFile,13,revertFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125250,1702921126000,1702921215000,89750,57493,-,16.5,0.0,4014080,10248192,4014080,10285056,3170953312,1056965028,193688,258062,0,1056964608,150639,222,/input/data/work/7f/881d70c348a1fb369b01571a49c6df,true,-,7,1,6,31
11,cpu02,ef/b1badc,nf-efb1badc33b65836a436a26e8e6e19ca,revertFile,10,revertFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125285,1702921134000,1702921215000,89715,49200,-,19.4,0.0,4014080,10248192,4014080,10285056,3170953582,1056965030,193688,258062,0,1056964608,148367,133,/input/data/work/ef/b1badc33b65836a436a26e8e6e19ca,true,-,5,1,5,23
27,cpu01,f3/feb675,nf-f3feb675fa1d4e63bc5e9c50c94dfb3c,revertFile,26,revertFile (26),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125324,1702921126000,1702921215000,89676,57496,-,16.5,0.0,4034560,10248192,4034560,10285056,3170953312,1056965028,193688,258062,0,1056964608,154931,211,/input/data/work/f3/feb675fa1d4e63bc5e9c50c94dfb3c,true,-,4,1,6,26
10,cpu02,01/9b85bc,nf-019b85bcb73769ef91bead69ef3abdab,revertFile,9,revertFile (9),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125357,1702921134000,1702921215000,89643,49357,-,20.0,0.0,4116480,10248192,4116480,10285056,3170953583,1056965030,193688,258062,0,1056964608,118139,42,/input/data/work/01/9b85bcb73769ef91bead69ef3abdab,true,-,6,1,4,21
5,cpu01,9c/b7e888,nf-9cb7e88893cecee5458ca0f3ff17aa11,revertFile,4,revertFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125391,1702921126000,1702921215000,89609,57319,-,17.6,0.0,3977216,10248192,3977216,10285056,3170953313,1056965029,193688,258062,0,1056964608,125318,233,/input/data/work/9c/b7e88893cecee5458ca0f3ff17aa11,true,-,4,1,5,23
22,cpu01,c1/bb89d1,nf-c1bb89d1fd32b0c3bb66d829a09e1a3c,revertFile,21,revertFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125424,1702921218000,1702921255000,129576,5654,-,100.1,0.0,3948544,10248192,3948544,10285056,3170953313,1056965029,193688,258062,0,1056964608,10,317,/input/data/work/c1/bb89d1fd32b0c3bb66d829a09e1a3c,true,-,5,1,6,20
33,cpu01,6a/9c10c1,nf-6a9c10c193ed0732c73360b17ba02d93,revertFile,32,revertFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125458,1702921217000,1702921255000,129542,5575,-,100.2,0.0,3985408,10248192,3985408,10285056,3170953313,1056965029,193688,258062,0,1056964608,11,327,/input/data/work/6a/9c10c193ed0732c73360b17ba02d93,true,-,5,0,6,22
7,cpu01,f4/cb4776,nf-f4cb47766c272eeb945e0e980df07161,revertFile,6,revertFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125487,1702921218000,1702921255000,129513,5630,-,100.1,0.0,4022272,10248192,4022272,10285056,3170953313,1056965029,193688,258062,0,1056964608,5,321,/input/data/work/f4/cb47766c272eeb945e0e980df07161,true,-,5,1,4,18
2,cpu02,a4/11af8d,nf-a411af8d79994f66942199a17a040f7f,revertFile,1,revertFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125521,1702921218000,1702921256000,130479,5782,-,99.9,0.0,3874816,10248192,3874816,10285056,3170953583,1056965030,193688,258062,0,1056964608,5,312,/input/data/work/a4/11af8d79994f66942199a17a040f7f,true,-,5,1,5,22
23,cpu02,bd/d80d03,nf-bdd80d0359ba2701a5af0a8a63e17327,revertFile,22,revertFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125553,1702921218000,1702921256000,130447,5760,-,100.0,0.0,3870720,10248192,3870720,10285056,3170953584,1056965031,193688,258062,0,1056964608,5,323,/input/data/work/bd/d80d0359ba2701a5af0a8a63e17327,true,-,6,0,4,21
8,cpu02,dc/2647a6,nf-dc2647a678e781e05b0a07b8f8e287e2,revertFile,7,revertFile (7),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125588,1702921218000,1702921256000,130412,5724,-,99.9,0.0,4091904,10248192,4091904,10285056,3170953583,1056965030,193688,258062,0,1056964608,5,313,/input/data/work/dc/2647a678e781e05b0a07b8f8e287e2,true,-,7,1,4,22
28,cpu01,97/cd7bde,nf-97cd7bdebf0e1ef06e7d6506076d981b,revertFile,27,revertFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125621,1702921258000,1702921295000,169379,5612,-,100.3,0.0,3899392,10248192,3899392,10285056,3170953313,1056965029,193688,258062,0,1056964608,4,325,/input/data/work/97/cd7bdebf0e1ef06e7d6506076d981b,true,-,4,1,5,22
35,cpu01,dc/7105a4,nf-dc7105a475062fbdc64c47ad183ae8b6,revertFile,34,revertFile (34),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125652,1702921258000,1702921295000,169348,5564,-,100.3,0.0,4067328,10248192,4067328,10285056,3170953313,1056965029,193688,258062,0,1056964608,4,336,/input/data/work/dc/7105a475062fbdc64c47ad183ae8b6,true,-,4,1,4,21
15,cpu01,e1/f41f07,nf-e1f41f075a8aa63493047c14b4f4d893,revertFile,14,revertFile (14),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125688,1702921257000,1702921295000,169312,5554,-,100.3,0.0,4018176,10248192,4018176,10285056,3170953313,1056965029,193688,258062,0,1056964608,6,324,/input/data/work/e1/f41f075a8aa63493047c14b4f4d893,true,-,6,1,4,23
18,cpu02,1d/4e2b97,nf-1d4e2b979bb7477652ec463f637333d5,revertFile,17,revertFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125718,1702921258000,1702921296000,170282,5726,-,100.2,0.0,4018176,10248192,4018176,10285056,3170953584,1056965031,193688,258062,0,1056964608,9,309,/input/data/work/1d/4e2b979bb7477652ec463f637333d5,true,-,3,1,5,19
13,cpu02,1c/484da4,nf-1c484da4ae4db52ffcb6bb45ce48ec27,revertFile,12,revertFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125748,1702921258000,1702921296000,170252,5694,-,100.4,0.0,3960832,10248192,3960832,10285056,3170953584,1056965031,193688,258062,0,1056964608,6,321,/input/data/work/1c/484da4ae4db52ffcb6bb45ce48ec27,true,-,4,1,4,19
24,cpu02,73/1679dd,nf-731679ddcc8a42141cadca9b1978fdbb,revertFile,23,revertFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125781,1702921258000,1702921296000,170219,5688,-,100.1,0.0,3956736,10248192,3956736,10285056,3170953583,1056965031,193688,258062,0,1056964608,5,310,/input/data/work/73/1679ddcc8a42141cadca9b1978fdbb,true,-,6,1,5,20
3,cpu01,29/449460,nf-29449460fd4eee8b093235c433158055,revertFile,2,revertFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125808,1702921298000,1702921335000,209192,5571,-,99.9,0.0,4022272,10248192,4022272,10285056,3170953312,1056965028,193688,258062,0,1056964608,18,328,/input/data/work/29/449460fd4eee8b093235c433158055,true,-,4,1,3,18
4,cpu01,81/e0052d,nf-81e0052d61da62a3abc8a7b494f7941f,revertFile,3,revertFile (3),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125836,1702921298000,1702921335000,209164,5581,-,100.2,0.0,4009984,10248192,4009984,10285056,3170953312,1056965029,193688,258062,0,1056964608,8,327,/input/data/work/81/e0052d61da62a3abc8a7b494f7941f,true,-,3,0,4,20
17,cpu01,3c/62f695,nf-3c62f69500f763d164df55efe11b3e9d,revertFile,16,revertFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125867,1702921298000,1702921335000,209133,5614,-,99.9,0.0,3923968,10248192,3923968,10285056,3170953311,1056965028,193688,258062,0,1056964608,4,323,/input/data/work/3c/62f69500f763d164df55efe11b3e9d,true,-,4,1,4,21
12,cpu02,37/3acd26,nf-373acd2603fbe16ace9d74fd4e1c81f6,revertFile,11,revertFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125897,1702921298000,1702921336000,210103,5680,-,100.1,0.0,4022272,10248192,4022272,10285056,3170953584,1056965031,193688,258062,0,1056964608,5,310,/input/data/work/37/3acd2603fbe16ace9d74fd4e1c81f6,true,-,5,1,4,19
19,cpu02,36/e09fe1,nf-36e09fe15b859c24cf7aa72157bac399,revertFile,18,revertFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125929,1702921299000,1702921336000,210071,5672,-,99.9,0.0,4014080,10248192,4014080,10285056,3170953582,1056965030,193688,258062,0,1056964608,5,316,/input/data/work/36/e09fe15b859c24cf7aa72157bac399,true,-,6,1,4,20
20,cpu02,f7/147c2c,nf-f7147c2c2f65a0a2345e0002c98588d3,revertFile,19,revertFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125958,1702921298000,1702921336000,210042,5687,-,100.3,0.0,4055040,10248192,4055040,10285056,3170953583,1056965031,193688,258062,0,1056964608,8,314,/input/data/work/f7/147c2c2f65a0a2345e0002c98588d3,true,-,6,0,4,17
26,cpu01,3e/26ec19,nf-3e26ec198108d9127bf0c67ca4fb96ab,revertFile,25,revertFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921125988,1702921338000,1702921375000,249012,5556,-,100.1,0.0,3956736,10248192,3956736,10285056,3170953313,1056965029,193688,258062,0,1056964608,5,326,/input/data/work/3e/26ec198108d9127bf0c67ca4fb96ab,true,-,5,0,3,20
53,cpu01,bb/5180c6,nf-bb5180c6ad5ee436fd40cb9ff2ebd171,revertFile,52,revertFile (52),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126021,1702921338000,1702921375000,248979,5561,-,100.3,0.0,3952640,10248192,3952640,10285056,3170953313,1056965029,193688,258062,0,1056964608,10,366,/input/data/work/bb/5180c6ad5ee436fd40cb9ff2ebd171,true,-,5,1,4,22
30,cpu01,84/1653a8,nf-841653a820d932d3157c98299b0ba4ab,revertFile,29,revertFile (29),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126051,1702921338000,1702921375000,248949,5561,-,100.0,0.0,4005888,10248192,4005888,10285056,3170953313,1056965029,193688,258062,0,1056964608,6,319,/input/data/work/84/1653a820d932d3157c98299b0ba4ab,true,-,6,1,3,19
6,cpu02,2c/5ce03d,nf-2c5ce03d1f37e98bc1425c052144cb8d,revertFile,5,revertFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126079,1702921339000,1702921380000,253921,5745,-,100.0,0.0,3907584,10248192,3907584,10285056,3170953584,1056965031,193688,258062,0,1056964608,5,315,/input/data/work/2c/5ce03d1f37e98bc1425c052144cb8d,true,-,5,0,4,17
9,cpu02,76/659dc3,nf-76659dc3e6326a5bb03830d52a43340e,revertFile,8,revertFile (8),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126112,1702921338000,1702921380000,253888,5750,-,100.2,0.0,4116480,10248192,4116480,10285056,3170953584,1056965031,193688,258062,0,1056964608,6,310,/input/data/work/76/659dc3e6326a5bb03830d52a43340e,true,-,6,1,3,21
25,cpu02,82/72b4ae,nf-8272b4ae8fde451d718d0ad81e595b07,revertFile,24,revertFile (24),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126149,1702921339000,1702921380000,253851,5799,-,100.2,0.0,3948544,10248192,3948544,10285056,3170953584,1056965031,193688,258062,0,1056964608,7,298,/input/data/work/82/72b4ae8fde451d718d0ad81e595b07,true,-,5,1,4,25
16,cpu01,7a/41e44c,nf-7a41e44c8e780efcec19379f62ae656d,revertFile,15,revertFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126179,1702921378000,1702921415000,288821,5522,-,99.9,0.0,3792896,10248192,3792896,10285056,3170953312,1056965028,193688,258062,0,1056964608,4,330,/input/data/work/7a/41e44c8e780efcec19379f62ae656d,true,-,5,1,5,18
42,cpu01,c1/ef478c,nf-c1ef478cebd0f19347c25ead48298f82,revertFile,41,revertFile (41),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126211,1702921378000,1702921415000,288789,5527,-,100.0,0.0,4091904,10248192,4091904,10285056,3170953313,1056965029,193688,258062,0,1056964608,4,323,/input/data/work/c1/ef478cebd0f19347c25ead48298f82,true,-,5,1,5,20
36,cpu01,2e/101b37,nf-2e101b37604ef78b47bb82afdaf5d4ca,revertFile,35,revertFile (35),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126246,1702921378000,1702921415000,288754,5515,-,100.0,0.0,3960832,10248192,3960832,10285056,3170953313,1056965029,193688,258062,0,1056964608,5,319,/input/data/work/2e/101b37604ef78b47bb82afdaf5d4ca,true,-,7,1,4,22
34,cpu02,48/2c3c1a,nf-482c3c1a38803718dc435596b18b13f0,revertFile,33,revertFile (33),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126276,1702921383000,1702921420000,293724,5727,-,100.3,0.0,4022272,10248192,4022272,10285056,3170953583,1056965031,193688,258062,0,1056964608,6,300,/input/data/work/48/2c3c1a38803718dc435596b18b13f0,true,-,5,0,4,20
31,cpu02,b8/496394,nf-b84963940caa6fa470582237cdbee9b5,revertFile,30,revertFile (30),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126307,1702921383000,1702921420000,293693,5724,-,100.2,0.0,4091904,10248192,4091904,10285056,3170953584,1056965031,193688,258062,0,1056964608,7,315,/input/data/work/b8/4963940caa6fa470582237cdbee9b5,true,-,4,0,4,22
21,cpu02,b3/135f81,nf-b3135f81284a5bfce5b64038cfcde83e,revertFile,20,revertFile (20),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126339,1702921382000,1702921420000,293661,5691,-,100.3,0.0,4014080,10248192,4014080,10285056,3170953583,1056965031,193688,258062,0,1056964608,11,307,/input/data/work/b3/135f81284a5bfce5b64038cfcde83e,true,-,6,0,4,20
32,cpu01,21/81ef1d,nf-2181ef1d7c6e58f6f987624b4e95d115,revertFile,31,revertFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126370,1702921417000,1702921455000,328630,5508,-,100.1,0.0,4059136,10248192,4059136,10285056,3170953313,1056965029,193688,258062,0,1056964608,11,323,/input/data/work/21/81ef1d7c6e58f6f987624b4e95d115,true,-,4,1,3,22
40,cpu01,64/8c9a0a,nf-648c9a0ab7cfc57f83f1c2ec204e2826,revertFile,39,revertFile (39),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126401,1702921417000,1702921455000,328599,5512,-,100.3,0.0,4030464,10248192,4030464,10285056,3170953313,1056965029,193688,258062,0,1056964608,13,336,/input/data/work/64/8c9a0ab7cfc57f83f1c2ec204e2826,true,-,4,1,4,21
39,cpu01,a5/ca2a54,nf-a5ca2a54a70a8985a1b958d72fbe3d94,revertFile,38,revertFile (38),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126431,1702921417000,1702921455000,328569,5514,-,100.4,0.0,4067328,10248192,4067328,10285056,3170953313,1056965029,193688,258062,0,1056964608,6,318,/input/data/work/a5/ca2a54a70a8985a1b958d72fbe3d94,true,-,5,0,4,18
38,cpu02,69/5a4160,nf-695a4160ea8704d0baab1facb9c86629,revertFile,37,revertFile (37),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126463,1702921423000,1702921460000,333537,5820,-,99.9,0.0,3997696,10248192,3997696,10285056,3170953583,1056965030,193688,258062,0,1056964608,12,296,/input/data/work/69/5a4160ea8704d0baab1facb9c86629,true,-,6,1,4,21
37,cpu02,95/6fefa6,nf-956fefa69f03bff57cab0323161835dc,revertFile,36,revertFile (36),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126495,1702921423000,1702921460000,333505,5644,-,100.2,0.0,3858432,10248192,3858432,10285056,3170953583,1056965031,193688,258062,0,1056964608,45,317,/input/data/work/95/6fefa69f03bff57cab0323161835dc,true,-,6,0,5,20
41,cpu02,19/7292d3,nf-197292d3f8a5726f7ff00e7f2a27f1f6,revertFile,40,revertFile (40),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126526,1702921423000,1702921460000,333474,5707,-,100.0,0.0,4030464,10248192,4030464,10285056,3170953584,1056965031,193688,258062,0,1056964608,103,306,/input/data/work/19/7292d3f8a5726f7ff00e7f2a27f1f6,true,-,5,1,4,20
44,cpu01,fe/1e1049,nf-fe1e1049659356dc6cd7197db93899d4,revertFile,43,revertFile (43),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126555,1702921457000,1702921495000,368445,5533,-,100.2,0.0,4149248,10248192,4149248,10285056,3170953313,1056965029,193688,258062,0,1056964608,16,324,/input/data/work/fe/1e1049659356dc6cd7197db93899d4,true,-,4,1,4,19
43,cpu01,62/004519,nf-6200451922b7cf758568b35f00f08f0a,revertFile,42,revertFile (42),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126584,1702921457000,1702921495000,368416,5511,-,100.1,0.0,3952640,10248192,3952640,10285056,3170953313,1056965029,193688,258062,0,1056964608,23,331,/input/data/work/62/00451922b7cf758568b35f00f08f0a,true,-,5,0,4,19
45,cpu01,34/65bd90,nf-3465bd904ff5f60baffdb20cda7eae97,revertFile,44,revertFile (44),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126617,1702921457000,1702921495000,368383,5523,-,100.0,0.0,4030464,10248192,4030464,10285056,3170953312,1056965029,193688,258062,0,1056964608,7,321,/input/data/work/34/65bd904ff5f60baffdb20cda7eae97,true,-,6,1,4,21
47,cpu02,d9/45352d,nf-d945352d0a599b5f2b045315fb9a5f61,revertFile,46,revertFile (46),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126648,1702921463000,1702921500000,373352,5805,-,99.9,0.0,3964928,10248192,3964928,10285056,3170953583,1056965030,193688,258062,0,1056964608,11,309,/input/data/work/d9/45352d0a599b5f2b045315fb9a5f61,true,-,6,0,4,19
46,cpu02,0d/0c856b,nf-0d0c856b4e4c05c34f6dbc509051731f,revertFile,45,revertFile (45),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702921126678,1702921463000,1702921500000,373322,5775,-,100.1,0.0,4042752,10248192,4042752,10285056,3170953584,1056965031,193688,258062,0,1056964608,35,303,/input/data/work/0d/0c856b4e4c05c34f6dbc509051731f,true,-,5,1,3,20
