task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
1,cpu02,-,0c/67ec97,nf-0c67ec9778b409613c5bfc993e4ebdd0,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702919240118,1702919245000,1702919250000,9882,907,-,110.9,0.0,28004352,326901760,28004352,326938624,109361,1056966749,247,258066,0,1056964608,5,6,/input/data/work/0c/67ec9778b409613c5bfc993e4ebdd0,true,-,0,-,-,-,-,-,-,-,103,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,103,-,-,-,-,-,-,24,8,36,32,-
15,cpu02,-,3e/7e3f1f,nf-3e7e3f1fdfd88069671515b14b7df637,revertFile,14,revertFile (14),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702919250918,1702919251000,1702919260000,9082,6588,-,81.5,0.0,3796992,10248192,3796992,10285056,3170953582,1056965034,193688,258062,0,1056964608,6,329,/input/data/work/3e/7e3f1fdfd88069671515b14b7df637,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,8,2,6,26,-
14,cpu02,-,2e/7aa014,nf-2e7aa014db47be6176d19a15e6a12cc3,revertFile,13,revertFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702919250972,1702919251000,1702919260000,9028,5312,-,100.2,0.0,4030464,10248192,4030464,10285056,3170953583,1056965035,193688,258062,0,1056964608,6,358,/input/data/work/2e/7aa014db47be6176d19a15e6a12cc3,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,6,1,6,27,-
5,cpu02,-,98/fdb2bb,nf-98fdb2bb3176140c2d6a178c25c05edf,revertFile,4,revertFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702919251927,1702919256000,1702919270000,18073,5281,-,100.5,0.0,4079616,10248192,4079616,10285056,3170953583,1056965035,193688,258062,0,1056964608,6,265,/input/data/work/98/fdb2bb3176140c2d6a178c25c05edf,true,-,0,-,-,-,-,-,-,-,63,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,5,1,4,21,-
101,cpu02,-,c3/7bee6c,nf-c37bee6c92d0217d435cf71f1bb37b67,revertFile,100,revertFile (100),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702919256314,1702919264000,1702919270000,13686,5439,-,100.1,0.0,4169728,10248192,4169728,10285056,3170953583,1056965035,193688,258062,0,1056964608,6,337,/input/data/work/c3/7bee6c92d0217d435cf71f1bb37b67,true,-,0,-,-,-,-,-,-,-,7774,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,47,-,-,-,-,-,-,21,1,4,53,-
100,cpu02,-,bf/3def38,nf-bf3def38bc36470f4300ee1d9feafd5d,revertFile,99,revertFile (99),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702919256393,1702919264000,1702919270000,13607,5620,-,97.0,0.0,3862528,10248192,3862528,10285056,3170953581,1056965034,193688,258062,0,1056964608,6,310,/input/data/work/bf/3def38bc36470f4300ee1d9feafd5d,true,-,0,-,-,-,-,-,-,-,7645,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,54,-,-,-,-,-,-,20,0,4,53,-
77,cpu01,-,1a/453cb9,nf-1a453cb98931d7ad35a8c0c94dfc6264,revertFile,76,revertFile (76),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702919254696,1702919260000,1702919273000,18304,5380,-,100.3,0.0,3932160,10248192,3932160,10285056,3170953313,1056965033,193688,258062,0,1056964608,3,350,/input/data/work/1a/453cb98931d7ad35a8c0c94dfc6264,true,-,0,-,-,-,-,-,-,-,5230,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,19,1,4,49,-
89,cpu01,-,0a/0b77cb,nf-0a0b77cbd652d6ce080d69e8f7ed4ec3,revertFile,88,revertFile (88),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702919255592,1702919260000,1702919273000,17408,5343,-,100.3,0.0,3936256,10248192,3936256,10285056,3170953313,1056965033,193688,258062,0,1056964608,3,340,/input/data/work/0a/0b77cbd652d6ce080d69e8f7ed4ec3,true,-,0,-,-,-,-,-,-,-,4343,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,66,-,-,-,-,-,-,19,0,4,51,-
99,cpu01,-,fa/eb3813,nf-faeb38139fc3de013811ac8bf6a1bfab,revertFile,98,revertFile (98),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702919256472,1702919260000,1702919273000,16528,5329,-,100.1,0.0,4018176,10248192,4018176,10285056,3170953312,1056965033,193688,258062,0,1056964608,3,338,/input/data/work/fa/eb38139fc3de013811ac8bf6a1bfab,true,-,0,-,-,-,-,-,-,-,3470,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,73,-,-,-,-,-,-,21,1,4,52,-
91,cpu01,-,a4/41d29f,nf-a441d29f8a77ea3719ac5b1fbb983391,revertFile,90,revertFile (90),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702919255825,1702919276000,1702919287000,31175,5330,-,100.3,0.0,3866624,10248192,3866624,10285056,3170953312,1056965033,193688,258062,0,1056964608,3,349,/input/data/work/a4/41d29f8a77ea3719ac5b1fbb983391,true,-,0,-,-,-,-,-,-,-,19824,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,43,-,-,-,-,-,-,19,1,4,51,-
