task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
1,cpu02,-,d5/504c60,nf-d5504c6005df71a4a690b19abdc80147,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704680482950,1704680483000,1704680486000,3050,909,-,115.5,0.0,27189248,326897664,27189248,326934528,109359,1056966734,248,258066,4096,1056964608,5,2,/input/data/work/d5/504c6005df71a4a690b19abdc80147,true,-,0,-,-,-,-,-,-,-,116,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,116,-,-,-,-,-,-,28,8,30,36,-
3,cpu02,-,32/1a8082,nf-321a8082c1a65db667e72b3d410886c4,revertFile,2,revertFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704680488667,1704680489000,1704680497000,8333,5525,-,100.8,0.0,3903488,10248192,3903488,10285056,3170953589,1056965036,193688,258062,4096,1056964608,7,320,/input/data/work/32/1a8082c1a65db667e72b3d410886c4,true,-,0,-,-,-,-,-,-,-,22,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,20,3,9,34,-
15,cpu02,-,0c/b48fb8,nf-0cb48fb8f246fbe0b25688d6d82c9feb,revertFile,14,revertFile (14),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704680488708,1704680489000,1704680497000,8292,5401,-,100.6,0.0,3895296,10248192,3895296,10285056,3170953588,1056965036,193688,258062,4096,1056964608,6,333,/input/data/work/0c/b48fb8f246fbe0b25688d6d82c9feb,true,-,0,-,-,-,-,-,-,-,19,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,9,2,5,24,-
2,cpu02,-,2e/1f1fc6,nf-2e1f1fc65065cedecc34f2320e1410bb,revertFile,1,revertFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704680488748,1704680489000,1704680497000,8252,5484,-,101.0,0.0,3715072,10248192,3715072,10285056,3170953589,1056965036,193688,258062,4096,1056964608,6,334,/input/data/work/2e/1f1fc65065cedecc34f2320e1410bb,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,9,1,5,24,-
95,cpu02,-,de/63d92a,nf-de63d92a0b64a88dda0693588190f97e,revertFile,94,revertFile (94),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704680497771,1704680499000,1704680511000,13229,5484,-,100.0,0.0,3993600,10248192,3993600,10285056,3170953588,1056965036,193688,258062,4096,1056964608,6,329,/input/data/work/de/63d92a0b64a88dda0693588190f97e,true,-,0,-,-,-,-,-,-,-,1011,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,47,-,-,-,-,-,-,8,1,4,21,-
92,cpu02,-,9e/561753,nf-9e56175383df55f2d2253321d25476fa,revertFile,91,revertFile (91),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704680497800,1704680499000,1704680511000,13200,5451,-,100.2,0.0,3792896,10248192,3792896,10285056,3170953589,1056965036,193688,258062,4096,1056964608,6,338,/input/data/work/9e/56175383df55f2d2253321d25476fa,true,-,0,-,-,-,-,-,-,-,929,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,47,-,-,-,-,-,-,8,0,3,17,-
101,cpu02,-,5b/d16b35,nf-5bd16b35ff2cc7cd8ea9316c805183a8,revertFile,100,revertFile (100),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704680497830,1704680499000,1704680511000,13170,5460,-,100.3,0.0,3649536,10248192,3649536,10285056,3170953588,1056965036,193688,258062,4096,1056964608,6,329,/input/data/work/5b/d16b35ff2cc7cd8ea9316c805183a8,true,-,0,-,-,-,-,-,-,-,845,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,56,-,-,-,-,-,-,7,0,4,19,-
98,cpu01,-,3f/5845f1,nf-3f5845f191c491f608255fb06ef4ba9b,revertFile,97,revertFile (97),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704680497488,1704680498000,1704680514000,16512,5344,-,100.3,0.0,3878912,10248192,3878912,10285056,3170953011,1056965026,193688,258062,0,1056964608,4,339,/input/data/work/3f/5845f191c491f608255fb06ef4ba9b,true,-,0,-,-,-,-,-,-,-,165,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,7,0,3,19,-
76,cpu01,-,48/6b7275,nf-486b7275725fb200659d76202194c7fb,revertFile,75,revertFile (75),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704680497523,1704680498000,1704680514000,16477,5267,-,100.2,0.0,3923968,10248192,3923968,10285056,3170953010,1056965026,193688,258062,0,1056964608,4,349,/input/data/work/48/6b7275725fb200659d76202194c7fb,true,-,0,-,-,-,-,-,-,-,140,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,67,-,-,-,-,-,-,8,1,3,22,-
94,cpu01,-,b9/9ebb83,nf-b99ebb8366be9c185182d40a7bb86dd7,revertFile,93,revertFile (93),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704680497567,1704680498000,1704680514000,16433,5261,-,100.2,0.0,3915776,10248192,3915776,10285056,3170953011,1056965026,193688,258062,0,1056964608,4,342,/input/data/work/b9/9ebb8366be9c185182d40a7bb86dd7,true,-,0,-,-,-,-,-,-,-,108,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,78,-,-,-,-,-,-,18,0,3,22,-
