task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
32,cpu02,-,41/3f0399,nf-413f03993fa58b2f2f23a5fa007623e5,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704685375329,1704685376000,1704685383000,7671,1025,-,106.8,0.0,27500544,326897664,27500544,326934528,109511,1069549639,250,261138,4096,1069547520,5,7,/input/data/work/41/3f03993fa58b2f2f23a5fa007623e5,true,-,0,-,-,-,-,-,-,-,112,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,112,-,-,-,-,-,-,31,12,33,34,-
28,cpu01,-,92/2e8af9,nf-922e8af9fb6f9d78ab11da371e4f9ae3,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704685375374,1704685376000,1704685385000,9626,950,-,105.7,0.0,27533312,326901760,27533312,326938624,108877,950011976,248,231954,0,950009856,3,7,/input/data/work/92/2e8af9fb6f9d78ab11da371e4f9ae3,true,-,0,-,-,-,-,-,-,-,109,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,9,2,5,27,-
27,cpu01,-,3b/c4928f,nf-3bc4928fc0253f8ac6433875f48b1852,writeLargeFile,27,writeLargeFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704685375414,1704685376000,1704685385000,9586,883,-,106.7,0.0,27770880,326901760,27770880,326938624,108704,913311792,245,222994,0,913309696,3,6,/input/data/work/3b/c4928fc0253f8ac6433875f48b1852,true,-,0,-,-,-,-,-,-,-,79,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-,9,1,4,25,-
25,cpu01,-,f4/8e977f,nf-f48e977f582ef59a37a819e5331d05bd,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704685375455,1704685376000,1704685385000,9545,972,-,101.3,0.0,27631616,326897664,27631616,326934528,108865,1001392189,248,244498,0,1001390080,3,7,/input/data/work/f4/8e977f582ef59a37a819e5331d05bd,true,-,0,-,-,-,-,-,-,-,50,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,9,1,5,25,-
19,cpu02,-,27/5d34ca,nf-275d34cad2b9ac74eee64d0bfb7181ec,writeLargeFile,19,writeLargeFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704685375498,1704685376000,1704685383000,7502,979,-,107.6,0.0,27713536,326897664,27713536,326934528,109521,994052175,250,242706,4096,994050048,5,4,/input/data/work/27/5d34cad2b9ac74eee64d0bfb7181ec,true,-,0,-,-,-,-,-,-,-,29,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,10,1,5,26,-
22,cpu02,-,71/dfb5dd,nf-71dfb5dd36cd308ea2e713daa19e341e,writeLargeFile,22,writeLargeFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704685375543,1704685376000,1704685383000,7457,997,-,107.4,0.0,24113152,255123456,24113152,255160320,109521,1050675279,250,256530,2887680,1050673152,60,4,/input/data/work/71/dfb5dd36cd308ea2e713daa19e341e,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,9,1,6,26,-
90,cpu02,-,9d/421f23,nf-9d421f23c2ddbe98c63d3bc5be5a2b68,writeLargeFile,90,writeLargeFile (90),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704685378848,1704685385000,1704685392000,13152,1049,-,107.0,0.0,28131328,326901760,28131328,326938624,109506,1049626690,250,256274,4096,1049624576,5,3,/input/data/work/9d/421f23c2ddbe98c63d3bc5be5a2b68,true,-,0,-,-,-,-,-,-,-,6145,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,53,-,-,-,-,-,-,9,0,4,20,-
92,cpu02,-,09/f74de2,nf-09f74de270955bcac83875b43e549e86,writeLargeFile,92,writeLargeFile (92),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704685378882,1704685385000,1704685392000,13118,940,-,106.4,0.0,27787264,326897664,27787264,326934528,109501,901777467,250,220178,4096,901775360,6,7,/input/data/work/09/f74de270955bcac83875b43e549e86,true,-,0,-,-,-,-,-,-,-,6050,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,70,-,-,-,-,-,-,7,1,3,22,-
88,cpu01,-,df/28e4a3,nf-df28e4a32fc858ca2ea608bc3851f89c,writeLargeFile,88,writeLargeFile (88),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704685378715,1704685387000,1704685395000,16285,895,-,114.6,0.0,27537408,326897664,27537408,326934528,108682,979372059,245,239122,0,979369984,3,5,/input/data/work/df/28e4a32fc858ca2ea608bc3851f89c,true,-,0,-,-,-,-,-,-,-,7869,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,55,-,-,-,-,-,-,7,1,3,21,-
98,cpu01,-,91/115958,nf-9111595886aee037c4b516b46fb4db9a,writeLargeFile,98,writeLargeFile (98),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704685378747,1704685387000,1704685395000,16253,879,-,110.0,0.0,27496448,326897664,27496448,326934528,108700,905971756,245,221202,0,905969664,3,6,/input/data/work/91/11595886aee037c4b516b46fb4db9a,true,-,0,-,-,-,-,-,-,-,7776,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,58,-,-,-,-,-,-,8,0,4,19,-
99,cpu01,-,e2/791044,nf-e2791044ce198e21304095cba8b8d75a,writeLargeFile,99,writeLargeFile (99),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704685378779,1704685387000,1704685395000,16221,901,-,110.1,0.0,27463680,326901760,27463680,326938624,108746,959449179,245,234258,0,959447040,3,7,/input/data/work/e2/791044ce198e21304095cba8b8d75a,true,-,0,-,-,-,-,-,-,-,7677,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,66,-,-,-,-,-,-,7,1,3,20,-
94,cpu02,-,8a/c36990,nf-8ac36990a2b3207d0eb4a75b3053af69,writeLargeFile,94,writeLargeFile (94),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704685378814,1704685385000,1704685392000,13186,1017,-,107.4,0.0,27607040,326901760,27607040,326938624,109512,1030752328,250,251666,4096,1030750208,5,7,/input/data/work/8a/c36990a2b3207d0eb4a75b3053af69,true,-,0,-,-,-,-,-,-,-,6238,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,53,-,-,-,-,-,-,7,1,3,23,-
95,cpu02,-,79/14af52,nf-7914af523b24df1badc79c2a2f6d35c9,writeLargeFile,95,writeLargeFile (95),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704685378613,1704685395000,1704685401000,22387,825,-,113.0,0.0,27242496,326901760,27242496,326938624,109356,989857870,247,241682,4096,989855744,5,3,/input/data/work/79/14af523b24df1badc79c2a2f6d35c9,true,-,0,-,-,-,-,-,-,-,16375,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,46,-,-,-,-,-,-,9,0,3,22,-
87,cpu02,-,2d/4e32da,nf-2d4e32daa7e8e9b8d73b763e8ea1e888,writeLargeFile,87,writeLargeFile (87),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704685378648,1704685394000,1704685401000,22352,965,-,99.4,0.0,27631616,326897664,27631616,326934528,109503,1044383806,250,254994,4096,1044381696,6,5,/input/data/work/2d/4e32daa7e8e9b8d73b763e8ea1e888,true,-,0,-,-,-,-,-,-,-,15347,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,7,1,3,23,-
89,cpu02,-,06/d206f6,nf-06d206f6d25fc2761f32337cc50d94ae,writeLargeFile,89,writeLargeFile (89),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704685378682,1704685394000,1704685401000,22318,886,-,102.5,0.0,27500544,326901760,27500544,326938624,109347,887097413,247,216594,4096,887095296,6,7,/input/data/work/06/d206f6d25fc2761f32337cc50d94ae,true,-,0,-,-,-,-,-,-,-,15255,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,46,-,-,-,-,-,-,8,1,3,21,-
86,cpu01,-,47/550e1a,nf-47550e1a2da053acc34dbce9f5ed0d09,writeLargeFile,86,writeLargeFile (86),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704685378513,1704685397000,1704685405000,26487,937,-,101.4,0.0,27480064,326901760,27480064,326938624,108713,978323506,247,238866,0,978321408,3,6,/input/data/work/47/550e1a2da053acc34dbce9f5ed0d09,true,-,0,-,-,-,-,-,-,-,18123,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,43,-,-,-,-,-,-,9,0,3,20,-
96,cpu01,-,6b/6053c6,nf-6b6053c6a4b070cc752515633558c619,writeLargeFile,96,writeLargeFile (96),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704685378546,1704685397000,1704685405000,26454,876,-,111.7,0.0,27803648,326897664,27803648,326934528,108716,990906426,245,241938,0,990904320,3,8,/input/data/work/6b/6053c6a4b070cc752515633558c619,true,-,0,-,-,-,-,-,-,-,18041,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,62,-,-,-,-,-,-,7,1,3,21,-
