task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
6,cpu02,-,ce/5964fb,nf-ce5964fb9c923a160555beb8b3b00c02,writeLargeFile,6,writeLargeFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702929311273,1702929312000,1702929320000,8727,1077,-,96.7,0.0,27860992,422281216,28962816,590700544,109521,1058015318,250,258322,1409024,1058013184,159,24,/input/data/work/ce/5964fb9c923a160555beb8b3b00c02,true,-,0,-,-,-,-,-,-,-,107,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,107,-,-,-,-,-,-,34,8,35,30,-
1,cpu01,-,ae/fd8a58,nf-aefd8a58015e93d069a65fa97cc5b3ce,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702929311316,1702929312000,1702929320000,8684,957,-,107.8,0.0,27754496,326897664,27754496,326934528,109216,1056966740,248,258066,0,1056964608,2,7,/input/data/work/ae/fd8a58015e93d069a65fa97cc5b3ce,true,-,0,-,-,-,-,-,-,-,106,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,4,1,5,31,-
31,cpu01,-,04/bf4420,nf-04bf4420ed3e42b8ecbdb71f6df85e1e,writeLargeFile,31,writeLargeFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702929311355,1702929312000,1702929320000,8645,968,-,94.6,0.0,28315648,326901760,28315648,326938624,109205,969934916,248,236818,200704,969932800,16,7,/input/data/work/04/bf4420ed3e42b8ecbdb71f6df85e1e,true,-,0,-,-,-,-,-,-,-,75,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,5,1,6,26,-
15,cpu01,-,ec/2601af,nf-ec2601af76f03554b69aa2c9ecfdd71f,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702929311392,1702929312000,1702929320000,8608,911,-,105.7,0.0,27873280,326901760,27873280,326938624,109058,871368783,245,212754,614400,871366656,29,7,/input/data/work/ec/2601af76f03554b69aa2c9ecfdd71f,true,-,0,-,-,-,-,-,-,-,46,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,45,-,-,-,-,-,-,5,1,5,25,-
25,cpu02,-,9c/01d38a,nf-9c01d38add7d9d7662302ad4eb829010,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702929311432,1702929312000,1702929320000,8568,3800,-,26.6,0.0,28577792,360488960,29757440,596017152,109358,1001392208,246,244498,0,1001390080,23,20,/input/data/work/9c/01d38add7d9d7662302ad4eb829010,true,-,0,-,-,-,-,-,-,-,21,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,6,2,5,26,-
12,cpu02,-,5f/4c872c,nf-5f4c872cadb964ffc2edb1d81ac2e7ef,writeLargeFile,12,writeLargeFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702929311474,1702929312000,1702929320000,8526,1056,-,101.6,0.0,3395584,5857280,3395584,5894144,109521,1070598230,250,261394,1392640,1070596096,5,3,/input/data/work/5f/4c872cadb964ffc2edb1d81ac2e7ef,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,6,2,6,26,-
95,cpu01,-,cc/f9de56,nf-ccf9de567f4b9d83c8ed1576933ea1e2,writeLargeFile,95,writeLargeFile (95),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702929314151,1702929323000,1702929330000,15849,959,-,106.6,0.0,28041216,326897664,28041216,326934528,109222,989857878,248,241682,0,989855744,2,7,/input/data/work/cc/f9de567f4b9d83c8ed1576933ea1e2,true,-,0,-,-,-,-,-,-,-,8521,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,4,1,3,21,-
97,cpu01,-,e0/460668,nf-e04606687da77071f22893f505e69850,writeLargeFile,97,writeLargeFile (97),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702929314183,1702929323000,1702929330000,15817,877,-,109.4,0.0,28254208,326897664,28254208,326934528,109047,922748998,245,225298,0,922746880,2,5,/input/data/work/e0/4606687da77071f22893f505e69850,true,-,0,-,-,-,-,-,-,-,8437,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,55,-,-,-,-,-,-,6,1,3,21,-
96,cpu01,-,64/67fc93,nf-6467fc93ebf24c01541a23087d05cc6c,writeLargeFile,96,writeLargeFile (96),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702929314213,1702929323000,1702929330000,15787,943,-,105.1,0.0,28286976,326901760,28286976,326938624,109215,990906449,248,241938,0,990904320,2,6,/input/data/work/64/67fc93ebf24c01541a23087d05cc6c,true,-,0,-,-,-,-,-,-,-,8341,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,54,-,-,-,-,-,-,4,1,3,21,-
98,cpu02,-,d9/02773d,nf-d902773d0ad87a66b6099863c343cc6f,writeLargeFile,98,writeLargeFile (98),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702929314241,1702929322000,1702929330000,15759,946,-,105.1,0.0,28880896,326901760,28880896,326938624,109359,905971792,249,221202,0,905969664,5,5,/input/data/work/d9/02773d0ad87a66b6099863c343cc6f,true,-,0,-,-,-,-,-,-,-,7958,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,5,1,3,19,-
