task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
11,cpu02,-,f5/4f3e87,nf-f54f3e87c68d32d462855ed55ff62752,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704693664800,1704693665000,1704693672000,7200,1065,-,98.4,0.0,11542528,185282560,11542528,185319424,109516,951060550,250,232210,7585792,951058432,45,4,/input/data/work/f5/4f3e87c68d32d462855ed55ff62752,true,-,0,-,-,-,-,-,-,-,106,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,106,-,-,-,-,-,-,32,11,34,38,-
9,cpu02,-,6b/568338,nf-6b56833861065f02b7210b62c8a112fd,writeLargeFile,9,writeLargeFile (9),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704693664936,1704693665000,1704693672000,7064,1022,-,87.9,0.0,6742016,185073664,6742016,185110528,109533,875563093,250,213778,14942208,875560960,105,3,/input/data/work/6b/56833861065f02b7210b62c8a112fd,true,-,0,-,-,-,-,-,-,-,43,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,7,1,4,28,-
14,cpu02,-,f5/b78ba2,nf-f5b78ba2989843cb29f75a662781a525,writeLargeFile,14,writeLargeFile (14),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704693664976,1704693666000,1704693672000,7024,944,-,108.3,0.0,27992064,326901760,27992064,326938624,109523,961546321,250,234770,4096,961544192,5,6,/input/data/work/f5/b78ba2989843cb29f75a662781a525,true,-,0,-,-,-,-,-,-,-,26,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,8,1,4,26,-
19,cpu01,-,a3/4223ed,nf-a34223ed5c44d1e73c5530217c57ce4d,writeLargeFile,19,writeLargeFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704693664846,1704693665000,1704693675000,10154,1024,-,103.3,0.0,6275072,183627776,6275072,183664640,108904,994052175,249,242706,22474752,994050048,96,3,/input/data/work/a3/4223ed5c44d1e73c5530217c57ce4d,true,-,0,-,-,-,-,-,-,-,101,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,8,1,5,31,-
16,cpu01,-,ac/e7551f,nf-ace7551f71287ddb5c117c636d1b676c,writeLargeFile,16,writeLargeFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704693664895,1704693665000,1704693675000,10105,905,-,110.7,0.0,27193344,326901760,27193344,326938624,108724,887097404,245,216594,28672,887095296,3,9,/input/data/work/ac/e7551f71287ddb5c117c636d1b676c,true,-,0,-,-,-,-,-,-,-,62,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,9,2,5,32,-
7,cpu01,-,12/d2c3d9,nf-12d2c3d9b796f3eccafd9a8bf7c79ec5,writeLargeFile,7,writeLargeFile (7),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704693665016,1704693666000,1704693675000,9984,857,-,114.7,0.0,27377664,326897664,27377664,326934528,108723,877660219,245,214290,24576,877658112,3,8,/input/data/work/12/d2c3d9b796f3eccafd9a8bf7c79ec5,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,10,2,5,22,-
88,cpu01,-,c6/3a4deb,nf-c63a4deb4a6bc4766a42b9f513f18273,writeLargeFile,88,writeLargeFile (88),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704693668249,1704693677000,1704693685000,16751,972,-,102.3,0.0,27496448,326901760,27496448,326938624,108877,979372090,249,239122,0,979369984,3,7,/input/data/work/c6/3a4deb4a6bc4766a42b9f513f18273,true,-,0,-,-,-,-,-,-,-,8736,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,56,-,-,-,-,-,-,7,1,3,23,-
96,cpu01,-,99/586c5d,nf-99586c5d85976bf4e6b14709887603ec,writeLargeFile,96,writeLargeFile (96),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704693668283,1704693677000,1704693685000,16717,974,-,102.1,0.0,27615232,326905856,27615232,326942720,108865,990906415,249,241938,0,990904320,3,8,/input/data/work/99/586c5d85976bf4e6b14709887603ec,true,-,0,-,-,-,-,-,-,-,8640,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,47,-,-,-,-,-,-,8,1,4,21,-
98,cpu01,-,c2/cd22d6,nf-c2cd22d66411679a9dfe8b92ec624527,writeLargeFile,98,writeLargeFile (98),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704693668319,1704693677000,1704693685000,16681,917,-,101.8,0.0,27504640,326897664,27504640,326934528,108715,905971758,246,221202,0,905969664,3,5,/input/data/work/c2/cd22d66411679a9dfe8b92ec624527,true,-,0,-,-,-,-,-,-,-,8552,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,53,-,-,-,-,-,-,9,1,3,22,-
81,cpu02,-,c1/18b2ef,nf-c118b2ef07f4db70d76639d13ef44e82,writeLargeFile,81,writeLargeFile (81),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704693668352,1704693675000,1704693682000,13648,975,-,110.1,0.0,27582464,326901760,27582464,326938624,109511,924846150,250,225810,4096,924844032,5,5,/input/data/work/c1/18b2ef07f4db70d76639d13ef44e82,true,-,0,-,-,-,-,-,-,-,6376,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,58,-,-,-,-,-,-,9,0,3,20,-
