task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
22,cpu06,74/eddee6,nf-74eddee6de34928e73658583411c54c2,writeLargeFile,22,writeLargeFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702584588198,1702584589000,1702584661000,72802,1226,-,107.1,0.0,32743424,776900608,33890304,945324032,108783,1050675187,256,256530,10637312,1050673152,270,111,/input/data/work/74/eddee6de34928e73658583411c54c2,true,-,7,1,4,25
3,cpu06,16/b6cfd0,nf-16b6cfd055e91f8873ca4c6f423619f8,writeLargeFile,3,writeLargeFile (3),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702584588369,1702584589000,1702584660000,71631,1103,-,107.1,0.0,27713536,420155392,28512256,590696448,108752,984614879,254,240402,53248,984612864,108,26,/input/data/work/16/b6cfd055e91f8873ca4c6f423619f8,true,-,9,1,5,25
27,cpu06,55/bd1a27,nf-55bd1a2768cc9b7bfda4f0305cb87dfb,writeLargeFile,27,writeLargeFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702584588530,1702584589000,1702584660000,71470,1043,-,108.8,0.0,27729920,326897664,27729920,326934528,108754,913311713,254,222994,36864,913309696,5,6,/input/data/work/55/bd1a2768cc9b7bfda4f0305cb87dfb,true,-,8,1,5,28
11,cpu02,97/ab1b1d,nf-97ab1b1d81e0e8cfa5e6cadf3d039600,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702584588159,1702584588000,1702584685000,96841,1066,-,108.5,0.0,28200960,326901760,28200960,326938624,108829,951060452,254,232210,32768,951058432,5,7,/input/data/work/97/ab1b1d81e0e8cfa5e6cadf3d039600,true,-,9,1,6,30
5,cpu03,ac/fe040a,nf-acfe040a2db4e4f9be9d915e463b1f7d,writeLargeFile,5,writeLargeFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702584588283,1702584589000,1702584691000,102717,1073,-,107.6,0.0,27459584,326901760,27459584,326938624,108843,908068846,254,221714,4096,908066816,5,6,/input/data/work/ac/fe040a2db4e4f9be9d915e463b1f7d,true,-,7,1,5,28
15,cpu02,c4/343a58,nf-c4343a5872728489cfa9176961e69f21,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702584588328,1702584589000,1702584685000,96672,1034,-,109.8,0.0,27791360,326897664,27791360,326934528,108838,871368685,254,212754,36864,871366656,5,8,/input/data/work/c4/343a5872728489cfa9176961e69f21,true,-,12,1,5,25
31,cpu03,cc/d6b3f2,nf-ccd6b3f294d88ee09b8f462f16924afd,writeLargeFile,31,writeLargeFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702584588449,1702584589000,1702584691000,102551,1078,-,108.3,0.0,27512832,326897664,27512832,326934528,108842,969934829,254,236818,8192,969932800,5,4,/input/data/work/cc/d6b3f294d88ee09b8f462f16924afd,true,-,8,1,6,23
18,cpu02,6d/0c4c90,nf-6d0c4c9076af8cf35b77d8463d3bedc4,writeLargeFile,18,writeLargeFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702584588487,1702584589000,1702584686000,97513,1078,-,107.8,0.0,27815936,326897664,27815936,326934528,108827,973080546,254,237586,32768,973078528,6,6,/input/data/work/6d/0c4c9076af8cf35b77d8463d3bedc4,true,-,7,1,5,24
10,cpu01,b1/ba649a,nf-b1ba649a2eb798072581e36268a2e48e,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702584588566,1702584589000,1702584693000,104434,1087,-,107.3,0.0,27553792,326897664,27553792,326934528,108536,1021315043,252,249362,32768,1021313024,4,7,/input/data/work/b1/ba649a2eb798072581e36268a2e48e,true,-,7,1,4,23
13,cpu03,7f/c2689d,nf-7fc2689d8f16a215a2861cf1a50bbf72,writeLargeFile,13,writeLargeFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702584588109,1702584588000,1702584691000,102891,1091,-,107.5,0.0,27500544,326901760,27500544,326938624,108843,990906350,254,241938,4096,990904320,5,6,/input/data/work/7f/c2689d8f16a215a2861cf1a50bbf72,true,-,33,13,37,71
