task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
3,cpu06,7d/082acf,nf-7d082acf1a8372f8936eaa4457c3983f,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1702471131096,1702471131000,1702471133000,1904,0,-,89.2,0.0,8716288,32280576,8716288,32284672,690633,9280,248,18,5873664,20480,46,4,/input/data/work/7d/082acf1a8372f8936eaa4457c3983f,true,-,8,2,3,27
41,cpu03,45/94b7b1,nf-4594b7b1dc37bed88ed7334317ff09f1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,BRD4_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (BRD4_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1702471140388,1702471141000,1702471353000,212612,201000,-,261.3,1.0,1324507136,3212201984,1350119424,3269136384,14913781086,14149960085,1841446,424686,774914048,618807296,843576,18709,/input/data/work/45/94b7b1dc37bed88ed7334317ff09f1,true,-,27,2,3,31
62,cpu03,d8/8e743e,nf-d88e743e60c40ce574ec6601206e104a,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702471141140,1702471142000,1702471358000,216860,210000,-,31.8,0.2,235352064,2941747200,235393024,3006763008,595382820,1730287,1132819,5465,593989632,2097152,6,4,/input/data/work/d8/8e743e60c40ce574ec6601206e104a,true,-,53,1,3,37
64,cpu03,ad/125711,nf-ad1257116c0e3d954b6008d229f463f4,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702471141537,1702471143000,1702471361000,219463,213000,-,31.8,0.2,254607360,3017633792,254607360,3048689664,601139179,1719639,1144041,5490,580435968,2150400,6,4,/input/data/work/ad/1257116c0e3d954b6008d229f463f4,true,-,60,2,2,41
58,cpu01,d6/ceafa8,nf-d6ceafa84e6d8aaecaa38c2d69a41d2f,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702471140513,1702471141000,1702471371000,230487,224000,-,30.1,0.2,237006848,2941747200,237006848,2942750720,610767065,1723936,1162926,5490,609230848,2101248,4,4,/input/data/work/d6/ceafa84e6d8aaecaa38c2d69a41d2f,true,-,26,1,3,29
4,cpu06,c2/93863d,nf-c293863d9ec3f9d496e4f57274f9736c,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1702471140324,1702471141000,1702471383000,242676,230000,-,261.6,1.0,1346498560,3131740160,1374547968,3133173760,16935091614,16065984280,2103704,481086,880742400,711245824,952752,21591,/input/data/work/c2/93863d9ec3f9d496e4f57274f9736c,true,-,25,1,3,25
60,cpu01,89/6931e2,nf-896931e2deba9a7d3b8200b513938d44,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702471140650,1702471141000,1702471381000,240350,233000,-,29.8,0.2,288182272,3021828096,288239616,3077021696,633611937,1726384,1207451,5491,612900864,2191360,4,5,/input/data/work/89/6931e2deba9a7d3b8200b513938d44,true,-,28,2,3,40
49,cpu01,86/4278a0,nf-864278a01ebf8938c159b154eff60b3a,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702471139789,1702471140000,1702471391000,251211,244000,-,30.8,0.2,235425792,2941747200,235728896,3006763008,670763219,1758075,1280104,5550,649965568,2293760,4,5,/input/data/work/86/4278a01ebf8938c159b154eff60b3a,true,-,24,2,2,27
107,cpu03,9a/d4d298,nf-9ad4d298134cc65905222c00467874f6,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K27ac_VCaP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K27ac_VCaP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702471142215,1702471144000,1702471393000,250785,243000,-,31.5,0.2,237957120,2941747200,237957120,3006763008,681037000,1752689,1300062,5544,660250624,2306048,6,7,/input/data/work/9a/d4d298134cc65905222c00467874f6,true,-,134,2,2,89
40,cpu01,b5/aefc4e,nf-b5aefc4ead2ea0919fa110716249b6ff,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702471139562,1702471140000,1702471411000,271438,263000,-,30.9,0.2,257015808,3017633792,257015808,3048689664,730971006,1745725,1397675,5542,710180864,2367488,4,5,/input/data/work/b5/aefc4ead2ea0919fa110716249b6ff,true,-,26,1,3,29
