task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
1,cpu03,84/92d533,nf-8492d5330dd23aeba9c25085ab12024d,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1702485161825,1702485162000,1702485163000,1175,0,-,82.7,0.0,6266880,31612928,6266880,31617024,690736,9295,248,18,6463488,20480,58,10,/input/data/work/84/92d5330dd23aeba9c25085ab12024d,true,-,47,13,31,73
69,cpu01,90/fec11b,nf-90fec11b79f4bec175794c7108abe1c2,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702485165944,1702485167000,1702485306000,140056,135000,-,50.7,0.2,236359680,2941747200,236363776,3006763008,601140792,1719637,1144176,5490,599785472,2048000,5,7,/input/data/work/90/fec11b79f4bec175794c7108abe1c2,true,-,26,1,3,30
72,cpu01,97/d465f7,nf-97d465f778870fa5e93d417372018978,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702485167982,1702485169000,1702485307000,139018,135000,-,50.6,0.2,235495424,2941747200,235573248,3006763008,591853551,1719343,1125896,5439,571072512,2048000,4,4,/input/data/work/97/d465f778870fa5e93d417372018978,true,-,93,1,3,46
41,cpu01,e3/c1abba,nf-e3c1abba2fb473a257f14956c7b5d487,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702485165712,1702485166000,1702485341000,175288,167000,-,51.3,0.2,274788352,3021828096,275578880,3048689664,730971894,1745725,1397736,5521,710180864,2179072,4,5,/input/data/work/e3/c1abba2fb473a257f14956c7b5d487,true,-,24,2,2,24
44,cpu03,e3/0612f3,nf-e30612f32ecd840c6ea41fa440d4411e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702485165827,1702485166000,1702485345000,179173,173000,-,43.7,0.2,261734400,3017633792,262324224,3048689664,741723345,1748844,1418719,5490,52965376,2105344,6,4,/input/data/work/e3/0612f32ecd840c6ea41fa440d4411e,true,-,23,1,2,26
56,cpu01,e4/49f775,nf-e449f775db57890f2c427baa18938124,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702485166452,1702485167000,1702485346000,179548,172000,-,49.5,0.2,297066496,3021828096,297066496,3048689664,751440467,1751367,1437634,5530,730648576,2224128,4,7,/input/data/work/e4/49f775db57890f2c427baa18938124,true,-,36,1,4,35
77,cpu02,91/ffe474,nf-91ffe474653b642b3a780c4c8c2ae1c9,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,FOXA1_VCaP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_VCaP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1702485166521,1702485167000,1702485346000,179479,161000,-,245.1,1.0,1313931264,3201986560,1314205696,3269099520,11221795430,10616984310,1419898,319869,601518080,481243136,613093,13963,/input/data/work/91/ffe474653b642b3a780c4c8c2ae1c9,true,-,38,1,3,26
22,cpu01,4b/0f06a7,nf-4b0f06a74c2235b57dd50aa89f3899a1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702485165036,1702485166000,1702485357000,191964,187000,-,50.7,0.2,255459328,3017633792,255737856,3048689664,827253994,1751201,1585755,5532,806457344,2322432,4,5,/input/data/work/4b/0f06a74c2235b57dd50aa89f3899a1,true,-,24,1,3,31
32,cpu01,9d/cbd870,nf-9dcbd8700bde6b4235dba1c1d38fe8c6,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702485165486,1702485166000,1702485356000,190514,184000,-,50.7,0.2,235601920,2941747200,235601920,3006763008,804337435,1755187,1541049,5542,783540224,2306048,4,3,/input/data/work/9d/cbd8700bde6b4235dba1c1d38fe8c6,true,-,21,2,3,26
24,cpu01,e9/4dc806,nf-e94dc806139d701de583efde9c9641a7,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1702485165261,1702485166000,1702485386000,220739,217000,-,50.2,0.2,257122304,3017633792,257691648,3048689664,955703307,1768104,1836641,5561,934903808,2457600,5,7,/input/data/work/e9/4dc806139d701de583efde9c9641a7,true,-,22,1,3,26
