task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
9,cpu03,-,75/65a71d,nf-7565a71d159ac3737e2a2a424cf11d43,writeLargeFile,9,writeLargeFile (9),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702393178740,1702393181000,1702393188000,9260,940,-,110.6,0.0,3293184,5857280,3293184,5894144,109358,875563079,250,213778,0,875560960,4,4,/input/data/work/75/65a71d159ac3737e2a2a424cf11d43,true,-,0,-,-,-,-,-,-,-,104,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,7,2,5,30,-
12,cpu03,-,e4/40b732,nf-e440b7322b1c878aeeb336b202e5cc6a,writeLargeFile,12,writeLargeFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702393178777,1702393181000,1702393188000,9223,1081,-,103.1,0.0,27824128,326897664,27824128,326934528,109534,1070598239,251,261394,0,1070596096,6,9,/input/data/work/e4/40b7322b1c878aeeb336b202e5cc6a,true,-,0,-,-,-,-,-,-,-,73,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,5,2,4,25,-
31,cpu03,-,c5/887c27,nf-c5887c274f55d880feb7d8350fc45c1d,writeLargeFile,31,writeLargeFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702393178816,1702393181000,1702393188000,9184,1015,-,95.9,0.0,27799552,326901760,27799552,326938624,109509,969934916,251,236818,0,969932800,5,6,/input/data/work/c5/887c274f55d880feb7d8350fc45c1d,true,-,0,-,-,-,-,-,-,-,43,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,6,1,5,26,-
11,cpu02,-,5e/3d4827,nf-5e3d48278fac03134bf15a717ca65e95,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702393178929,1702393179000,1702393186000,7071,1770,-,56.5,0.0,32854016,709799936,34033664,945328128,109519,951060559,251,232210,32768,951058432,38,30,/input/data/work/5e/3d48278fac03134bf15a717ca65e95,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,5,1,5,24,-
23,cpu02,-,68/4928ac,nf-684928ac357ebd64f835d11cdd4d84d5,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702393178965,1702393180000,1702393186000,7035,900,-,112.0,0.0,3174400,5857280,3174400,5894144,109304,1002440736,247,244754,28672,1002438656,2,4,/input/data/work/68/4928ac357ebd64f835d11cdd4d84d5,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,6,1,5,23,-
25,cpu02,-,21/6cb35c,nf-216cb35c3ef38c2293ecd755c1571ee5,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702393179000,1702393179000,1702393186000,7000,1799,-,51.2,0.0,32776192,709799936,33955840,945328128,109506,1001392194,251,244498,32768,1001390080,43,31,/input/data/work/21/6cb35c3ef38c2293ecd755c1571ee5,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,6,1,4,23,-
13,cpu01,-,20/b88270,nf-20b88270145e28bface5f4fd2b0e08fc,writeLargeFile,13,writeLargeFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702393179034,1702393179000,1702393187000,7966,993,-,89.9,0.0,26828800,326901760,26828800,326938624,109169,990906423,249,241938,0,990904320,7,8,/input/data/work/20/b88270145e28bface5f4fd2b0e08fc,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,5,1,5,22,-
1,cpu01,-,56/be2e54,nf-56be2e54e0c3c678acf6f66abec75ab7,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702393179070,1702393179000,1702393187000,7930,1051,-,102.1,0.0,27381760,326901760,27381760,326938624,109186,1056966730,249,258066,0,1056964608,2,5,/input/data/work/56/be2e54e0c3c678acf6f66abec75ab7,true,-,0,-,-,-,-,-,-,-,13,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,6,0,6,23,-
6,cpu01,-,40/caef24,nf-40caef2412a3bf4d29d2b06d5c563e4c,writeLargeFile,6,writeLargeFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702393179107,1702393179000,1702393187000,7893,1048,-,91.9,0.0,26791936,326897664,26791936,326934528,109184,1058015305,249,258322,0,1058013184,5,6,/input/data/work/40/caef2412a3bf4d29d2b06d5c563e4c,true,-,0,-,-,-,-,-,-,-,13,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,5,1,5,25,-
30,cpu06,-,25/c48695,nf-25c48695f4f96a8a678e05634e328d80,writeLargeFile,30,writeLargeFile (30),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702393178693,1702393183000,1702393190000,11307,966,-,110.9,0.0,3272704,5857280,3272704,5894144,109404,912263242,251,222738,0,912261120,4,2,/input/data/work/25/c48695f4f96a8a678e05634e328d80,true,-,0,-,-,-,-,-,-,-,117,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,117,-,-,-,-,-,-,35,9,32,33,-
