task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
29,cpu01,9f/41fa11,nf-9f41fa110e7cbe500132f55615b33589,writeLargeFile,29,writeLargeFile (29),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702400148115,1702400148000,1702400184000,35885,1112,-,105.8,0.0,27308032,326897664,27308032,326934528,108533,1018169326,252,248594,0,1018167296,2,7,/input/data/work/9f/41fa110e7cbe500132f55615b33589,true,-,5,1,5,25
18,cpu01,08/300118,nf-08300118c559a477c5861275819224f6,writeLargeFile,18,writeLargeFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702400148255,1702400149000,1702400184000,35745,1035,-,106.7,0.0,27496448,326897664,27496448,326934528,108542,973080567,252,237586,0,973078528,2,5,/input/data/work/08/300118c559a477c5861275819224f6,true,-,5,1,4,22
32,cpu01,c4/747a34,nf-c4747a341b67782ae584f117c94179d8,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702400148389,1702400149000,1702400184000,35611,1150,-,105.9,0.0,32583680,776908800,33763328,945332224,108536,1069549554,252,261138,0,1069547520,103,102,/input/data/work/c4/747a341b67782ae584f117c94179d8,true,-,4,0,5,21
13,cpu02,a0/635a3d,nf-a0635a3d7b9d81a6178f92bff4950f4a,writeLargeFile,13,writeLargeFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702400148039,1702400154000,1702400193000,44961,1159,-,107.2,0.0,32874496,776900608,34041856,945324032,108843,990906351,254,241938,0,990904320,100,102,/input/data/work/a0/635a3d7b9d81a6178f92bff4950f4a,true,-,6,1,4,23
3,cpu06,55/69f3e0,nf-5569f3e0342944ce54ec4c8ec66c9666,writeLargeFile,3,writeLargeFile (3),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702400148078,1702400153000,1702400199000,50922,1170,-,106.8,0.0,33058816,776908800,34205696,945332224,108728,984614871,254,240402,0,984612864,110,98,/input/data/work/55/69f3e0342944ce54ec4c8ec66c9666,true,-,3,1,5,28
28,cpu03,be/1e2049,nf-be1e204968934d8c50ea1d9d27aef3aa,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702400148149,1702400153000,1702400199000,50851,1123,-,96.9,0.0,32735232,776908800,33914880,945332224,108834,950011874,254,231954,0,950009856,107,96,/input/data/work/be/1e204968934d8c50ea1d9d27aef3aa,true,-,3,1,5,24
5,cpu02,c0/ae189c,nf-c0ae189cc68c9a3ed7edc12f8a8137d6,writeLargeFile,5,writeLargeFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702400148190,1702400154000,1702400193000,44810,1105,-,103.4,0.0,32608256,776908800,33787904,945332224,108842,908068846,254,221714,0,908066816,101,100,/input/data/work/c0/ae189cc68c9a3ed7edc12f8a8137d6,true,-,6,1,6,26
1,cpu06,d9/5c29d3,nf-d95c29d377f69b883288a3014b66834a,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702400148221,1702400153000,1702400199000,50779,1215,-,97.0,0.0,33071104,776900608,34250752,945324032,108770,1056966651,256,258066,0,1056964608,112,99,/input/data/work/d9/5c29d377f69b883288a3014b66834a,true,-,3,1,4,22
31,cpu03,7f/8306e1,nf-7f8306e17b13e5441392b79814c5dede,writeLargeFile,31,writeLargeFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702400148292,1702400153000,1702400199000,50708,1103,-,105.7,0.0,32784384,776908800,33914880,945332224,108836,969934820,254,236818,0,969932800,106,96,/input/data/work/7f/8306e17b13e5441392b79814c5dede,true,-,5,1,5,24
16,cpu02,51/d8b790,nf-51d8b790ad8c0f134154a83a8af5b0e6,writeLargeFile,16,writeLargeFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702400148324,1702400154000,1702400193000,44676,1051,-,106.8,0.0,3178496,5857280,3178496,5894144,108841,887097325,254,216594,0,887095296,4,3,/input/data/work/51/d8b790ad8c0f134154a83a8af5b0e6,true,-,5,0,5,22
26,cpu06,43/77ff91,nf-4377ff91145bb2e3c03d1aa31569ce89,writeLargeFile,26,writeLargeFile (26),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702400148357,1702400153000,1702400199000,50643,1183,-,106.5,0.0,32903168,776900608,34082816,945324032,108762,1048578035,256,256018,0,1048576000,114,92,/input/data/work/43/77ff91145bb2e3c03d1aa31569ce89,true,-,4,1,5,22
