task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
28,cpu01,b7/79a1f2,nf-b779a1f28a5f0712e462debd825a46d0,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701976926506,1701976927000,1701976981000,54494,1043,-,108.3,0.0,27418624,326897664,27418624,326934528,108516,950011899,252,231954,28672,950009856,2,8,/input/data/work/b7/79a1f28a5f0712e462debd825a46d0,true,-,5,1,6,21
10,cpu01,5a/da8b1e,nf-5ada8b1e7f5c0574d2b3f45008a43234,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701976926709,1701976927000,1701976981000,54291,1138,-,108.5,0.0,27475968,422273024,28327936,590696448,108512,1021315063,252,249362,40960,1021313024,113,117,/input/data/work/5a/da8b1e7f5c0574d2b3f45008a43234,true,-,5,0,4,22
27,cpu01,09/bd0dfb,nf-09bd0dfbb1de7336647ea0f0767c3d90,writeLargeFile,27,writeLargeFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701976926904,1701976927000,1701976981000,54096,1010,-,104.8,0.0,28172288,326901760,28172288,326938624,108499,913311722,252,222994,28672,913309696,3,7,/input/data/work/09/bd0dfbb1de7336647ea0f0767c3d90,true,-,6,1,4,22
18,cpu03,da/dfd3cb,nf-dadfd3cb4b8e45e451c92ec182f6fa4d,writeLargeFile,18,writeLargeFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701976926364,1701976929000,1701976994000,67636,1800,-,61.1,0.0,32747520,709799936,33775616,945332224,108822,973080547,254,237586,28672,973078528,42,37,/input/data/work/da/dfd3cb4b8e45e451c92ec182f6fa4d,true,-,5,2,4,29
12,cpu02,dc/141da1,nf-dc141da1e74c83e721d9e370d6a9d8ff,writeLargeFile,12,writeLargeFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701976926401,1701976937000,1701977000000,73599,1241,-,105.1,0.0,32788480,776908800,33968128,945332224,108835,1070598134,254,261394,0,1070596096,97,95,/input/data/work/dc/141da1e74c83e721d9e370d6a9d8ff,true,-,3,1,6,26
1,cpu06,73/cf7c82,nf-73cf7c82d32b64f655da3fc707522aee,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701976926437,1701976930000,1701976996000,69563,1076,-,106.0,0.0,27250688,422277120,28352512,590700544,108708,1056966631,254,258066,0,1056964608,97,21,/input/data/work/73/cf7c82d32b64f655da3fc707522aee,true,-,5,1,6,23
17,cpu07,99/a2fa1b,nf-99a2fa1b5e027945da091531813edbdf,writeLargeFile,17,writeLargeFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701976926472,1701976934000,1701976996000,69528,1156,-,105.2,0.0,32804864,776908800,33890304,945332224,108866,1017120780,254,248338,0,1017118720,109,102,/input/data/work/99/a2fa1b5e027945da091531813edbdf,true,-,5,1,5,23
19,cpu08,27/fc4d28,nf-27fc4d28b4934d5fe1c416b58a7b4ff1,writeLargeFile,19,writeLargeFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701976926543,1701976936000,1701977000000,73457,1176,-,101.0,0.0,32927744,776916992,34037760,945340416,108746,994052086,254,242706,0,994050048,103,95,/input/data/work/27/fc4d28b4934d5fe1c416b58a7b4ff1,true,-,5,1,5,25
36,cpu03,03/232968,nf-03232968e4578a974adbe4267dab98a6,writeLargeFile,36,writeLargeFile (36),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701976926578,1701976929000,1701976994000,67422,1920,-,65.1,0.0,32821248,709791744,33873920,945324032,108843,1024460784,256,250130,24576,1024458752,39,38,/input/data/work/03/232968e4578a974adbe4267dab98a6,true,-,5,1,5,22
4,cpu02,5d/7a51a1,nf-5d7a51a159ba1eada5aa21efd319fb84,writeLargeFile,4,writeLargeFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701976926610,1701976938000,1701977000000,73390,1259,-,99.7,0.0,32833536,776908800,34013184,945332224,108819,1012926437,254,247314,0,1012924416,89,86,/input/data/work/5d/7a51a159ba1eada5aa21efd319fb84,true,-,4,1,5,21
