task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
11,cpu01,8f/881c80,nf-8f881c80a65a802c2c1bf2e30495c097,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701982740117,1701982740000,1701982802000,61883,1044,-,106.3,0.0,27615232,326897664,27615232,326934528,108499,951060459,252,232210,24576,951058432,2,6,/input/data/work/8f/881c80a65a802c2c1bf2e30495c097,true,-,4,2,6,24
30,cpu01,17/da55e1,nf-17da55e1de271c351de0730322a95c51,writeLargeFile,30,writeLargeFile (30),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701982740327,1701982741000,1701982802000,61673,1041,-,107.8,0.0,27656192,326901760,27656192,326938624,108498,912263146,252,222738,28672,912261120,2,6,/input/data/work/17/da55e1de271c351de0730322a95c51,true,-,6,1,3,18
1,cpu01,c9/271800,nf-c92718007a19caa0f77d707c9a6ebe1c,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701982740539,1701982741000,1701982802000,61461,1113,-,109.7,0.0,27459584,422273024,28393472,590696448,108504,1056966641,252,258066,36864,1056964608,107,30,/input/data/work/c9/2718007a19caa0f77d707c9a6ebe1c,true,-,5,1,4,22
3,cpu03,fd/0a97ea,nf-fd0a97eae976dcfcc4895754e017f24b,writeLargeFile,3,writeLargeFile (3),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701982739970,1701982746000,1701982806000,66030,1200,-,104.3,0.0,32620544,776900608,33685504,945324032,108814,984614873,254,240402,0,984612864,97,98,/input/data/work/fd/0a97eae976dcfcc4895754e017f24b,true,-,5,0,6,27
19,cpu02,43/d6ffc1,nf-43d6ffc110459040cde1b62b81822fb5,writeLargeFile,19,writeLargeFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701982740007,1701982742000,1701982809000,68993,1429,-,87.4,0.0,32800768,776900608,33931264,945324032,108832,994052076,255,242706,0,994050048,72,69,/input/data/work/43/d6ffc110459040cde1b62b81822fb5,true,-,3,1,5,27
13,cpu06,6a/3eae1d,nf-6a3eae1d16af0c23e33233da33f9a862,writeLargeFile,13,writeLargeFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701982740041,1701982745000,1701982818000,77959,1140,-,106.2,0.0,32890880,776900608,34041856,945324032,108716,990906348,254,241938,0,990904320,110,105,/input/data/work/6a/3eae1d16af0c23e33233da33f9a862,true,-,3,1,6,23
29,cpu07,71/b98967,nf-71b9896709c1d9f52dbc3ca4dae7003c,writeLargeFile,29,writeLargeFile (29),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701982740080,1701982751000,1701982821000,80920,1208,-,96.4,0.0,32837632,776908800,34004992,945332224,108840,1018169317,257,248594,0,1018167296,98,97,/input/data/work/71/b9896709c1d9f52dbc3ca4dae7003c,true,-,5,1,5,27
7,cpu08,92/490014,nf-92490014b3d215d3833cf2f8ab94810e,writeLargeFile,7,writeLargeFile (7),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701982740157,1701982743000,1701982812000,71843,1119,-,97.4,0.0,33005568,776908800,34074624,945332224,108713,877660117,254,214290,0,877658112,102,94,/input/data/work/92/490014b3d215d3833cf2f8ab94810e,true,-,5,1,5,28
12,cpu03,ff/1b5167,nf-ff1b5167e6181861931fede786a673b8,writeLargeFile,12,writeLargeFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701982740192,1701982746000,1701982806000,65808,1325,-,95.1,0.0,32653312,776908800,33742848,945332224,108858,1070598142,256,261394,0,1070596096,96,93,/input/data/work/ff/1b5167e6181861931fede786a673b8,true,-,6,1,6,21
28,cpu02,b2/35fee2,nf-b235fee2c3d4c486f4d744e7882e685c,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701982740227,1701982742000,1701982809000,68773,1070,-,107.4,0.0,27103232,422277120,28188672,590700544,108857,950011915,254,231954,0,950009856,96,22,/input/data/work/b2/35fee2c3d4c486f4d744e7882e685c,true,-,4,0,5,25
6,cpu06,8b/e9905c,nf-8be9905c2a9421aa754fb3c5968f8806,writeLargeFile,6,writeLargeFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701982740261,1701982745000,1701982818000,77739,1183,-,110.1,0.0,32792576,776908800,33972224,945332224,108713,1058015207,255,258322,0,1058013184,107,102,/input/data/work/8b/e9905c2a9421aa754fb3c5968f8806,true,-,4,1,6,22
5,cpu07,60/bda6a8,nf-60bda6a850286731c80f26230fbe1e8c,writeLargeFile,5,writeLargeFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701982740297,1701982751000,1701982821000,80703,1105,-,105.4,0.0,32641024,776908800,33804288,945332224,108824,908068827,255,221714,0,908066816,104,99,/input/data/work/60/bda6a850286731c80f26230fbe1e8c,true,-,5,1,5,24
2,cpu08,08/9c1342,nf-089c1342ffb309ffa5acb8e43cc5d391,writeLargeFile,2,writeLargeFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701982740359,1701982744000,1701982812000,71641,1085,-,109.3,0.0,27258880,422273024,28311552,590696448,108735,881854442,254,215314,0,881852416,100,22,/input/data/work/08/9c1342ffb309ffa5acb8e43cc5d391,true,-,5,1,4,21
23,cpu03,73/892421,nf-738924216ed2a02699080e14ae74aec9,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701982740391,1701982746000,1701982806000,65609,1186,-,104.6,0.0,32735232,776900608,33878016,945324032,108815,1002440667,254,244754,0,1002438656,100,94,/input/data/work/73/8924216ed2a02699080e14ae74aec9,true,-,4,1,5,21
