task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
2,cpu03,a5/1e9a38,nf-a51e9a38a4aa93bcb70ec492bb51092e,writeLargeFile,2,writeLargeFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702165678607,1702165679000,1702165806000,127393,1023,-,107.5,0.0,27684864,326897664,27684864,326934528,108854,881854458,254,215314,4096,881852416,5,7,/input/data/work/a5/1e9a38a4aa93bcb70ec492bb51092e,true,-,8,1,7,33
19,cpu03,74/388eab,nf-74388eabae8ab15d553e730297cbbfce,writeLargeFile,19,writeLargeFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702165678858,1702165679000,1702165808000,129142,1143,-,104.9,0.0,32731136,776900608,33853440,945324032,108852,994052088,254,242706,4096,994050048,112,97,/input/data/work/74/388eabae8ab15d553e730297cbbfce,true,-,8,1,5,29
5,cpu03,14/817f8f,nf-14817f8f8ca84e26839876ac5289c487,writeLargeFile,5,writeLargeFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702165679085,1702165679000,1702165807000,127915,1059,-,105.9,0.0,27750400,326897664,27750400,326934528,108823,908068826,254,221714,4096,908066816,5,3,/input/data/work/14/817f8f8ca84e26839876ac5289c487,true,-,7,1,5,22
7,cpu01,e0/15165b,nf-e015165b660b168d38c9628719150d30,writeLargeFile,7,writeLargeFile (7),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702165679225,1702165680000,1702165818000,138775,1006,-,113.0,0.0,27275264,326897664,27275264,326934528,108505,877660128,252,214290,0,877658112,3,14,/input/data/work/e0/15165b660b168d38c9628719150d30,true,-,6,1,5,19
15,cpu01,42/1aa63f,nf-421aa63ffce8211bd294ad44f06b5264,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702165678777,1702165679000,1702165818000,139223,1046,-,103.2,0.0,27860992,326897664,27860992,326934528,108548,871368710,253,212754,0,871366656,3,8,/input/data/work/42/1aa63ffce8211bd294ad44f06b5264,true,-,8,1,6,25
20,cpu02,de/ac183c,nf-deac183c7a340e86778215129a24df9d,writeLargeFile,20,writeLargeFile (20),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702165678898,1702165679000,1702165826000,147102,1122,-,102.9,0.0,27557888,422277120,28479488,590700544,108846,956303348,254,233490,8192,956301312,101,19,/input/data/work/de/ac183c7a340e86778215129a24df9d,true,-,8,1,5,25
26,cpu07,11/d61965,nf-11d61965bd4d1b6eb385ab91daebfe48,writeLargeFile,26,writeLargeFile (26),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702165678973,1702165679000,1702165827000,148027,1187,-,108.1,0.0,32579584,776900608,33697792,945324032,108865,1048578042,257,256018,4096,1048576000,128,100,/input/data/work/11/d61965bd4d1b6eb385ab91daebfe48,true,-,7,1,6,21
4,cpu01,46/17c515,nf-4617c515762edccafe5bf172ab8ce83a,writeLargeFile,4,writeLargeFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702165679008,1702165679000,1702165823000,143992,1166,-,101.1,0.0,32690176,776908800,33869824,945332224,108534,1012926457,253,247314,0,1012924416,105,107,/input/data/work/46/17c515762edccafe5bf172ab8ce83a,true,-,7,1,6,20
13,cpu08,df/e2921b,nf-dfe2921bcfea2bcb95814111b9178f88,writeLargeFile,13,writeLargeFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702165679049,1702165679000,1702165827000,147951,1106,-,106.6,0.0,27611136,422273024,28405760,590696448,108750,990906338,255,241938,4096,990904320,103,18,/input/data/work/df/e2921bcfea2bcb95814111b9178f88,true,-,9,1,5,25
30,cpu02,ae/104996,nf-ae1049965a775ef7a04e5e176ae7cd66,writeLargeFile,30,writeLargeFile (30),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1702165679119,1702165679000,1702165826000,146881,1055,-,110.1,0.0,28114944,326897664,28114944,326934528,108833,912263138,255,222738,32768,912261120,5,6,/input/data/work/ae/1049965a775ef7a04e5e176ae7cd66,true,-,7,1,5,20
