task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
6,cpu03,1e/cc8a2a,nf-1ecc8a2aec742e8fa105f34223030b19,writeLargeFile,6,writeLargeFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701988456696,1701988461000,1701988522000,65304,1222,-,99.3,0.0,32849920,776900608,33914880,945324032,108903,1058015275,256,258322,0,1058013184,112,92,/input/data/work/1e/cc8a2aec742e8fa105f34223030b19,true,-,5,1,4,34
32,cpu03,36/035207,nf-36035207f9cbbd774d6651d7c771efaa,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701988456903,1701988461000,1701988522000,65097,1284,-,103.2,0.0,32579584,776900608,33734656,945324032,108907,1069549610,257,261138,0,1069547520,108,93,/input/data/work/36/035207f9cbbd774d6651d7c771efaa,true,-,3,1,4,21
30,cpu03,9b/f92cb7,nf-9bf92cb7cd72804ab01bf516d2428307,writeLargeFile,30,writeLargeFile (30),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701988457094,1701988462000,1701988522000,64906,1233,-,92.0,0.0,32522240,776900608,33652736,945324032,108834,912263148,254,222738,0,912261120,85,75,/input/data/work/9b/f92cb7cd72804ab01bf516d2428307,true,-,5,1,4,22
29,cpu08,42/71b6b5,nf-4271b6b57676120463c596be13c80870,writeLargeFile,29,writeLargeFile (29),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701988456649,1701988459000,1701988527000,70351,1697,-,69.4,0.0,32616448,776908800,33697792,945332224,108730,1018169310,256,248594,20480,1018167296,65,56,/input/data/work/42/71b6b57676120463c596be13c80870,true,-,27,8,28,76
16,cpu02,ee/49703c,nf-ee49703c0091a26155da1d6871bff794,writeLargeFile,16,writeLargeFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701988456732,1701988464000,1701988528000,71268,1076,-,104.7,0.0,27389952,422277120,28487680,590700544,108816,887097315,254,216594,0,887095296,94,25,/input/data/work/ee/49703c0091a26155da1d6871bff794,true,-,5,1,5,24
3,cpu06,95/90f421,nf-9590f421627bb1f43ad74522b9504021,writeLargeFile,3,writeLargeFile (3),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701988456769,1701988467000,1701988528000,71231,1211,-,98.2,0.0,32624640,776908800,33804288,945332224,108712,984614879,256,240402,0,984612864,108,90,/input/data/work/95/90f421627bb1f43ad74522b9504021,true,-,4,1,5,25
21,cpu07,9f/8805b6,nf-9f8805b6796529a335e783cb5a68aaf0,writeLargeFile,21,writeLargeFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701988456806,1701988465000,1701988526000,69194,1149,-,105.7,0.0,32980992,776900608,34160640,945324032,108829,967837669,254,236306,24576,967835648,106,101,/input/data/work/9f/8805b6796529a335e783cb5a68aaf0,true,-,4,1,6,24
5,cpu01,6b/de29b2,nf-6bde29b2f7854b6fa2991df44b954600,writeLargeFile,5,writeLargeFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701988456842,1701988457000,1701988525000,68158,1032,-,103.5,0.0,27422720,326901760,27422720,326938624,108522,908068866,252,221714,0,908066816,2,8,/input/data/work/6b/de29b2f7854b6fa2991df44b954600,true,-,5,1,5,24
23,cpu08,2c/c1ea69,nf-2cc1ea69509f052bcfe3b691ed8fb408,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701988456873,1701988459000,1701988527000,70127,1735,-,70.8,0.0,32428032,776908800,33550336,945332224,108744,1002440685,256,244754,4096,1002438656,62,45,/input/data/work/2c/c1ea69509f052bcfe3b691ed8fb408,true,-,4,0,5,22
17,cpu02,74/3b22b4,nf-743b22b497750aa6bbd486c68208b4b0,writeLargeFile,17,writeLargeFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701988456938,1701988463000,1701988528000,71062,1159,-,105.8,0.0,32862208,776900608,33972224,945324032,108829,1017120753,254,248338,0,1017118720,99,102,/input/data/work/74/3b22b497750aa6bbd486c68208b4b0,true,-,5,1,5,23
