task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
19,cpu01,15/9dd1c9,nf-159dd1c995dc2dcd08635668b181f31a,writeLargeFile,19,writeLargeFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699032268709,1699032269000,1699032339000,70291,1049,-,108.5,0.0,28266496,326897664,28266496,326934528,107835,994052066,252,242706,0,994050048,2,5,/input/data/work/15/9dd1c995dc2dcd08635668b181f31a,true,-,6,1,5,23
1,cpu01,7a/2188d5,nf-7a2188d5d57f2b6417492682c580cd9b,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699032268976,1699032269000,1699032339000,70024,1120,-,107.7,0.0,27897856,422273024,28786688,590696448,107856,1056966648,252,258066,0,1056964608,100,19,/input/data/work/7a/2188d5d57f2b6417492682c580cd9b,true,-,5,1,5,22
50,cpu01,b5/2e9b4a,nf-b52e9b4af1efa1b218e94d633e386e1b,writeLargeFile,50,writeLargeFile (50),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699032269238,1699032270000,1699032339000,69762,1057,-,108.2,0.0,28573696,326897664,28573696,326934528,107825,1003489240,252,245010,0,1003487232,2,7,/input/data/work/b5/2e9b4af1efa1b218e94d633e386e1b,true,-,4,0,4,23
21,cpu03,3a/c4ae64,nf-3ac4ae6402cfdd8af47e6b0fb9aa50bb,writeLargeFile,21,writeLargeFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699032268527,1699032270000,1699032345000,76473,1132,-,106.7,0.0,28278784,422273024,29143040,590696448,108782,967837714,254,236306,0,967835648,100,24,/input/data/work/3a/c4ae6402cfdd8af47e6b0fb9aa50bb,true,-,4,1,5,27
9,cpu02,03/6acd86,nf-036acd8690b0786bda0a1c77d094db1a,writeLargeFile,9,writeLargeFile (9),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699032268561,1699032281000,1699032349000,80439,1688,-,67.0,0.0,33398784,709791744,34549760,945324032,108731,875562975,254,213778,0,875560960,37,34,/input/data/work/03/6acd8690b0786bda0a1c77d094db1a,true,-,5,1,5,22
15,cpu10,22/c0ab19,nf-22c0ab19c37f0797cb10fe4ac70b874a,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699032268599,1699032270000,1699032346000,77401,1027,-,106.6,0.0,28483584,326897664,28483584,326934528,108706,871368698,255,212754,0,871366656,5,6,/input/data/work/22/c0ab19c37f0797cb10fe4ac70b874a,true,-,7,1,4,25
29,cpu06,a1/85e78b,nf-a185e78b99803c520870ef15dd320b26,writeLargeFile,29,writeLargeFile (29),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699032268636,1699032274000,1699032348000,79364,1237,-,97.5,0.0,32923648,776900608,34045952,945324032,108716,1018169295,256,248594,0,1018167296,105,88,/input/data/work/a1/85e78b99803c520870ef15dd320b26,true,-,6,2,4,24
2,cpu07,4b/3e6d3f,nf-4b3e6d3f15d531a4a8ec28ced0d3a5b1,writeLargeFile,2,writeLargeFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699032268673,1699032270000,1699032348000,79327,1040,-,109.8,0.0,3371008,5857280,3371008,5894144,108745,881854444,254,215314,0,881852416,4,1,/input/data/work/4b/3e6d3f15d531a4a8ec28ced0d3a5b1,true,-,6,1,5,24
18,cpu09,bc/157e28,nf-bc157e2875d9fbe5015595cb0e87aaf6,writeLargeFile,18,writeLargeFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699032268744,1699032271000,1699032349000,80256,1173,-,106.1,0.0,33402880,776900608,34582528,945324032,108063,973080534,254,237586,0,973078528,98,96,/input/data/work/bc/157e2875d9fbe5015595cb0e87aaf6,true,-,5,0,6,23
10,cpu08,ef/ecd1a4,nf-efecd1a4508855ae873e8f6922e5f4b8,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699032268777,1699032278000,1699032349000,80223,1098,-,104.4,0.0,28037120,422277120,29200384,590700544,108010,1021315080,254,249362,0,1021313024,105,97,/input/data/work/ef/ecd1a4508855ae873e8f6922e5f4b8,true,-,5,0,5,22
