task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
30,cpu02,e1/a1c346,nf-e1a1c346d5b347e0f1f3f74db1958303,writeLargeFile,30,writeLargeFile (30),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091109,1699642091000,1699642265000,173891,1036,-,107.6,0.0,28057600,326901760,28057600,326938624,108761,912263147,255,222738,20480,912261120,5,3,/input/data/work/e1/a1c346d5b347e0f1f3f74db1958303,true,-,6,1,4,22
11,cpu07,6a/431261,nf-6a43126122c3f449cbd078b19a50c4a8,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091255,1699642092000,1699642276000,184745,1766,-,61.8,0.0,27439104,326901760,27439104,326938624,108743,951060447,254,232210,4096,951058432,5,5,/input/data/work/6a/43126122c3f449cbd078b19a50c4a8,true,-,8,1,4,20
21,cpu03,3a/0f5cb5,nf-3a0f5cb5edf591a5dd0853f6dc3ea8bb,writeLargeFile,21,writeLargeFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642090454,1699642091000,1699642284000,193546,1055,-,112.8,0.0,27856896,326901760,27856896,326938624,108753,967837666,254,236306,4096,967835648,5,7,/input/data/work/3a/0f5cb5edf591a5dd0853f6dc3ea8bb,true,-,10,1,6,36
29,cpu02,c2/3f582b,nf-c23f582be0badc6185d5f8077acdf5b3,writeLargeFile,29,writeLargeFile (29),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642090496,1699642091000,1699642266000,175504,1161,-,108.4,0.0,32919552,776900608,34074624,945324032,108771,1018169339,254,248594,28672,1018167296,115,109,/input/data/work/c2/3f582be0badc6185d5f8077acdf5b3,true,-,10,1,5,25
2,cpu09,0a/3cd6aa,nf-0a3cd6aa9d4004a609fcd3efd5f7d78a,writeLargeFile,2,writeLargeFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642090538,1699642091000,1699642285000,194462,990,-,106.6,0.0,27443200,326897664,27443200,326934528,108548,881854441,254,215314,4096,881852416,5,4,/input/data/work/0a/3cd6aa9d4004a609fcd3efd5f7d78a,true,-,7,1,6,27
3,cpu10,f3/312506,nf-f331250606b20403088a39425ff32291,writeLargeFile,3,writeLargeFile (3),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642090581,1699642091000,1699642280000,189419,1098,-,110.6,0.0,27529216,326901760,27529216,326938624,108697,984614891,254,240402,4096,984612864,5,6,/input/data/work/f3/31250606b20403088a39425ff32291,true,-,8,1,5,28
18,cpu06,ac/d83bfd,nf-acd83bfda11eea6dccaa123b8d7a3349,writeLargeFile,18,writeLargeFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642090620,1699642091000,1699642282000,191380,1098,-,109.3,0.0,27918336,326901760,27918336,326938624,108445,973080539,254,237586,4096,973078528,5,5,/input/data/work/ac/d83bfda11eea6dccaa123b8d7a3349,true,-,7,1,5,25
19,cpu07,57/55392a,nf-5755392adf7f66c3df5c02b02db46d6a,writeLargeFile,19,writeLargeFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642090659,1699642091000,1699642274000,183341,1070,-,108.5,0.0,27746304,326897664,27746304,326934528,108756,994052077,254,242706,4096,994050048,5,6,/input/data/work/57/55392adf7f66c3df5c02b02db46d6a,true,-,8,1,5,24
4,cpu01,ac/3a0779,nf-ac3a077958b0a50db89376de249ef346,writeLargeFile,4,writeLargeFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642090699,1699642091000,1699642290000,199301,1145,-,109.8,0.0,31940608,771579904,33042432,940003328,108343,1012926440,253,247314,0,1012924416,104,103,/input/data/work/ac/3a077958b0a50db89376de249ef346,true,-,8,1,6,24
24,cpu08,0b/bc6d11,nf-0bbc6d116ef3b089643c8a2299ec3b9e,writeLargeFile,24,writeLargeFile (24),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642090738,1699642091000,1699642287000,196262,1175,-,106.1,0.0,32624640,776908800,33804288,945332224,108565,1059063802,256,258578,40960,1059061760,154,107,/input/data/work/0b/bc6d116ef3b089643c8a2299ec3b9e,true,-,9,0,5,24
25,cpu03,86/74ebcf,nf-8674ebcfd2943bf6bdf8109d9368e80c,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642090775,1699642091000,1699642284000,193225,1103,-,110.7,0.0,27676672,422277120,28545024,590700544,108764,1001392111,254,244498,4096,1001390080,102,18,/input/data/work/86/74ebcfd2943bf6bdf8109d9368e80c,true,-,8,1,4,23
17,cpu02,ca/c1dc80,nf-cac1dc8023b626caca684d08b2f0f1e3,writeLargeFile,17,writeLargeFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642090811,1699642091000,1699642266000,175189,1170,-,105.8,0.0,32825344,776900608,33931264,945324032,108767,1017120760,254,248338,20480,1017118720,115,98,/input/data/work/ca/c1dc8023b626caca684d08b2f0f1e3,true,-,7,1,4,23
7,cpu09,53/4e9c19,nf-534e9c192ab6d867deb34e8dff0bdbce,writeLargeFile,7,writeLargeFile (7),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642090848,1699642091000,1699642285000,194152,991,-,108.5,0.0,27787264,326897664,27787264,326934528,108546,877660135,254,214290,4096,877658112,5,4,/input/data/work/53/4e9c192ab6d867deb34e8dff0bdbce,true,-,7,1,5,23
9,cpu10,d3/03da4c,nf-d303da4cd4466fee280ae6c93a3ead63,writeLargeFile,9,writeLargeFile (9),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642090891,1699642091000,1699642280000,189109,1018,-,107.9,0.0,27443200,326901760,27443200,326938624,108696,875562986,254,213778,4096,875560960,5,4,/input/data/work/d3/03da4cd4466fee280ae6c93a3ead63,true,-,8,0,6,28
13,cpu06,35/554169,nf-35554169758102639eccc64b64083a2e,writeLargeFile,13,writeLargeFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642090930,1699642091000,1699642282000,191070,1124,-,108.9,0.0,27856896,422277120,28745728,590700544,108480,990906367,254,241938,4096,990904320,102,19,/input/data/work/35/554169758102639eccc64b64083a2e,true,-,9,1,5,23
15,cpu07,b5/7f5925,nf-b57f5925c095b679b24cda191e79a8ba,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642090966,1699642092000,1699642274000,183034,1074,-,110.7,0.0,27607040,326901760,27607040,326938624,108725,871368654,254,212754,8192,871366656,5,6,/input/data/work/b5/7f5925c095b679b24cda191e79a8ba,true,-,7,1,5,22
32,cpu01,d2/b9e525,nf-d2b9e5253390e8567b01725272f59140,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091005,1699642092000,1699642290000,198995,1207,-,99.1,0.0,32956416,776908800,34103296,945332224,108349,1069549547,254,261138,0,1069547520,106,107,/input/data/work/d2/b9e5253390e8567b01725272f59140,true,-,8,2,5,23
14,cpu08,0b/5582c8,nf-0b5582c8c501d9c1b2c12cc29f997d1c,writeLargeFile,14,writeLargeFile (14),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091041,1699642091000,1699642286000,194959,1077,-,110.8,0.0,27430912,326901760,27430912,326938624,108545,961546215,255,234770,36864,961544192,5,7,/input/data/work/0b/5582c8c501d9c1b2c12cc29f997d1c,true,-,7,1,5,22
26,cpu03,0e/8a8368,nf-0e8a8368d7c1e76dde0c1b5954682169,writeLargeFile,26,writeLargeFile (26),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091074,1699642092000,1699642285000,193926,1916,-,59.9,0.0,27463680,326901760,27463680,326938624,108765,1048578033,254,256018,4096,1048576000,7,5,/input/data/work/0e/8a8368d7c1e76dde0c1b5954682169,true,-,8,0,4,20
31,cpu09,e1/b1f089,nf-e1b1f089bf5145932dc3966c44741810,writeLargeFile,31,writeLargeFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091143,1699642092000,1699642286000,194857,1141,-,96.9,0.0,27734016,326901760,27734016,326938624,108533,969934811,254,236818,4096,969932800,8,5,/input/data/work/e1/b1f089bf5145932dc3966c44741810,true,-,7,1,4,20
20,cpu10,87/f7e072,nf-87f7e072c18b0bb256b703b9246e4002,writeLargeFile,20,writeLargeFile (20),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091181,1699642091000,1699642281000,189819,1087,-,106.5,0.0,27410432,326901760,27410432,326938624,108697,956303338,254,233490,4096,956301312,6,4,/input/data/work/87/f7e072c18b0bb256b703b9246e4002,true,-,7,1,5,24
28,cpu06,0f/91cb19,nf-0f91cb19505cda6be86c736d0edca06b,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091221,1699642092000,1699642283000,191779,1066,-,109.6,0.0,27873280,326901760,27873280,326938624,108452,950011875,254,231954,4096,950009856,5,5,/input/data/work/0f/91cb19505cda6be86c736d0edca06b,true,-,7,1,5,26
10,cpu01,71/e06cf0,nf-71e06cf0982287a136e46a918d2d97ef,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091291,1699642092000,1699642290000,198709,1185,-,107.7,0.0,32849920,776900608,34029568,945324032,108338,1021315047,252,249362,0,1021313024,104,106,/input/data/work/71/e06cf0982287a136e46a918d2d97ef,true,-,7,1,5,22
8,cpu08,04/f1442b,nf-04f1442b684dd20c6b955e7ccf3ac901,writeLargeFile,8,writeLargeFile (8),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642090397,1699642091000,1699642286000,195603,1096,-,110.6,0.0,27734016,326897664,27734016,326934528,108543,1017120747,254,248338,24576,1017118720,5,7,/input/data/work/04/f1442b684dd20c6b955e7ccf3ac901,true,-,32,9,35,73
5,cpu02,f1/2baa31,nf-f12baa312e387dc99f328db83833b099,writeLargeFile,5,writeLargeFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091327,1699642274000,1699642420000,328673,1476,-,71.3,0.0,32657408,776908800,33787904,945332224,108746,908068829,254,221714,36864,908066816,76,58,/input/data/work/f1/2baa312e387dc99f328db83833b099,true,-,7,1,4,22
16,cpu02,7e/80dbfa,nf-7e80dbfaec704678bf73d912d4d3cdd6,writeLargeFile,16,writeLargeFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091363,1699642279000,1699642420000,328637,4772,-,21.8,0.0,32878592,776900608,34058240,945324032,108736,887097312,252,216594,12288,887095296,71,60,/input/data/work/7e/80dbfaec704678bf73d912d4d3cdd6,true,-,7,1,3,24
6,cpu02,43/7cd790,nf-437cd790f9ab869f7bc1db3188633258,writeLargeFile,6,writeLargeFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091402,1699642287000,1699642421000,329598,1249,-,90.0,0.0,32739328,776900608,33914880,945324032,108765,1058015217,255,258322,32768,1058013184,103,88,/input/data/work/43/7cd790f9ab869f7bc1db3188633258,true,-,8,0,4,25
1,cpu03,f6/6f0023,nf-f66f002368fc18dcd2c5823b85c39c21,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091616,1699642290000,1699642441000,349384,1336,-,92.9,0.0,33132544,776908800,34246656,945332224,108752,1056966629,254,258066,4096,1056964608,88,78,/input/data/work/f6/6f002368fc18dcd2c5823b85c39c21,true,-,8,1,4,19
34,cpu03,d5/f79b85,nf-d5f79b8515a55842763e1b8e08b0c95a,writeLargeFile,34,writeLargeFile (34),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091723,1699642290000,1699642440000,348277,1290,-,93.7,0.0,32710656,776908800,33824768,945332224,108749,991954911,254,242194,4096,991952896,88,79,/input/data/work/d5/f79b8515a55842763e1b8e08b0c95a,true,-,8,1,4,21
43,cpu06,c7/ce1cd4,nf-c7ce1cd45af7fe5bb5fc9c3e477693fd,writeLargeFile,43,writeLargeFile (43),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091793,1699642291000,1699642459000,367207,1132,-,88.1,0.0,3411968,5857280,3411968,5894144,108442,865077218,252,211218,4096,865075200,7,1,/input/data/work/c7/ce1cd45af7fe5bb5fc9c3e477693fd,true,-,8,0,4,21
42,cpu03,c6/5260eb,nf-c65260eb2daa5bf313f9ca3228e09c88,writeLargeFile,42,writeLargeFile (42),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091996,1699642293000,1699642439000,347004,2898,-,35.1,0.0,33062912,776908800,34177024,945332224,108762,869271532,252,212242,4096,869269504,55,45,/input/data/work/c6/5260eb2daa5bf313f9ca3228e09c88,true,-,9,0,4,19
23,cpu06,92/2a8baa,nf-922a8baa5ccc5faac993f021e65529a1,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091582,1699642289000,1699642461000,369418,1286,-,92.2,0.0,32886784,776908800,34033664,945332224,108480,1002440704,254,244754,4096,1002438656,108,79,/input/data/work/92/2a8baa5ccc5faac993f021e65529a1,true,-,9,1,5,22
40,cpu06,21/47b5fc,nf-2147b5fc2603524dd78146f5e3222652,writeLargeFile,40,writeLargeFile (40),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091688,1699642290000,1699642460000,368312,1239,-,90.3,0.0,32595968,776900608,33775616,945324032,108439,980420567,254,239378,4096,980418560,103,79,/input/data/work/21/47b5fc2603524dd78146f5e3222652,true,-,9,0,4,23
41,cpu08,78/4987b1,nf-784987b112ab67f19062d7df300ec75d,writeLargeFile,41,writeLargeFile (41),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091826,1699642292000,1699642475000,383174,1237,-,93.9,0.0,32636928,776908800,33701888,945332224,108567,888145922,254,216850,4096,888143872,97,81,/input/data/work/78/4987b112ab67f19062d7df300ec75d,true,-,9,1,3,19
35,cpu08,15/b864fc,nf-15b864fc9291963c792559842e60aaae,writeLargeFile,35,writeLargeFile (35),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091895,1699642292000,1699642475000,383105,1276,-,91.1,0.0,33067008,776908800,34230272,945332224,108575,931137547,254,227346,4096,931135488,95,81,/input/data/work/15/b864fc9291963c792559842e60aaae,true,-,8,1,4,20
59,cpu08,71/ff3f1c,nf-71ff3f1c4dda5a4429133a261548354c,writeLargeFile,59,writeLargeFile (59),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091963,1699642293000,1699642476000,384037,1248,-,89.0,0.0,32784384,776908800,33964032,945332224,108572,977274882,255,238610,4096,977272832,101,73,/input/data/work/71/ff3f1c4dda5a4429133a261548354c,true,-,8,0,4,20
44,cpu01,24/88a7ec,nf-2488a7ec1de26fc4e984a2116809f86e,writeLargeFile,44,writeLargeFile (44),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642092065,1699642294000,1699642480000,387935,1243,-,97.6,0.0,32546816,776900608,33726464,945324032,108365,1026557954,252,250642,0,1026555904,93,91,/input/data/work/24/88a7ec1de26fc4e984a2116809f86e,true,-,6,1,3,22
45,cpu01,e6/7612d6,nf-e67612d66353a7f74ea0300e75539299,writeLargeFile,45,writeLargeFile (45),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642092098,1699642294000,1699642480000,387902,1225,-,98.2,0.0,32886784,776900608,34066432,945324032,108336,997197797,252,243474,0,997195776,94,93,/input/data/work/e6/7612d66353a7f74ea0300e75539299,true,-,8,1,4,19
39,cpu01,60/088bc5,nf-60088bc5c12af5a3fc0c85b466a1d34d,writeLargeFile,39,writeLargeFile (39),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642092134,1699642295000,1699642480000,387866,1177,-,95.4,0.0,27619328,422273024,28733440,590696448,108334,988809186,252,241426,0,988807168,90,17,/input/data/work/60/088bc5c12af5a3fc0c85b466a1d34d,true,-,9,1,3,21
46,cpu07,6a/6915a1,nf-6a6915a1dcd03c775bfc592e9bac2f09,writeLargeFile,46,writeLargeFile (46),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091437,1699642286000,1699642485000,393563,1270,-,95.3,0.0,32944128,776908800,34123776,945332224,108767,1039140856,254,253714,4096,1039138816,107,84,/input/data/work/6a/6915a1dcd03c775bfc592e9bac2f09,true,-,8,0,5,21
22,cpu07,36/89cc2b,nf-3689cc2bdb752a13b476c47f7915da69,writeLargeFile,22,writeLargeFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091475,1699642287000,1699642485000,393525,1273,-,95.9,0.0,32866304,776908800,33931264,945332224,108748,1050675175,254,256530,4096,1050673152,102,78,/input/data/work/36/89cc2bdb752a13b476c47f7915da69,true,-,8,0,4,25
12,cpu07,0b/01fb6b,nf-0b01fb6b6dd1f4ac14d38a1b70364593,writeLargeFile,12,writeLargeFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091508,1699642288000,1699642487000,395492,1284,-,95.2,0.0,32624640,776908800,33771520,945332224,108760,1070598131,254,261394,4096,1070596096,115,89,/input/data/work/0b/01fb6b6dd1f4ac14d38a1b70364593,true,-,7,1,4,20
27,cpu10,46/2ce558,nf-462ce558f524312a6fc864079be5f49f,writeLargeFile,27,writeLargeFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699642091544,1699642289000,1699642498000,406456,1128,-,96.1,0.0,27410432,422273024,28590080,590696448,108698,913311722,254,222994,4096,913309696,84,18,/input/data/work/46/2ce558f524312a6fc864079be5f49f,true,-,7,1,4,23
