task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
25,cpu09,-,1a/4ad0ac,nf-1a4ad0ac0f104169f4be34b4b0b8f183,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306404,1699025308000,1699025314000,7596,858,-,110.5,0.0,3465216,5857280,3465216,5894144,108344,1001392177,247,244498,12288,1001390080,2,2,/input/data/work/1a/4ad0ac0f104169f4be34b4b0b8f183,true,-,0,-,-,-,-,-,-,-,122,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,5,2,6,32,-
21,cpu09,-,b4/0d72ce,nf-b40d72ce2fb2b3ccdb8d322b359d5d36,writeLargeFile,21,writeLargeFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306446,1699025308000,1699025314000,7554,1843,-,50.9,0.0,28504064,326897664,28504064,326934528,108409,967837809,247,236306,36864,967835648,5,13,/input/data/work/b4/0d72ce2fb2b3ccdb8d322b359d5d36,true,-,0,-,-,-,-,-,-,-,90,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,41,-,-,-,-,-,-,6,1,5,29,-
20,cpu09,-,44/4a972e,nf-444a972e7f80bf984576b1ff6f6f1758,writeLargeFile,20,writeLargeFile (20),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306485,1699025308000,1699025314000,7515,879,-,100.3,0.0,3305472,5857280,3305472,5894144,108341,956303405,247,233490,4096,956301312,2,2,/input/data/work/44/4a972e7f80bf984576b1ff6f6f1758,true,-,0,-,-,-,-,-,-,-,54,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,48,-,-,-,-,-,-,5,1,6,26,-
32,cpu10,-,9f/5abbac,nf-9f5abbacaee1595ec40ec1efdc29543b,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306529,1699025307000,1699025316000,9471,1112,-,105.6,0.0,33202176,776916992,34357248,945336320,109328,1069549643,250,261138,0,1069547520,97,88,/input/data/work/9f/5abbacaee1595ec40ec1efdc29543b,true,-,0,-,-,-,-,-,-,-,34,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,5,2,11,25,-
23,cpu10,-,81/b51fe0,nf-81b51fe0cc443b42e17b8313e054c0e8,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306568,1699025308000,1699025316000,9432,1085,-,99.1,0.0,27721728,422281216,28815360,590700544,109379,1002440829,250,244754,0,1002438656,101,21,/input/data/work/81/b51fe0cc443b42e17b8313e054c0e8,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,5,1,7,25,-
15,cpu08,-,ac/bc0694,nf-acbc0694d4190ee4cdac0d2ba1175061,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306606,1699025307000,1699025314000,7394,913,-,104.3,0.0,3436544,5857280,3436544,5894144,108346,871368780,247,212754,0,871366656,2,3,/input/data/work/ac/bc0694d4190ee4cdac0d2ba1175061,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,5,1,5,26,-
16,cpu08,-,70/725ffe,nf-70725ffeb86fce7a880a3f967f2a77ad,writeLargeFile,16,writeLargeFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306643,1699025307000,1699025314000,7357,1070,-,92.2,0.0,27938816,422277120,29077504,590696448,108356,887097429,247,216594,0,887095296,84,22,/input/data/work/70/725ffeb86fce7a880a3f967f2a77ad,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,6,1,4,25,-
14,cpu08,-,22/84aa5b,nf-2284aa5b63280470c66ac549496a7d54,writeLargeFile,14,writeLargeFile (14),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306679,1699025307000,1699025314000,7321,954,-,96.9,0.0,3424256,5857280,3428352,5894144,108354,961546315,249,234770,0,961544192,2,3,/input/data/work/22/84aa5b63280470c66ac549496a7d54,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,5,1,5,23,-
13,cpu06,-,87/803c1b,nf-87803c1b4506cf807a94a1417079b202,writeLargeFile,13,writeLargeFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306811,1699025312000,1699025317000,10189,1012,-,102.0,0.0,3395584,5857280,3395584,5894144,109442,990906493,250,241938,0,990904320,4,0,/input/data/work/87/803c1b4506cf807a94a1417079b202,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,5,1,4,21,-
18,cpu06,-,c6/f6ac46,nf-c6f6ac46f2e1665757769b5b5ebd741d,writeLargeFile,18,writeLargeFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306847,1699025311000,1699025317000,10153,994,-,106.4,0.0,3354624,5857280,3354624,5894144,109442,973080701,250,237586,0,973078528,4,3,/input/data/work/c6/f6ac46f2e1665757769b5b5ebd741d,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,6,1,5,23,-
28,cpu06,-,b8/530f49,nf-b8530f49d7f46da5fd16028a81ef0c3b,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306882,1699025311000,1699025317000,10118,950,-,112.5,0.0,28270592,326897664,28270592,326934528,109418,950012004,250,231954,0,950009856,5,8,/input/data/work/b8/530f49d7f46da5fd16028a81ef0c3b,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,6,1,4,22,-
6,cpu03,-,66/101de8,nf-66101de88a5467e68b06d5ecb4c93921,writeLargeFile,6,writeLargeFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306921,1699025307000,1699025314000,7079,1086,-,105.5,0.0,27836416,422277120,29016064,590696448,109412,1058015317,251,258322,0,1058013184,89,17,/input/data/work/66/101de88a5467e68b06d5ecb4c93921,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,7,2,5,24,-
17,cpu03,-,fe/d266f4,nf-fed266f44fc7e5579cba63c62ef6bd8f,writeLargeFile,17,writeLargeFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306955,1699025307000,1699025314000,7045,997,-,106.0,0.0,3354624,5857280,3354624,5894144,109352,1017120797,250,248338,4096,1017118720,2,3,/input/data/work/fe/d266f44fc7e5579cba63c62ef6bd8f,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,5,1,5,21,-
3,cpu03,-,fb/f345ac,nf-fbf345ac0c22f329929008bcd5b3a6fb,writeLargeFile,3,writeLargeFile (3),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306987,1699025308000,1699025314000,7013,954,-,109.7,0.0,3260416,5857280,3260416,5894144,109240,984614979,249,240402,4096,984612864,2,3,/input/data/work/fb/f345ac0c22f329929008bcd5b3a6fb,true,-,0,-,-,-,-,-,-,-,12,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,5,1,5,20,-
31,cpu02,-,fa/73c65f,nf-fa73c65f732bc350ae5eda333cae92cf,writeLargeFile,31,writeLargeFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025307018,1699025310000,1699025317000,9982,889,-,111.2,0.0,28209152,326897664,28209152,326934528,109259,969934942,247,236818,4096,969932800,5,5,/input/data/work/fa/73c65f732bc350ae5eda333cae92cf,true,-,0,-,-,-,-,-,-,-,12,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,6,1,3,20,-
12,cpu02,-,5f/e6f617,nf-5fe6f6173c56a60feea8b8fd6a5d2ebe,writeLargeFile,12,writeLargeFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025307051,1699025311000,1699025317000,9949,943,-,109.8,0.0,27836416,326897664,27836416,326934528,109264,1070598237,249,261394,4096,1070596096,5,7,/input/data/work/5f/e6f6173c56a60feea8b8fd6a5d2ebe,true,-,0,-,-,-,-,-,-,-,11,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,5,1,4,22,-
24,cpu02,-,6a/a1a55b,nf-6aa1a55b9f3d73305d621625e560d716,writeLargeFile,24,writeLargeFile (24),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025307081,1699025311000,1699025317000,9919,965,-,111.4,0.0,27262976,321581056,27262976,321617920,109445,1059063931,250,258578,0,1059061760,4,8,/input/data/work/6a/a1a55b9f3d73305d621625e560d716,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,5,0,3,20,-
2,cpu01,-,c6/a8f704,nf-c6a8f704b86fd443f82f32f1e34d38e5,writeLargeFile,2,writeLargeFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025307112,1699025307000,1699025314000,6888,841,-,102.0,0.0,28319744,326897664,28319744,326934528,108188,881854506,246,215314,32768,881852416,2,7,/input/data/work/c6/a8f704b86fd443f82f32f1e34d38e5,true,-,0,-,-,-,-,-,-,-,12,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,5,1,4,20,-
11,cpu01,-,23/5b7522,nf-235b7522b7ad068c13ef3334639d67d8,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025307143,1699025307000,1699025314000,6857,900,-,105.3,0.0,27934720,326897664,27934720,326934528,108188,951060523,246,232210,28672,951058432,2,6,/input/data/work/23/5b7522b7ad068c13ef3334639d67d8,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,5,1,3,21,-
10,cpu01,-,54/a55a77,nf-54a55a773e5ca5268a3d626271a7b027,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025307177,1699025307000,1699025314000,6823,911,-,114.2,0.0,28266496,326901760,28266496,326938624,108185,1021315117,245,249362,32768,1021313024,2,8,/input/data/work/54/a55a773e5ca5268a3d626271a7b027,true,-,0,-,-,-,-,-,-,-,13,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,6,1,4,22,-
26,cpu10,-,de/197f62,nf-de197f62e88be075e0f1b3f6bc4a7bb3,writeLargeFile,26,writeLargeFile (26),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306356,1699025308000,1699025316000,9644,1076,-,106.2,0.0,27770880,422277120,28942336,590696448,109326,1048578121,250,256018,4096,1048576000,96,22,/input/data/work/de/197f62e88be075e0f1b3f6bc4a7bb3,true,-,0,-,-,-,-,-,-,-,119,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,119,-,-,-,-,-,-,27,8,39,41,-
29,cpu07,-,67/408697,nf-6740869791ac747f1ad2e0c1265c76d7,writeLargeFile,29,writeLargeFile (29),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306715,1699025312000,1699025319000,12285,962,-,111.3,0.0,28057600,326901760,28057600,326938624,109432,1018169447,251,248594,0,1018167296,5,4,/input/data/work/67/40869791ac747f1ad2e0c1265c76d7,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,6,1,5,22,-
22,cpu07,-,76/0b3fdd,nf-760b3fdd2b2f612c40daf53924649773,writeLargeFile,22,writeLargeFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306746,1699025313000,1699025319000,12254,975,-,108.4,0.0,28127232,326901760,28127232,326938624,109406,1050675283,250,256530,0,1050673152,5,6,/input/data/work/76/0b3fdd2b2f612c40daf53924649773,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,5,0,3,21,-
27,cpu07,-,20/b7fa34,nf-20b7fa3499bc6e860484ef39cff689b8,writeLargeFile,27,writeLargeFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025306779,1699025313000,1699025319000,12221,909,-,105.4,0.0,3338240,5857280,3338240,5894144,109267,913311846,247,222994,0,913309696,4,3,/input/data/work/20/b7fa3499bc6e860484ef39cff689b8,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,5,1,4,21,-
30,cpu01,-,a1/7f436f,nf-a17f436fc518374eeb761e2244cd3bff,writeLargeFile,30,writeLargeFile (30),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025307243,1699025320000,1699025325000,17757,973,-,98.1,0.0,28073984,326897664,28073984,326934528,108321,912263204,248,222738,40960,912261120,2,11,/input/data/work/a1/7f436fc518374eeb761e2244cd3bff,true,-,0,-,-,-,-,-,-,-,11498,-,-,94,-,-,-,-,-,-,-,-,-,-,-,-,-,126,-,-,-,-,-,-,6,1,5,20,-
86,cpu02,-,ac/04bcf2,nf-ac04bcf2ce93033e7d74322bd763d950,writeLargeFile,86,writeLargeFile (86),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025309256,1699025321000,1699025327000,17744,993,-,108.5,0.0,28155904,326897664,28155904,326934528,109425,978323557,250,238866,4096,978321408,5,7,/input/data/work/ac/04bcf2ce93033e7d74322bd763d950,true,-,0,-,-,-,-,-,-,-,10597,-,-,37,-,-,-,-,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-,5,1,3,20,-
87,cpu10,-,a3/3b3978,nf-a33b3978d175883b48ab7c7ff5cce52c,writeLargeFile,87,writeLargeFile (87),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025309284,1699025320000,1699025327000,17716,926,-,106.3,0.0,27807744,326901760,27807744,326938624,109212,1044383850,249,254994,0,1044381696,5,6,/input/data/work/a3/3b3978d175883b48ab7c7ff5cce52c,true,-,0,-,-,-,-,-,-,-,9935,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-,65,-,-,-,-,-,-,5,0,4,18,-
88,cpu10,-,66/0aa3f5,nf-660aa3f5e42a67402a5b863882d0da1f,writeLargeFile,88,writeLargeFile (88),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025309330,1699025320000,1699025327000,17670,958,-,105.6,0.0,28090368,326901760,28090368,326938624,109311,979372088,250,239122,4096,979369984,5,6,/input/data/work/66/0aa3f5e42a67402a5b863882d0da1f,true,-,0,-,-,-,-,-,-,-,9723,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,64,-,-,-,-,-,-,5,1,4,34,-
89,cpu01,-,5b/ef55d1,nf-5bef55d1bc6834efbcb13cd09ac4c728,writeLargeFile,89,writeLargeFile (89),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699025309360,1699025320000,1699025325000,15640,948,-,92.0,0.0,28049408,326897664,28049408,326934528,108294,887097353,248,216594,16384,887095296,2,10,/input/data/work/5b/ef55d1bc6834efbcb13cd09ac4c728,true,-,0,-,-,-,-,-,-,-,9511,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,80,-,-,-,-,-,-,10,1,3,16,-
