task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
6,cpu01,97/2c24b6,nf-972c24b614238320ea68c416cc4ebe28,writeLargeFile,6,writeLargeFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699036982032,1699036982000,1699037026000,43968,1130,-,104.7,0.0,32694272,771588096,33861632,940011520,107911,1058015197,253,258322,0,1058013184,103,103,/input/data/work/97/2c24b614238320ea68c416cc4ebe28,true,-,5,1,5,22
28,cpu01,18/c485b4,nf-18c485b44b6fa80f360befe196db59e7,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699036982295,1699036983000,1699037026000,43705,1010,-,107.4,0.0,28340224,326897664,28340224,326934528,107890,950011851,252,231954,0,950009856,2,8,/input/data/work/18/c485b44b6fa80f360befe196db59e7,true,-,4,1,5,21
7,cpu01,48/825260,nf-488252608810bd503add194b3b11d97d,writeLargeFile,7,writeLargeFile (7),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699036981768,1699036982000,1699037031000,49232,951,-,107.9,0.0,28110848,326897664,28110848,326934528,107903,877660120,252,214290,0,877658112,2,5,/input/data/work/48/8252608810bd503add194b3b11d97d,true,-,5,0,6,25
14,cpu09,5d/3414f4,nf-5d3414f44858a2cb431095731c211787,writeLargeFile,14,writeLargeFile (14),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699036981499,1699036985000,1699037073000,91501,1282,-,85.0,0.0,33067008,776908800,34136064,945332224,108118,961546197,254,234770,0,961544192,98,82,/input/data/work/5d/3414f44858a2cb431095731c211787,true,-,28,9,36,69
22,cpu06,96/f57efc,nf-96f57efc08f067eb51eb82d6c1752f3e,writeLargeFile,22,writeLargeFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699036981695,1699036988000,1699037073000,91305,1598,-,76.5,0.0,32980992,776908800,34074624,945332224,108726,1050675171,254,256530,0,1050673152,67,49,/input/data/work/96/f57efc08f067eb51eb82d6c1752f3e,true,-,4,1,6,27
16,cpu09,07/1f96cb,nf-071f96cb688cf6c0391215e8db36a4d5,writeLargeFile,16,writeLargeFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699036981803,1699036985000,1699037073000,91197,1221,-,82.7,0.0,33583104,776908800,34648064,945332224,108118,887097301,254,216594,0,887095296,91,84,/input/data/work/07/1f96cb688cf6c0391215e8db36a4d5,true,-,4,1,6,23
8,cpu06,85/76e844,nf-8576e844e9eb28e4c00dfe1d531bd4ea,writeLargeFile,8,writeLargeFile (8),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699036981964,1699036988000,1699037073000,91036,1670,-,75.8,0.0,33058816,776908800,34172928,945332224,108736,1017120747,254,248338,0,1017118720,63,48,/input/data/work/85/76e844e9eb28e4c00dfe1d531bd4ea,true,-,5,0,5,21
13,cpu09,90/4011ad,nf-904011adc682b8ee2298cf8f26d9e62c,writeLargeFile,13,writeLargeFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699036982069,1699036985000,1699037073000,90931,1299,-,86.1,0.0,33435648,776900608,34504704,945324032,108129,990906336,254,241938,0,990904320,101,83,/input/data/work/90/4011adc682b8ee2298cf8f26d9e62c,true,-,4,1,5,25
11,cpu06,6b/4e67d2,nf-6b4e67d2e5c3f6a05d51ed97c430b62b,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699036982232,1699036988000,1699037073000,90768,1628,-,76.0,0.0,33292288,776908800,34447360,945332224,108727,951060449,254,232210,0,951058432,61,47,/input/data/work/6b/4e67d2e5c3f6a05d51ed97c430b62b,true,-,4,0,6,19
15,cpu08,89/b3b88a,nf-89b3b88aae5778e057e4d9bb42ce4603,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699036981543,1699036992000,1699037076000,94457,6411,-,15.7,0.0,33177600,776908800,34189312,945332224,108080,871368661,253,212754,0,871366656,67,61,/input/data/work/89/b3b88aae5778e057e4d9bb42ce4603,true,-,4,1,6,29
