task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
19,cpu03,02/c7e8ef,nf-02c7e8ef8490806a028f70d8c4ac51f3,writeLargeFile,19,writeLargeFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704412621065,1704412621000,1704412787000,165935,1072,-,109.1,0.0,27955200,326901760,27955200,326938624,108884,994052117,255,242706,4096,994050048,5,4,/input/data/work/02/c7e8ef8490806a028f70d8c4ac51f3,true,-
11,cpu07,2e/7ac7f3,nf-2e7ac7f3da798a452ddb7720c0ae9b62,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704412621167,1704412621000,1704412802000,180833,1064,-,108.1,0.0,27791360,326897664,27791360,326934528,108858,951060481,254,232210,4096,951058432,5,6,/input/data/work/2e/7ac7f3da798a452ddb7720c0ae9b62,true,-
2,cpu03,e1/e57117,nf-e1e5711782fe90ef163cfed042a280db,writeLargeFile,2,writeLargeFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704412621233,1704412622000,1704412787000,165767,1005,-,112.2,0.0,28262400,326897664,28262400,326934528,108839,881854444,254,215314,4096,881852416,5,7,/input/data/work/e1/e5711782fe90ef163cfed042a280db,true,-
25,cpu10,08/5c1984,nf-085c198462fa07d485e25fd331f7a1ce,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704412621302,1704412622000,1704412801000,179698,1082,-,110.2,0.0,28270592,326901760,28270592,326938624,108850,1001392123,254,244498,4096,1001390080,5,7,/input/data/work/08/5c198462fa07d485e25fd331f7a1ce,true,-
24,cpu02,1e/ca5d97,nf-1eca5d974e8a51182d98b64aebebe447,writeLargeFile,24,writeLargeFile (24),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704412621337,1704412622000,1704412808000,186663,1143,-,108.3,0.0,33357824,776908800,34537472,945332224,108847,1059063797,254,258578,4096,1059061760,105,98,/input/data/work/1e/ca5d974e8a51182d98b64aebebe447,true,-
4,cpu06,75/499b62,nf-75499b623b35ce13aa39f4a597aeaf03,writeLargeFile,4,writeLargeFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704412621375,1704412622000,1704412816000,194625,1156,-,107.6,0.0,32788480,776900608,33820672,945324032,108778,1012926437,254,247314,102400,1012924416,189,119,/input/data/work/75/499b623b35ce13aa39f4a597aeaf03,true,-
9,cpu07,f6/79de75,nf-f679de75b46a544e1290db32c530e871,writeLargeFile,9,writeLargeFile (9),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704412621448,1704412622000,1704412801000,179552,1053,-,107.2,0.0,28241920,326897664,28241920,326934528,108848,875562999,254,213778,4096,875560960,5,5,/input/data/work/f6/79de75b46a544e1290db32c530e871,true,-
26,cpu08,46/99011e,nf-4699011e7df606e3631f995b5bc728af,writeLargeFile,26,writeLargeFile (26),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704412621477,1704412622000,1704412821000,199523,1343,-,86.7,0.0,27897856,326897664,27897856,326934528,108782,1048578035,254,256018,16384,1048576000,6,3,/input/data/work/46/99011e7df606e3631f995b5bc728af,true,-
7,cpu10,d7/1288ef,nf-d71288efc4ff979f02a247ce8f582b39,writeLargeFile,7,writeLargeFile (7),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704412621518,1704412622000,1704412799000,177482,959,-,112.3,0.0,28422144,326905856,28422144,326942720,108837,877660141,254,214290,4096,877658112,5,5,/input/data/work/d7/1288efc4ff979f02a247ce8f582b39,true,-
23,cpu09,4d/1ad537,nf-4d1ad537de0fbd1c86b35d08f24ef9dc,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704412621550,1704412622000,1704412822000,200450,1071,-,108.2,0.0,28209152,326901760,28209152,326938624,108764,1002440684,254,244754,4096,1002438656,5,6,/input/data/work/4d/1ad537de0fbd1c86b35d08f24ef9dc,true,-
6,cpu02,a1/c0954d,nf-a1c0954df30c400005f42907e4a67917,writeLargeFile,6,writeLargeFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704412621583,1704412622000,1704412809000,187417,1118,-,106.1,0.0,28266496,422277120,29057024,590700544,108846,1058015221,254,258322,4096,1058013184,102,17,/input/data/work/a1/c0954df30c400005f42907e4a67917,true,-
13,cpu03,cc/ba865e,nf-ccba865e2a160d46160fe546325923fc,writeLargeFile,13,writeLargeFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704412621616,1704412622000,1704412789000,167384,1031,-,110.1,0.0,28094464,326897664,28094464,326934528,108839,990906349,254,241938,4096,990904320,5,3,/input/data/work/cc/ba865e2a160d46160fe546325923fc,true,-
