task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
1,cpu02,74/a8c812,nf-74a8c812731933e33d97fd1aa290cee1,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1697313472613,1697313475000,1697313476000,3387,0,-,56.1,0.0,2965504,11567104,2965504,11571200,690565,9278,248,18,5722112,20480,4,0,/input/data/work/74/a8c812731933e33d97fd1aa290cee1,true,-,8,1,3,35
2,cpu10,15/92a18b,nf-1592a18bcac3ef747800227c16b5dfe1,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1697313472563,1697313479000,1697313543000,70437,60000,-,42.4,2.1,2853986304,2875150336,2853986304,2875154432,916296363,25693116,112010,3154,2953216,25702400,114,3805,/input/data/work/15/92a18bcac3ef747800227c16b5dfe1,true,-,22,8,31,63
3,cpu03,20/082efc,nf-20082efcbcc6a47641b180c8a8f092b3,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1697313472645,1697313477000,1697313555000,82355,76000,-,20.2,0.0,6447104,12394496,6447104,12398592,3147403449,5960,48262,20,9904128,16384,397,4017,/input/data/work/20/082efcbcc6a47641b180c8a8f092b3,true,-,6,1,3,20
48,cpu03,da/352fc3,nf-da352fc3cf33c77f4057a2af6d894fe2,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1697313480622,1697313481000,1697313556000,75378,73000,-,94.5,0.2,248844288,3047927808,248844288,3047931904,670730970,1758073,1280096,5508,26177536,2097152,155,23,/input/data/work/da/352fc3cf33c77f4057a2af6d894fe2,true,-,4,2,3,21
60,cpu03,7c/dd82af,nf-7cdd82afab9c75f0e68b6452725f0208,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1697313481382,1697313482000,1697313549000,67618,65000,-,97.0,0.2,235765760,2941747200,235880448,3006763008,633581053,1726382,1207569,5491,19390464,2023424,10,8,/input/data/work/7c/dd82afab9c75f0e68b6452725f0208,true,-,3,1,4,23
65,cpu02,62/91858d,nf-6291858d5087495b111db2916dda0f6e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1697313481435,1697313486000,1697313548000,66565,58000,-,100.9,0.2,235401216,2941747200,235679744,3006763008,595351371,1730283,1132893,5507,19881984,1998848,6,5,/input/data/work/62/91858d5087495b111db2916dda0f6e,true,-,5,1,2,19
71,cpu09,c4/5296f1,nf-c45296f1cfae537b57b0b007fa44f079,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1697313481467,1697313488000,1697313553000,71533,63000,-,90.2,0.2,244752384,3015536640,244752384,3015544832,555725591,1718992,1055517,5487,19619840,2015232,61,5,/input/data/work/c4/5296f1cfae537b57b0b007fa44f079,true,-,5,1,2,23
69,cpu08,cd/5ca2f8,nf-cd5ca2f8a030a584513ba8a3fb435581,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1697313481496,1697313485000,1697313553000,71504,64000,-,95.9,0.2,234651648,2941747200,234651648,3006763008,601107880,1719635,1144111,5448,19091456,1998848,8,8,/input/data/work/cd/5ca2f8a030a584513ba8a3fb435581,true,-,4,1,2,20
70,cpu07,e2/591222,nf-e25912228885198e7e70a22dc1aa2ac9,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1697313481526,1697313488000,1697313552000,70474,62000,-,90.2,0.2,259526656,3017633792,260206592,3048689664,569674573,1717385,1082677,5479,25026560,1998848,48,5,/input/data/work/e2/5912228885198e7e70a22dc1aa2ac9,true,-,6,1,2,19
72,cpu10,9e/a09799,nf-9ea09799fbb531440d0bd72f0fe3d033,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1697313481554,1697313482000,1697313556000,74446,72000,-,82.0,0.2,265109504,3021828096,265109504,3048689664,591820849,1719336,1125976,5439,19202048,2064384,10,14,/input/data/work/9e/a09799fbb531440d0bd72f0fe3d033,true,-,4,1,3,18
