task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
2,cpu08,c7/4bf155,nf-c74bf1557e6629c19bb2cb4ed333b1c4,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1699519403481,1699519404000,1699519405000,1519,0,-,89.2,0.0,8138752,32018432,8138752,32022528,690406,9275,247,18,5742592,20480,45,4,/input/data/work/c7/4bf1557e6629c19bb2cb4ed333b1c4,true,-,53,13,31,85
40,cpu03,80/51e5c3,nf-8051e5c30cb7efb417ac9d29b6294685,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,BRD4_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (BRD4_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1699519421084,1699519423000,1699519681000,259916,233000,-,236.0,1.0,1331036160,3208060928,1353555968,3240222720,14913781033,14149960087,1856858,424686,758452224,618893312,833327,18665,/input/data/work/80/51e5c30cb7efb417ac9d29b6294685,true,-,303,1,2,150
61,cpu08,de/d2db75,nf-ded2db75b33db600808c294eb43a95d5,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1699519415902,1699519418000,1699519689000,273098,237000,-,193.2,1.0,1365913600,3207995392,1366200320,3269103616,12526370482,11857685182,1594655,356532,676319232,536924160,693274,14905,/input/data/work/de/d2db75b33db600808c294eb43a95d5,true,-,213,2,2,107
17,cpu01,6d/68ae93,nf-6d68ae93a6aed18bd11bd3b5780cb403,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1699519413187,1699519414000,1699519720000,306813,246000,-,248.8,1.0,1350164480,3131744256,1362194432,3133177856,16599665507,15744863171,2079040,471470,864124928,698974208,939270,21515,/input/data/work/6d/68ae93a6aed18bd11bd3b5780cb403,true,-,33,1,2,34
19,cpu02,fa/b90f08,nf-fab90f08fdc5c57e185312bd08bd2422,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1699519411735,1699519412000,1699519727000,315265,309000,-,27.9,0.2,256872448,3017633792,256872448,3048689664,886178256,1754309,1701029,5544,80109568,2662400,124,4,/input/data/work/fa/b90f08fdc5c57e185312bd08bd2422,true,-,25,2,3,30
27,cpu06,7e/6ef779,nf-7e6ef779d6e6dd54dd7c5a89e71617ce,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1699519412015,1699519412000,1699519746000,333985,302000,-,29.7,0.2,236326912,2941747200,236343296,3006763008,873447571,1762707,1675972,5552,64872448,2428928,6,5,/input/data/work/7e/6ef779d6e6dd54dd7c5a89e71617ce,true,-,18,1,2,26
43,cpu06,49/99df6a,nf-4999df6aba8c85be1a369087b2885e2e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1699519412450,1699519413000,1699519748000,335550,332000,-,29.2,0.2,235409408,2941747200,235417600,3006763008,977834494,1738898,1879789,5513,78602240,2449408,6,6,/input/data/work/49/99df6aba8c85be1a369087b2885e2e,true,-,24,2,3,26
58,cpu06,1a/e59fd2,nf-1ae59fd2c0c355e3eb943aa047cec88d,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1699519423227,1699519425000,1699519748000,324773,288000,-,154.5,1.0,1329180672,3212201984,1348866048,3271225344,12049682408,11403805887,1539838,343101,637816832,517087232,676595,14362,/input/data/work/1a/e59fd2c0c355e3eb943aa047cec88d,true,-,237,1,3,112
37,cpu01,5d/0a7ed4,nf-5d0a7ed401190aa2a294709fee02406b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,AR_VCAP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_VCAP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1699519414714,1699519416000,1699519764000,349286,251000,-,246.9,1.0,1331412992,3131748352,1351417856,3196784640,16854601072,15989048107,2108807,478839,811945984,708476928,936590,21422,/input/data/work/5d/0a7ed401190aa2a294709fee02406b,true,-,83,1,3,54
10,cpu01,32/aabad1,nf-32aabad18297497e94261a57a60c0d82,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,5,57600000,-,3157262336,1,1699519417353,1699519418000,1699519764000,346647,243000,-,247.9,1.0,1352040448,3131744256,1364287488,3133440000,16369911824,15529498728,2046259,465221,786952192,686366720,912580,21200,/input/data/work/32/aabad18297497e94261a57a60c0d82,true,-,281,2,3,136
