task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
1,cpu08,97/1be51c,nf-971be51c82260503f41150d18b9e2127,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699654491206,1699654492000,1699654501000,9794,1061,-,111.3,0.0,27672576,326897664,27672576,326934528,108531,1056966624,254,258066,4096,1056964608,5,2,/input/data/work/97/1be51c82260503f41150d18b9e2127,true,-,23,7,34,77
18,cpu03,7f/10d561,nf-7f10d5613b48aadd8173a9dfa8ada63c,revertFile,17,revertFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699654507830,1699654508000,1699654756000,248170,73802,-,12.4,0.0,3825664,10248192,3825664,10285056,3170953505,1056965028,193688,258062,305577984,1056964608,136169,173,/input/data/work/7f/10d5613b48aadd8173a9dfa8ada63c,true,-,13,1,5,25
15,cpu03,f0/ff1f0d,nf-f0ff1f0d0e3b424f43b1aff51d4b0a14,revertFile,14,revertFile (14),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699654508148,1699654509000,1699654755000,246852,73200,-,12.2,0.0,3866624,10248192,3866624,10285056,3170953505,1056965028,193688,258062,395497472,1056964608,131419,170,/input/data/work/f0/ff1f0d0e3b424f43b1aff51d4b0a14,true,-,7,1,5,24
5,cpu03,48/057060,nf-48057060d7c1567255df07e2bfadf992,revertFile,4,revertFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699654507503,1699654508000,1699654756000,248497,74119,-,12.3,0.0,4112384,10248192,4112384,10285056,3170953504,1056965028,193688,258062,355901440,1056964608,136964,174,/input/data/work/48/057060d7c1567255df07e2bfadf992,true,-,12,1,4,31
6,cpu02,7e/1e80cc,nf-7e1e80cc90ed1593e40650b35e564442,revertFile,5,revertFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699654507549,1699654508000,1699654788000,280451,74661,-,12.1,0.0,3735552,10248192,3735552,10285056,3170953501,1056965028,193688,258062,352956416,1056964608,129265,60,/input/data/work/7e/1e80cc90ed1593e40650b35e564442,true,-,7,1,6,31
16,cpu10,ca/446e7e,nf-ca446e7ea2f5457b4b8b32570b4b9428,revertFile,15,revertFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699654507630,1699654508000,1699654786000,278370,74134,-,12.3,0.0,3895296,10248192,3895296,10285056,3170953442,1056965027,193688,258062,374030336,1056964608,134218,194,/input/data/work/ca/446e7ea2f5457b4b8b32570b4b9428,true,-,8,0,5,24
21,cpu06,08/ccb12a,nf-08ccb12a1d79c592f382e00771a25381,revertFile,20,revertFile (20),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699654507669,1699654508000,1699654787000,279331,74536,-,12.1,0.0,3997696,10248192,3997696,10285056,3170953201,1056965020,193688,258062,375169024,1056964608,134860,118,/input/data/work/08/ccb12a1d79c592f382e00771a25381,true,-,8,1,5,24
19,cpu08,e3/640728,nf-e3640728b883fee7e1571811e9c07fad,revertFile,18,revertFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699654507785,1699654508000,1699654787000,279215,74450,-,12.2,0.0,3883008,10248192,3883008,10285056,3170953282,1056965023,193688,258062,376225792,1056964608,129656,137,/input/data/work/e3/640728b883fee7e1571811e9c07fad,true,-,6,1,4,26
17,cpu02,c4/471764,nf-c447176473e1d5c4728227c21921810a,revertFile,16,revertFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699654507865,1699654508000,1699654788000,280135,74347,-,12.4,0.0,4055040,10248192,4055040,10285056,3170953501,1056965028,193688,258062,366391296,1056964608,131260,161,/input/data/work/c4/47176473e1d5c4728227c21921810a,true,-,7,1,4,23
11,cpu09,51/e1e8a7,nf-51e1e8a7821ad6010427ea9efd014c4d,revertFile,10,revertFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699654507905,1699654508000,1699654793000,285095,74556,-,12.0,0.0,3928064,10248192,3928064,10285056,3170953288,1056965023,193688,258062,349024256,1056964608,130191,103,/input/data/work/51/e1e8a7821ad6010427ea9efd014c4d,true,-,8,1,5,24
33,cpu10,df/12a5a0,nf-df12a5a0fdcfd0d2ae0a11bda708f2e5,revertFile,32,revertFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699654507939,1699654508000,1699654786000,278061,73823,-,12.2,0.0,3825664,10248192,3825664,10285056,3170953441,1056965027,193688,258062,321224704,1056964608,131845,175,/input/data/work/df/12a5a0fdcfd0d2ae0a11bda708f2e5,true,-,7,1,4,22
9,cpu06,98/2a7801,nf-982a780121720d5631b14e93eb31f9db,revertFile,8,revertFile (8),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699654507980,1699654508000,1699654787000,279020,74294,-,12.1,0.0,3821568,10248192,3821568,10285056,3170953201,1056965020,193688,258062,322322432,1056964608,135905,126,/input/data/work/98/2a780121720d5631b14e93eb31f9db,true,-,9,1,4,25
13,cpu08,ac/330126,nf-ac330126de6925ce26d90abc21ab63ee,revertFile,12,revertFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699654508110,1699654509000,1699654787000,278890,73893,-,12.1,0.0,3891200,10248192,3891200,10285056,3170953283,1056965023,193688,258062,311459840,1056964608,129081,106,/input/data/work/ac/330126de6925ce26d90abc21ab63ee,true,-,9,1,4,45
26,cpu02,5d/8bad76,nf-5d8bad76d79f267c1549fc7bee23e1f9,revertFile,25,revertFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699654508182,1699654508000,1699654788000,279818,74079,-,12.2,0.0,3993600,10248192,3993600,10285056,3170953501,1056965028,193688,258062,337629184,1056964608,128532,97,/input/data/work/5d/8bad76d79f267c1549fc7bee23e1f9,true,-,7,1,4,21
32,cpu09,f4/5d36a5,nf-f45d36a5ac8760e4d5258256d2a12df9,revertFile,31,revertFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699654508216,1699654509000,1699654793000,284784,74231,-,12.0,0.0,3760128,10248192,3760128,10285056,3170953289,1056965023,193688,258062,302379008,1056964608,126959,88,/input/data/work/f4/5d36a5ac8760e4d5258256d2a12df9,true,-,7,1,4,21
