task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
1,cpu10,-,3a/5e831b,nf-3a5e831b999ae95df629bd850ef018f7,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699038029761,1699038034000,1699038039000,9239,1014,-,101.7,0.0,3346432,5857280,3346432,5894144,109156,1056966717,247,258066,0,1056964608,2,2,/input/data/work/3a/5e831b999ae95df629bd850ef018f7,true,-,0,-,-,-,-,-,-,-,109,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,109,-,-,-,-,-,-,27,17,46,37,-
22,cpu10,-,f4/a9c56c,nf-f4a9c56ca6527613cef6017477f97834,revertFile,21,revertFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699038040528,1699038041000,1699038053000,12472,6892,-,77.7,0.0,3829760,10248192,3829760,10285056,3170953426,1056965030,193688,258062,0,1056964608,14,303,/input/data/work/f4/a9c56ca6527613cef6017477f97834,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,7,2,6,27,-
6,cpu10,-,d6/8820cd,nf-d68820cdee4ac0490c127356e4c25777,revertFile,5,revertFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699038040575,1699038041000,1699038053000,12425,5391,-,100.4,0.0,3846144,10248192,3846144,10285056,3170953427,1056965031,193688,258062,0,1056964608,10,357,/input/data/work/d6/8820cdee4ac0490c127356e4c25777,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,5,1,4,24,-
37,cpu10,-,24/e875a1,nf-24e875a10769c6f3bc36684e95cdc502,revertFile,36,revertFile (36),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699038041670,1699038042000,1699038055000,13330,10462,-,50.5,0.0,3809280,10248192,3809280,10285056,3170953425,1056965030,193688,258062,0,1056964608,10,366,/input/data/work/24/e875a10769c6f3bc36684e95cdc502,true,-,0,-,-,-,-,-,-,-,40,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,11,1,4,20,-
99,cpu10,-,39/6785ee,nf-396785eedafefd5457eccc2f99a330fa,revertFile,98,revertFile (98),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699038045602,1699038059000,1699038069000,23398,5289,-,100.2,0.0,3903488,10248192,3903488,10285056,3170953427,1056965031,193688,258062,0,1056964608,9,361,/input/data/work/39/6785eedafefd5457eccc2f99a330fa,true,-,0,-,-,-,-,-,-,-,13366,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,66,-,-,-,-,-,-,27,1,2,33,-
101,cpu10,-,81/1ced6c,nf-811ced6c35c909f58983b0fad5f43a5a,revertFile,100,revertFile (100),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699038045664,1699038057000,1699038069000,23336,5570,-,100.0,0.0,3854336,10248192,3854336,10285056,3170953427,1056965031,193688,258062,0,1056964608,10,339,/input/data/work/81/1ced6c35c909f58983b0fad5f43a5a,true,-,0,-,-,-,-,-,-,-,10537,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,66,-,-,-,-,-,-,27,1,3,29,-
100,cpu10,-,3c/f9621c,nf-3cf9621ceb51b296db457bee5e7f385c,revertFile,99,revertFile (99),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699038045727,1699038057000,1699038069000,23273,5442,-,99.7,0.0,3928064,10248192,3928064,10285056,3170953425,1056965030,193688,258062,0,1056964608,13,343,/input/data/work/3c/f9621ceb51b296db457bee5e7f385c,true,-,0,-,-,-,-,-,-,-,10254,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,65,-,-,-,-,-,-,27,1,4,30,-
97,cpu10,-,c1/eebe7d,nf-c1eebe7d62fa87c67aff897d2c4c4875,revertFile,96,revertFile (96),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699038045416,1699038073000,1699038085000,39584,5382,-,100.5,0.0,3788800,10248192,3788800,10285056,3170953426,1056965031,193688,258062,0,1056964608,7,344,/input/data/work/c1/eebe7d62fa87c67aff897d2c4c4875,true,-,0,-,-,-,-,-,-,-,27310,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,77,-,-,-,-,-,-,25,1,3,29,-
96,cpu10,-,c0/f1e173,nf-c0f1e173f28ab8c0b8efcb692caf44f0,revertFile,95,revertFile (95),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699038045475,1699038073000,1699038085000,39525,5423,-,100.4,0.0,3842048,10248192,3842048,10285056,3170953427,1056965031,193688,258062,0,1056964608,13,344,/input/data/work/c0/f1e173f28ab8c0b8efcb692caf44f0,true,-,0,-,-,-,-,-,-,-,26896,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,26,1,3,28,-
98,cpu10,-,61/93c84d,nf-6193c84d78d97ffb45cf02710a05b9d6,revertFile,97,revertFile (97),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699038045538,1699038073000,1699038085000,39462,5528,-,100.0,0.0,4046848,10248192,4046848,10285056,3170953426,1056965031,193688,258062,0,1056964608,13,337,/input/data/work/61/93c84d78d97ffb45cf02710a05b9d6,true,-,0,-,-,-,-,-,-,-,26568,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,68,-,-,-,-,-,-,27,0,4,31,-
93,cpu10,-,c6/39e82f,nf-c639e82fa0350c24eea2e1fae579fff6,revertFile,92,revertFile (92),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699038045224,1699038088000,1699038099000,53776,5738,-,99.9,0.0,3981312,10248192,3981312,10285056,3170953425,1056965030,193688,258062,0,1056964608,7,422,/input/data/work/c6/39e82fa0350c24eea2e1fae579fff6,true,-,0,-,-,-,-,-,-,-,42335,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,67,-,-,-,-,-,-,26,1,4,32,-
92,cpu10,-,41/5a16b5,nf-415a16b5d67ef8c8c66f1a07cfab9e41,revertFile,91,revertFile (91),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699038045291,1699038088000,1699038099000,53709,5341,-,100.2,0.0,3858432,10248192,3858432,10285056,3170953427,1056965031,193688,258062,0,1056964608,8,352,/input/data/work/41/5a16b5d67ef8c8c66f1a07cfab9e41,true,-,0,-,-,-,-,-,-,-,42049,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,71,-,-,-,-,-,-,29,1,3,33,-
90,cpu10,-,a6/8d7955,nf-a68d7955cea99236dc7ea4d1d27a850f,revertFile,89,revertFile (89),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699038045357,1699038088000,1699038099000,53643,5434,-,100.0,0.0,3854336,10248192,3854336,10285056,3170953427,1056965031,193688,258062,0,1056964608,8,343,/input/data/work/a6/8d7955cea99236dc7ea4d1d27a850f,true,-,0,-,-,-,-,-,-,-,41792,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,78,-,-,-,-,-,-,29,1,3,32,-
83,cpu08,-,38/cf727e,nf-38cf727ee6fb99e234d2e452db53e439,revertFile,82,revertFile (82),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699038044726,1699038100000,1699038112000,67274,5469,-,99.8,0.0,4055040,10248192,4055040,10285056,3170952849,1056965011,193688,258062,0,1056964608,21,344,/input/data/work/38/cf727ee6fb99e234d2e452db53e439,true,-,0,-,-,-,-,-,-,-,54736,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,92,-,-,-,-,-,-,23,1,3,31,-
