task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
1,cpu10,-,07/f1a993,nf-07f1a9930c2daaed71f82eda2bb6e272,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699652755766,1699652756000,1699652759000,3234,901,-,108.4,0.0,27516928,326897664,27516928,326934528,109175,1056966718,247,258066,4096,1056964608,5,4,/input/data/work/07/f1a9930c2daaed71f82eda2bb6e272,true,-,0,-,-,-,-,-,-,-,117,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,116,-,-,-,-,-,-,28,14,34,33,-
13,cpu10,-,9a/d49d3f,nf-9ad49d3f042872c8b3e0c1727c62c771,revertFile,12,revertFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699652761528,1699652762000,1699652773000,11472,5416,-,100.0,0.0,3801088,10248192,3801088,10285056,3170953442,1056965032,193688,258062,4096,1056964608,9,336,/input/data/work/9a/d49d3f042872c8b3e0c1727c62c771,true,-,0,-,-,-,-,-,-,-,21,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,22,2,7,35,-
21,cpu10,-,23/5e1a46,nf-235e1a46412ef4bbc91ae26043b2089c,revertFile,20,revertFile (20),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699652761572,1699652762000,1699652773000,11428,5466,-,100.3,0.0,3932160,10248192,3932160,10285056,3170953443,1056965032,193688,258062,4096,1056964608,6,357,/input/data/work/23/5e1a46412ef4bbc91ae26043b2089c,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,11,1,5,26,-
23,cpu10,-,ed/39eb9a,nf-ed39eb9a0ecf0828b33f6e42bed5c281,revertFile,22,revertFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699652761730,1699652762000,1699652773000,11270,5471,-,100.4,0.0,3956736,10248192,3956736,10285056,3170953442,1056965032,193688,258062,4096,1056964608,6,346,/input/data/work/ed/39eb9a0ecf0828b33f6e42bed5c281,true,-,0,-,-,-,-,-,-,-,43,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,8,1,5,28,-
94,cpu10,-,22/05800b,nf-2205800ba561e7d5bf1857328b64a073,revertFile,93,revertFile (93),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699652765044,1699652777000,1699652789000,23956,5464,-,99.8,0.0,4075520,10248192,4075520,10285056,3170953442,1056965031,193688,258062,4096,1056964608,6,337,/input/data/work/22/05800ba561e7d5bf1857328b64a073,true,-,0,-,-,-,-,-,-,-,11457,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,55,-,-,-,-,-,-,10,1,3,20,-
99,cpu10,-,fb/e8e1ad,nf-fbe8e1adf1d927139c9d2553429487a1,revertFile,98,revertFile (98),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699652765079,1699652777000,1699652789000,23921,5484,-,100.0,0.0,3850240,10248192,3850240,10285056,3170953443,1056965032,193688,258062,4096,1056964608,6,345,/input/data/work/fb/e8e1adf1d927139c9d2553429487a1,true,-,0,-,-,-,-,-,-,-,11230,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,8,0,3,23,-
101,cpu10,-,f0/4dd335,nf-f04dd33571d58c969421d33974e26024,revertFile,100,revertFile (100),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699652765114,1699652777000,1699652789000,23886,5426,-,99.5,0.0,3817472,10248192,3817472,10285056,3170953441,1056965031,193688,258062,4096,1056964608,6,342,/input/data/work/f0/4dd33571d58c969421d33974e26024,true,-,0,-,-,-,-,-,-,-,10976,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,78,-,-,-,-,-,-,7,1,4,21,-
84,cpu10,-,e8/2cfecb,nf-e82cfecb92da883274b3bac727c79527,revertFile,83,revertFile (83),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699652764940,1699652794000,1699652806000,41060,5409,-,99.7,0.0,3923968,10248192,3923968,10285056,3170953441,1056965031,193688,258062,4096,1056964608,6,336,/input/data/work/e8/2cfecb92da883274b3bac727c79527,true,-,0,-,-,-,-,-,-,-,27661,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,51,-,-,-,-,-,-,8,0,4,21,-
95,cpu10,-,fd/85b889,nf-fd85b8896db4723950b735a3038c0d97,revertFile,94,revertFile (94),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699652764976,1699652793000,1699652806000,41024,5553,-,99.1,0.0,4067328,10248192,4067328,10285056,3170953442,1056965031,193688,258062,4096,1056964608,6,344,/input/data/work/fd/85b8896db4723950b735a3038c0d97,true,-,0,-,-,-,-,-,-,-,27442,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,51,-,-,-,-,-,-,8,1,3,22,-
98,cpu10,-,d4/da56db,nf-d4da56db17047144459812ad1d346c42,revertFile,97,revertFile (97),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699652765008,1699652793000,1699652806000,40992,5679,-,99.4,0.0,3928064,10248192,3928064,10285056,3170953442,1056965031,193688,258062,4096,1056964608,6,369,/input/data/work/d4/da56db17047144459812ad1d346c42,true,-,0,-,-,-,-,-,-,-,27195,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,61,-,-,-,-,-,-,8,1,3,19,-
