task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,cpu02,98/4cc501,nf-984cc501b4734b736107ccd8380fdead,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701039168081,1701039176000,1701039192000,23919,5975,-,20.0,0.0,32931840,709791744,34111488,945324032,108788,1056966623,254,258066,0,1056964608,22,18,/input/data/work/98/4cc501b4734b736107ccd8380fdead,true,-
8,cpu03,4f/913699,nf-4f91369960045744ab47a44e7aee487a,revertFile,7,revertFile (7),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701039197887,1701039199000,1701039330000,132113,52323,-,19.2,0.0,3887104,10248192,3887104,10285056,3170953547,1056965030,193688,258062,0,1056964608,124786,232,/input/data/work/4f/91369960045744ab47a44e7aee487a,true,-
24,cpu03,74/6a684c,nf-746a684c468addcb7699344eddb3d3c1,revertFile,23,revertFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701039198036,1701039200000,1701039330000,131964,51987,-,18.3,0.0,3952640,10248192,3952640,10285056,3170953548,1056965030,193688,258062,0,1056964608,147118,254,/input/data/work/74/6a684c468addcb7699344eddb3d3c1,true,-
12,cpu03,c8/c44423,nf-c8c44423c02a6ada987c08e27fbc1b06,revertFile,11,revertFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701039198279,1701039199000,1701039330000,131721,52337,-,18.4,0.0,3796992,10248192,3796992,10285056,3170953548,1056965030,193688,258062,0,1056964608,145190,228,/input/data/work/c8/c44423c02a6ada987c08e27fbc1b06,true,-
13,cpu07,10/f163f6,nf-10f163f673cacc9af44cbba66342a2a3,revertFile,12,revertFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701039197964,1701039199000,1701039346000,148036,52344,-,19.0,0.0,3952640,10248192,3952640,10285056,3170953562,1056965030,193688,258062,0,1056964608,144719,226,/input/data/work/10/f163f673cacc9af44cbba66342a2a3,true,-
10,cpu07,2d/5412b3,nf-2d5412b3c113949910961914548a345f,revertFile,9,revertFile (9),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701039198159,1701039199000,1701039346000,147841,52329,-,19.0,0.0,4050944,10248192,4050944,10285056,3170953562,1056965030,193688,258062,0,1056964608,144585,233,/input/data/work/2d/5412b3c113949910961914548a345f,true,-
26,cpu07,63/d88a16,nf-63d88a160bd8d67f354bd1915265af08,revertFile,25,revertFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701039198353,1701039199000,1701039346000,147647,52317,-,19.2,0.0,3985408,10248192,3985408,10285056,3170953562,1056965030,193688,258062,0,1056964608,148649,237,/input/data/work/63/d88a160bd8d67f354bd1915265af08,true,-
3,cpu08,de/8a0d13,nf-de8a0d1370310f30b1f1559b894b559f,revertFile,2,revertFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701039197764,1701039199000,1701039352000,154236,52944,-,19.2,0.0,3956736,10248192,3956736,10285056,3170953438,1056965027,193688,258062,0,1056964608,121425,173,/input/data/work/de/8a0d1370310f30b1f1559b894b559f,true,-
21,cpu10,36/aa3ad7,nf-36aa3ad7d967fca7690c69f19ff154bc,revertFile,20,revertFile (20),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701039197833,1701039205000,1701039352000,154167,46769,-,20.4,0.0,3907584,10248192,3907584,10285056,3170953515,1056965028,193688,258062,0,1056964608,155879,286,/input/data/work/36/aa3ad7d967fca7690c69f19ff154bc,true,-
28,cpu09,be/7e0b07,nf-be7e0b074ebda79c7e128b44be2eeccd,revertFile,27,revertFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701039197913,1701039204000,1701039352000,154087,48051,-,20.0,0.0,4112384,10248192,4112384,10285056,3170953439,1056965026,193688,258062,0,1056964608,149147,168,/input/data/work/be/7e0b074ebda79c7e128b44be2eeccd,true,-
