task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,cpu08,0b/b95b7e,nf-0bb95b7e4261dfc24f73b822dead9a21,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704415045621,1704415046000,1704415056000,10379,1046,-,108.7,0.0,28409856,326897664,28409856,326934528,108773,1056966633,254,258066,4096,1056964608,5,3,/input/data/work/0b/b95b7e4261dfc24f73b822dead9a21,true,-
14,cpu02,b7/c03bef,nf-b7c03bef4382684f9d703699632fd293,revertFile,13,revertFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704415060538,1704415061000,1704415308000,247462,74380,-,12.2,0.0,3911680,10248192,3911680,10285056,3170953587,1056965031,193688,258062,337670144,1056964608,133026,133,/input/data/work/b7/c03bef4382684f9d703699632fd293,true,-
23,cpu02,c8/afd659,nf-c8afd659061b490f5c73553dd04f5dde,revertFile,22,revertFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704415060729,1704415061000,1704415308000,247271,74389,-,12.2,0.0,4038656,10248192,4038656,10285056,3170953586,1056965031,193688,258062,352956416,1056964608,133673,166,/input/data/work/c8/afd659061b490f5c73553dd04f5dde,true,-
7,cpu02,20/2c5221,nf-202c5221043a66fb3e7417af9b8b8291,revertFile,6,revertFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704415061006,1704415061000,1704415308000,246994,74077,-,12.1,0.0,4190208,10248192,4190208,10285056,3170953586,1056965031,193688,258062,366350336,1056964608,130705,115,/input/data/work/20/2c5221043a66fb3e7417af9b8b8291,true,-
6,cpu08,ac/2adea6,nf-ac2adea6379d76f63e3ba7ef7457f04d,revertFile,5,revertFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704415060346,1704415061000,1704415335000,274654,74544,-,12.2,0.0,4190208,10248192,4190208,10285056,3170953522,1056965029,193688,258062,376872960,1056964608,135294,146,/input/data/work/ac/2adea6379d76f63e3ba7ef7457f04d,true,-
25,cpu08,ec/c3746d,nf-ecc3746dcb6ad2a34361e1be1eb12244,revertFile,24,revertFile (24),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704415060699,1704415061000,1704415335000,274301,74127,-,12.1,0.0,4018176,10248192,4018176,10285056,3170953522,1056965029,193688,258062,336117760,1056964608,131248,106,/input/data/work/ec/c3746dcb6ad2a34361e1be1eb12244,true,-
3,cpu10,af/0ea075,nf-af0ea0758f4081ad60f2c9d11ece0e56,revertFile,2,revertFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704415060889,1704415061000,1704415341000,280111,73383,-,12.1,0.0,4038656,10248192,4038656,10285056,3170953582,1056965030,193688,258062,314195968,1056964608,133829,154,/input/data/work/af/0ea0758f4081ad60f2c9d11ece0e56,true,-
22,cpu08,c4/a9c59e,nf-c4a9c59ecd7398b9804aec2877d81e5b,revertFile,21,revertFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704415060920,1704415061000,1704415335000,274080,73928,-,12.2,0.0,4063232,10248192,4063232,10285056,3170953522,1056965029,193688,258062,343986176,1056964608,129632,160,/input/data/work/c4/a9c59ecd7398b9804aec2877d81e5b,true,-
32,cpu10,1b/f970f8,nf-1bf970f8f5c64a341ced038e6f396697,revertFile,31,revertFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704415060396,1704415061000,1704415342000,281604,73933,-,12.2,0.0,4042752,10248192,4042752,10285056,3170953581,1056965030,193688,258062,400347136,1056964608,138843,151,/input/data/work/1b/f970f8f5c64a341ced038e6f396697,true,-
17,cpu03,7a/3baba4,nf-7a3baba4a0d17ddbc2d6d62b4962073b,revertFile,16,revertFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704415060505,1704415061000,1704415344000,283495,74727,-,12.1,0.0,4063232,10248192,4063232,10285056,3170953584,1056965030,193688,258062,387260416,1056964608,131261,159,/input/data/work/7a/3baba4a0d17ddbc2d6d62b4962073b,true,-
11,cpu06,73/d1207f,nf-73d1207f37721b77a4ec73c13029fef4,revertFile,10,revertFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704415060572,1704415061000,1704415344000,283428,74660,-,12.2,0.0,3973120,10248192,3973120,10285056,3170953530,1056965029,193688,258062,354054144,1056964608,137669,103,/input/data/work/73/d1207f37721b77a4ec73c13029fef4,true,-
24,cpu07,fb/911c2f,nf-fb911c2f5fc266ccc4b64909014b6432,revertFile,23,revertFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704415060606,1704415061000,1704415344000,283394,74203,-,12.5,0.0,4059136,10248192,4059136,10285056,3170953582,1056965031,193688,258062,375853056,1056964608,139011,166,/input/data/work/fb/911c2f5fc266ccc4b64909014b6432,true,-
12,cpu10,2f/38f218,nf-2f38f21818cac91cc27a765e67f4cfa1,revertFile,11,revertFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704415060640,1704415061000,1704415342000,281360,73736,-,12.2,0.0,4087808,10248192,4087808,10285056,3170953581,1056965030,193688,258062,342433792,1056964608,136877,141,/input/data/work/2f/38f21818cac91cc27a765e67f4cfa1,true,-
8,cpu03,8f/cc40d8,nf-8fcc40d8363a44ded46f7ca982615a4e,revertFile,7,revertFile (7),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704415060761,1704415061000,1704415344000,283239,74373,-,12.1,0.0,3911680,10248192,3911680,10285056,3170953584,1056965030,193688,258062,359755776,1056964608,129141,133,/input/data/work/8f/cc40d8363a44ded46f7ca982615a4e,true,-
19,cpu06,a2/d821fa,nf-a2d821fa1049e47439f2404555a67f6a,revertFile,18,revertFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704415060830,1704415061000,1704415344000,283170,74351,-,12.3,0.0,3833856,10248192,3833856,10285056,3170953530,1056965029,193688,258062,371589120,1056964608,136434,178,/input/data/work/a2/d821fa1049e47439f2404555a67f6a,true,-
