task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
30,cpu10,-,5d/296b47,nf-5d296b47177155c945d7294774dff0a7,writeLargeFile,30,writeLargeFile (30),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699657306664,1699657307000,1699657314000,7336,954,-,102.9,0.0,27770880,326897664,27770880,326934528,109354,912263243,251,222738,4096,912261120,5,7,/input/data/work/5d/296b47177155c945d7294774dff0a7,true,-,0,-,-,-,-,-,-,-,116,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,116,-,-,-,-,-,-,37,13,35,33,-
22,cpu10,-,f2/a25a53,nf-f2a25a53d93cbad91eb003b37e394393,writeLargeFile,22,writeLargeFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699657306709,1699657307000,1699657314000,7291,1027,-,102.6,0.0,27758592,326897664,27758592,326934528,109347,1050675271,251,256530,4096,1050673152,5,5,/input/data/work/f2/a25a53d93cbad91eb003b37e394393,true,-,0,-,-,-,-,-,-,-,112,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,8,1,6,28,-
11,cpu10,-,4f/a2f263,nf-4fa2f263e86ad36caf5009c76774e7e5,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699657306753,1699657307000,1699657314000,7247,928,-,109.0,0.0,27738112,326901760,27738112,326938624,109169,951060535,247,232210,4096,951058432,5,6,/input/data/work/4f/a2f263e86ad36caf5009c76774e7e5,true,-,0,-,-,-,-,-,-,-,81,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-,9,1,5,28,-
4,cpu09,-,f2/6e7982,nf-f26e7982d6a9fadc2e4c18ede039ebe0,writeLargeFile,4,writeLargeFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699657306796,1699657307000,1699657315000,8204,1033,-,107.5,0.0,27766784,326901760,27766784,326938624,109200,1012926558,250,247314,4096,1012924416,5,3,/input/data/work/f2/6e7982d6a9fadc2e4c18ede039ebe0,true,-,0,-,-,-,-,-,-,-,66,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,8,1,6,27,-
31,cpu09,-,d8/7a6cd4,nf-d87a6cd4ef21ae74b3d6029558ae4155,writeLargeFile,31,writeLargeFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699657306838,1699657307000,1699657315000,8162,939,-,111.0,0.0,27697152,326897664,27697152,326934528,109178,969934919,250,236818,4096,969932800,5,5,/input/data/work/d8/7a6cd4ef21ae74b3d6029558ae4155,true,-,0,-,-,-,-,-,-,-,37,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,8,1,6,26,-
26,cpu09,-,56/ace41b,nf-56ace41b8d17497c8876e6ba1795a13e,writeLargeFile,26,writeLargeFile (26),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699657306879,1699657307000,1699657315000,8121,1046,-,104.4,0.0,28147712,326897664,28147712,326934528,109177,1048578120,250,256018,4096,1048576000,5,6,/input/data/work/56/ace41b8d17497c8876e6ba1795a13e,true,-,0,-,-,-,-,-,-,-,24,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,10,1,4,25,-
28,cpu08,-,5c/cb729e,nf-5ccb729e3c3e0fe73398bc62b142bccb,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699657306922,1699657307000,1699657314000,7078,970,-,109.8,0.0,27799552,326897664,27799552,326934528,109187,950011986,250,231954,4096,950009856,5,4,/input/data/work/5c/cb729e3c3e0fe73398bc62b142bccb,true,-,0,-,-,-,-,-,-,-,20,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,9,1,5,26,-
25,cpu08,-,a8/d107fc,nf-a8d107fc735e80ddb061d92baf1a14e3,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699657306960,1699657307000,1699657314000,7040,1018,-,108.5,0.0,27521024,326897664,27521024,326934528,109185,1001392210,250,244498,4096,1001390080,5,5,/input/data/work/a8/d107fc735e80ddb061d92baf1a14e3,true,-,0,-,-,-,-,-,-,-,22,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,8,1,5,23,-
17,cpu08,-,6a/66679a,nf-6a66679a3e09cde1441054dc56668012,writeLargeFile,17,writeLargeFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699657306999,1699657308000,1699657314000,7001,1061,-,101.3,0.0,27484160,326897664,27484160,326934528,109239,1017120903,250,248338,4096,1017118720,5,4,/input/data/work/6a/66679a3e09cde1441054dc56668012,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,9,1,5,23,-
15,cpu07,-,e3/ddcb28,nf-e3ddcb28b69fb6366aa069bfaf671a7c,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699657307037,1699657308000,1699657314000,6963,888,-,111.1,0.0,27643904,326901760,27643904,326938624,109250,871368777,247,212754,4096,871366656,5,7,/input/data/work/e3/ddcb28b69fb6366aa069bfaf671a7c,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,7,1,5,24,-
5,cpu07,-,5e/a435ae,nf-5ea435ae9053ed992f6cc975d7903292,writeLargeFile,5,writeLargeFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699657307074,1699657307000,1699657314000,6926,925,-,107.6,0.0,27357184,326901760,27357184,326938624,109269,908068948,249,221714,4096,908066816,5,7,/input/data/work/5e/a435ae9053ed992f6cc975d7903292,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,8,0,4,23,-
12,cpu07,-,7d/ca25ba,nf-7dca25ba7ec4ab3f29ce60d19315b19e,writeLargeFile,12,writeLargeFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699657307112,1699657308000,1699657314000,6888,1023,-,108.6,0.0,27324416,326897664,27324416,326934528,109476,1070598287,250,261394,4096,1070596096,5,4,/input/data/work/7d/ca25ba7ec4ab3f29ce60d19315b19e,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,7,2,4,24,-
2,cpu06,-,c8/a2dd63,nf-c8a2dd63af1dd7216ce81870cbdcd715,writeLargeFile,2,writeLargeFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1699657307149,1699657307000,1699657314000,6851,869,-,109.2,0.0,27570176,326901760,27570176,326938624,108931,881854545,247,215314,8192,881852416,5,4,/input/data/work/c8/a2dd63af1dd7216ce81870cbdcd715,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,8,1,5,21,-
