task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
30,cpu06,09/e19ae4,nf-09e19ae4ab233d717118a99cca7a071c,writeLargeFile,30,writeLargeFile (30),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701042548611,1701042557000,1701042612000,63389,1131,-,100.8,0.0,32673792,776900608,33804288,945324032,108655,912263127,254,222738,32768,912261120,121,103,/input/data/work/09/e19ae4ab233d717118a99cca7a071c,true,-
3,cpu03,af/07b2b0,nf-af07b2b0098b16c75115154cbb7eb5dd,writeLargeFile,3,writeLargeFile (3),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701042548648,1701042556000,1701042612000,63352,1106,-,109.2,0.0,27435008,422277120,28598272,590700544,108817,984614900,255,240402,28672,984612864,109,106,/input/data/work/af/07b2b0098b16c75115154cbb7eb5dd,true,-
10,cpu01,8b/429307,nf-8b4293079f79a5b4ff485b049d7bae39,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701042548705,1701042549000,1701042613000,64295,1140,-,108.4,0.0,32718848,771588096,33873920,940011520,108485,1021315090,252,249362,0,1021313024,104,100,/input/data/work/8b/4293079f79a5b4ff485b049d7bae39,true,-
13,cpu03,02/af8435,nf-02af843557d541d7cb59a6fa9e13961c,writeLargeFile,13,writeLargeFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701042548821,1701042556000,1701042612000,63179,1380,-,90.7,0.0,32653312,776908800,33832960,945332224,108793,990906338,254,241938,36864,990904320,92,86,/input/data/work/02/af843557d541d7cb59a6fa9e13961c,true,-
28,cpu06,94/deafb2,nf-94deafb22eee487b319a72721e624a2d,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701042548903,1701042557000,1701042612000,63097,1166,-,101.9,0.0,32993280,776900608,34058240,945324032,108684,950011892,254,231954,28672,950009856,117,104,/input/data/work/94/deafb22eee487b319a72721e624a2d,true,-
4,cpu01,8c/ee381a,nf-8cee381aa9989ff9a435e39527339d0a,writeLargeFile,4,writeLargeFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701042548932,1701042549000,1701042613000,64068,1120,-,108.1,0.0,28254208,422273024,29061120,590696448,108457,1012926454,252,247314,8192,1012924416,99,24,/input/data/work/8c/ee381aa9989ff9a435e39527339d0a,true,-
27,cpu03,77/c6fcac,nf-77c6fcac28b60b2608ac2245108247b9,writeLargeFile,27,writeLargeFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701042549090,1701042556000,1701042612000,62910,1310,-,85.5,0.0,32923648,776900608,34021376,945324032,108784,913311705,254,222994,28672,913309696,90,82,/input/data/work/77/c6fcac28b60b2608ac2245108247b9,true,-
2,cpu01,ee/630539,nf-ee630539f2a466958f423b460780f526,writeLargeFile,2,writeLargeFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701042549117,1701042550000,1701042613000,63883,977,-,110.9,0.0,28151808,326901760,28151808,326938624,108446,881854441,252,215314,28672,881852416,2,14,/input/data/work/ee/630539f2a466958f423b460780f526,true,-
19,cpu02,c5/5a7848,nf-c55a7848ce13e9753a98266ebb116190,writeLargeFile,19,writeLargeFile (19),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701042548502,1701042550000,1701042621000,72498,1047,-,108.6,0.0,3321856,5857280,3321856,5894144,108812,994052094,254,242706,0,994050048,4,1,/input/data/work/c5/5a7848ce13e9753a98266ebb116190,true,-
5,cpu10,f4/6ec7f3,nf-f46ec7f3189d6423aaefea11d0a91ee3,writeLargeFile,5,writeLargeFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701042548543,1701042555000,1701042622000,73457,1101,-,92.5,0.0,32931840,776908800,34091008,945332224,108773,908068844,254,221714,0,908066816,98,107,/input/data/work/f4/6ec7f3189d6423aaefea11d0a91ee3,true,-
23,cpu09,d1/c29678,nf-d1c296786e4e0d2839d5f03e4bcb5cf9,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701042548677,1701042556000,1701042625000,76323,1144,-,107.0,0.0,33558528,776900608,34615296,945324032,108713,1002440695,255,244754,0,1002438656,107,102,/input/data/work/d1/c296786e4e0d2839d5f03e4bcb5cf9,true,-
12,cpu07,e6/8e99e8,nf-e68e99e8f05ae5a63f545ec03ca7f734,writeLargeFile,12,writeLargeFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701042548733,1701042556000,1701042622000,73267,1233,-,100.9,0.0,32825344,776900608,34004992,945324032,108832,1070598133,256,261394,0,1070596096,121,99,/input/data/work/e6/8e99e8f05ae5a63f545ec03ca7f734,true,-
