task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
4,cpu09,99/12386b,nf-9912386b6728ec6b06de0847f75cd47c,writeLargeFile,4,writeLargeFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704424990231,1704424991000,1704425153000,162769,1126,-,110.3,0.0,28200960,422273024,29065216,590696448,108778,1012926458,254,247314,4096,1012924416,103,19,/input/data/work/99/12386b6728ec6b06de0847f75cd47c,true,-
16,cpu09,07/3a7ed1,nf-073a7ed162f27e699d2da8deb7c83eb8,writeLargeFile,16,writeLargeFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704424990464,1704424991000,1704425153000,162536,1011,-,110.6,0.0,28667904,326901760,28667904,326938624,108765,887097324,254,216594,4096,887095296,5,6,/input/data/work/07/3a7ed162f27e699d2da8deb7c83eb8,true,-
27,cpu02,52/f9db2f,nf-52f9db2f6cc09609dda4f73701700ea1,writeLargeFile,27,writeLargeFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704424990531,1704424991000,1704425163000,172469,1000,-,109.3,0.0,28368896,326901760,28368896,326938624,108842,913311726,254,222994,4096,913309696,5,7,/input/data/work/52/f9db2f6cc09609dda4f73701700ea1,true,-
25,cpu07,64/d9a763,nf-64d9a763ccf9d50ff589817194da79a4,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704424990594,1704424991000,1704425178000,187406,2838,-,42.5,0.0,27680768,422277120,28549120,590700544,108834,1001392102,255,244498,4096,1001390080,101,18,/input/data/work/64/d9a763ccf9d50ff589817194da79a4,true,-
9,cpu08,a2/1b7146,nf-a21b71468a392f400c65d5cf599120fd,writeLargeFile,9,writeLargeFile (9),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704424989804,1704424990000,1704425170000,180196,1005,-,107.7,0.0,27852800,326901760,27852800,326938624,108817,875563028,254,213778,4096,875560960,5,6,/input/data/work/a2/1b71468a392f400c65d5cf599120fd,true,-
32,cpu09,fc/4a7eb2,nf-fc4a7eb26862306aa3dcc781dabd9272,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704424989923,1704424990000,1704425154000,164077,1106,-,108.7,0.0,28028928,326897664,28028928,326934528,108794,1069549579,254,261138,4096,1069547520,103,20,/input/data/work/fc/4a7eb26862306aa3dcc781dabd9272,true,-
12,cpu02,a1/40f131,nf-a140f131ff355f291e536263c28df7ea,writeLargeFile,12,writeLargeFile (12),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704424990001,1704424990000,1704425164000,173999,1186,-,107.3,0.0,33435648,776900608,34549760,945324032,108887,1070598160,257,261394,4096,1070596096,110,104,/input/data/work/a1/40f131ff355f291e536263c28df7ea,true,-
23,cpu03,d9/3689d2,nf-d93689d2a18a1bfffc08272d8c2a7693,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704424990032,1704424990000,1704425181000,190968,1089,-,109.0,0.0,28061696,326901760,28061696,326938624,108852,1002440699,254,244754,4096,1002438656,5,5,/input/data/work/d9/3689d2a18a1bfffc08272d8c2a7693,true,-
2,cpu07,13/fcc517,nf-13fcc517443776d4271909554396c907,writeLargeFile,2,writeLargeFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704424990069,1704424990000,1704425177000,186931,1011,-,107.0,0.0,27742208,326897664,27742208,326934528,108866,881854464,256,215314,4096,881852416,5,7,/input/data/work/13/fcc517443776d4271909554396c907,true,-
13,cpu03,7f/66fbab,nf-7f66fbabe852639b644ff043f002fa29,writeLargeFile,13,writeLargeFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1704424990101,1704424991000,1704425181000,190899,1090,-,107.0,0.0,28065792,326897664,28065792,326934528,108851,990906361,254,241938,4096,990904320,5,3,/input/data/work/7f/66fbabe852639b644ff043f002fa29,true,-
