task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
2,cpu02,ee/c707b0,nf-eec707b0273ae069e127626308c2ba39,preprocessing:generateAnalysisMask,-,preprocessing:generateAnalysisMask,COMPLETED,0,-,davidfrantz/force:3.6.5,11,1200000,-,1073741824,1,1698943149809,1698943159000,1698943169000,19191,5048,-,174.6,0.0,6541312,37642240,6549504,37748736,69933627,3257481,26465,2149,3637248,4812800,31,4,/input/data/work/ee/c707b0273ae069e127626308c2ba39,true,-,26,7,35,61
1,cpu03,fe/ad4fc2,nf-fead4fc298e667cba4e9bf87a0f994de,preprocessing:generateTileAllowList,-,preprocessing:generateTileAllowList,COMPLETED,0,-,davidfrantz/force:3.6.5,4,1200000,-,1073741824,1,1698943149879,1698943159000,1698943169000,19121,1593,-,1212.9,0.0,28495872,105226240,28528640,105332736,71331524,4302710,27726,2381,3620864,5951488,442,43,/input/data/work/fe/ad4fc298e667cba4e9bf87a0f994de,true,-,8,1,4,53
13,cpu01,4b/cd7367,nf-4bcd7367c06ba342ec5db992e01fee95,preprocessing:preprocess,LT05_L1TP_183035_19950718_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_183035_19950718_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1698943174215,1698943175000,1698943284000,109785,109374,-,296.2,3.0,3995353088,7761313792,3995353088,7761367040,101266900,6503642,9771,1459,888832,6631424,445,4655,/input/data/work/4b/cd7367c06ba342ec5db992e01fee95,true,-,4,1,4,21
37,cpu07,18/0226e6,nf-180226e6876870ed94d7f463c78811e3,preprocessing:preprocess,LT05_L1TP_183035_19990627_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_183035_19990627_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1698943175048,1698943184000,1698943288000,112952,100668,-,300.9,3.0,4077318144,7849734144,4077318144,7849787392,118750704,11881902,11313,1623,0,11997184,439,4850,/input/data/work/18/0226e6876870ed94d7f463c78811e3,true,-,6,0,3,16
47,cpu09,79/c73a79,nf-79c73a79012a8dc7e83216476fbf1f64,preprocessing:preprocess,LT05_L1TP_183035_19880628_20170613_01_T1,preprocessing:preprocess (LT05_L1TP_183035_19880628_20170613_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1698943175158,1698943183000,1698943289000,113842,104798,-,298.0,3.0,4020482048,7753654272,4020482048,7753707520,102264164,9286967,9973,1543,0,9408512,465,3790,/input/data/work/79/c73a79012a8dc7e83216476fbf1f64,true,-,5,1,2,19
49,cpu07,7e/fd2777,nf-7efd2777a7688f147abafd721d2ad5cf,preprocessing:preprocess,LT05_L1TP_183035_19880409_20180112_01_T1,preprocessing:preprocess (LT05_L1TP_183035_19880409_20180112_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1698943175283,1698943184000,1698943283000,107717,97363,-,294.5,3.0,4022980608,7782260736,4022980608,7782313984,108855512,11862365,10972,1621,20480,11980800,470,3642,/input/data/work/7e/fd2777a7688f147abafd721d2ad5cf,true,-,3,1,4,20
50,cpu01,05/f5ab82,nf-05f5ab82904e4b57ffc77ec5b9f3a911,preprocessing:preprocess,LT05_L1TP_183035_19990118_20171215_01_T1,preprocessing:preprocess (LT05_L1TP_183035_19990118_20171215_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1698943175323,1698943176000,1698943285000,109677,108547,-,298.4,3.0,4076232704,7849857024,4076232704,7849910272,121915088,13760725,11118,1682,0,13889536,492,4305,/input/data/work/05/f5ab82904e4b57ffc77ec5b9f3a911,true,-,5,2,4,28
58,cpu01,3c/5a9890,nf-3c5a98904b832bf3a3a9399d1c8c478c,preprocessing:preprocess,LE07_L1TP_183035_20060318_20170110_01_T1,preprocessing:preprocess (LE07_L1TP_183035_20060318_20170110_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1698943175558,1698943176000,1698943283000,107442,106661,-,309.2,3.1,4133986304,7907319808,4133986304,7907373056,131664856,2399413,11617,1286,454656,2461696,444,4832,/input/data/work/3c/5a98904b832bf3a3a9399d1c8c478c,true,-,4,1,4,17
6,cpu02,fe/907ce3,nf-fe907ce3d9b4878435963a589f2a5a62,preprocessing:preprocess,LT05_L1TP_183035_19980523_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_183035_19980523_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1698943173694,1698943182000,1698943293000,119306,110872,-,301.1,3.0,4088152064,7862235136,4088152064,7862288384,122219803,15527588,11300,1733,0,15650816,441,4156,/input/data/work/fe/907ce3d9b4878435963a589f2a5a62,true,-,5,2,4,26
12,cpu03,83/406459,nf-83406459cb095498d712f5630def7397,preprocessing:preprocess,LT05_L1TP_183035_19980811_20170717_01_T1,preprocessing:preprocess (LT05_L1TP_183035_19980811_20170717_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1698943173729,1698943181000,1698943292000,118271,109918,-,304.5,3.0,4084260864,7861092352,4084260864,7861145600,113067521,15357417,11031,1729,1564672,15515648,460,4051,/input/data/work/83/406459cb095498d712f5630def7397,true,-,4,1,3,26
