task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
2,cpu08,48/1e8138,nf-481e8138abcb47810908ef54425ad04e,preprocessing:generateAnalysisMask,-,preprocessing:generateAnalysisMask,COMPLETED,0,-,davidfrantz/force:3.6.5,11,1200000,-,1073741824,1,1699600724396,1699600725000,1699600726000,1604,949,-,929.5,0.0,6660096,37642240,6664192,37748736,69916451,3757248,26464,2271,4030464,5500928,30,2,/input/data/work/48/1e8138abcb47810908ef54425ad04e,true,-,28,33,37,53
1,cpu03,e9/617541,nf-e96175416e264a485c9ba42cea78984f,preprocessing:generateTileAllowList,-,preprocessing:generateTileAllowList,COMPLETED,0,-,davidfrantz/force:3.6.5,4,1200000,-,1073741824,1,1699600724466,1699600725000,1699600729000,4534,1547,-,1262.6,0.0,28852224,105222144,28889088,105328640,71362261,4482957,27734,2425,3522560,6221824,479,21,/input/data/work/e9/6175416e264a485c9ba42cea78984f,true,-,10,1,4,53
14,cpu08,b1/b9f95c,nf-b1b9f95c07dcee9b767b3fb80633e569,preprocessing:preprocess,LT05_L1TP_181035_19920711_20180619_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19920711_20180619_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1699600730636,1699600731000,1699600852000,121364,120243,-,287.2,3.2,4369649664,8270409728,4369649664,8270462976,110892894,53375061,11438,3026,109633536,53673984,1196,4289,/input/data/work/b1/b9f95c07dcee9b767b3fb80633e569,true,-,11,1,4,23
9,cpu01,e8/4702da,nf-e84702da456469001b46e795291f7e01,preprocessing:preprocess,LT05_L1TP_181035_19990629_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19990629_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1699600730596,1699600731000,1699600857000,126404,125445,-,279.4,3.2,4379181056,8278667264,4379181056,8278720512,115547162,55319372,11624,3086,37892096,55607296,819,4397,/input/data/work/e8/4702da456469001b46e795291f7e01,true,-,11,1,4,24
18,cpu08,c0/f43bec,nf-c0f43bec66c357cde5ca8f530258d052,preprocessing:preprocess,LT05_L1TP_181035_19850809_20171212_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19850809_20171212_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1699600731274,1699600732000,1699600854000,122726,121303,-,284.6,3.2,4312997888,8200347648,4312997888,8200400896,114532384,50639495,11532,2941,77131776,50933760,1029,4525,/input/data/work/c0/f43bec66c357cde5ca8f530258d052,true,-,10,1,5,22
59,cpu08,b1/f18118,nf-b1f181183c53f4a137b4da65ab235b71,preprocessing:preprocess,LT05_L1TP_181035_19891023_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19891023_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1699600731617,1699600732000,1699600856000,124383,123292,-,281.3,3.2,4334661632,8225447936,4334661632,8225501184,121819901,59221072,11544,3216,84082688,59535360,1051,4641,/input/data/work/b1/f181183c53f4a137b4da65ab235b71,true,-,11,1,3,39
12,cpu02,64/67f140,nf-6467f1407cc05055969cd7538ef88f57,preprocessing:preprocess,LT05_L1TP_181035_19930527_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19930527_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1699600730395,1699600731000,1699600862000,131605,131108,-,266.4,3.2,4375863296,8276639744,4375863296,8276692992,112184830,52999024,11536,3016,94986240,53280768,1188,4269,/input/data/work/64/67f1407cc05055969cd7538ef88f57,true,-,11,1,5,28
26,cpu08,36/44cb61,nf-3644cb6108a834b24185c427e3f2f01c,preprocessing:preprocess,LT05_L1TP_181035_19940615_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19940615_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1699600730949,1699600731000,1699600858000,127051,126539,-,284.0,3.2,4372307968,8270221312,4372307968,8270274560,125434252,60663348,12063,3250,87429120,60977152,1047,4277,/input/data/work/36/44cb6108a834b24185c427e3f2f01c,true,-,8,1,4,20
34,cpu09,89/a8a73f,nf-89a8a73fde010d1bee84842f388009b2,preprocessing:preprocess,LT05_L1TP_181035_20040829_20180309_01_T1,preprocessing:preprocess (LT05_L1TP_181035_20040829_20180309_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1699600731062,1699600731000,1699600862000,130938,130424,-,251.7,3.2,4376772608,8282640384,4376772608,8282693632,115018840,48835933,11676,2885,86396928,49123328,1276,4360,/input/data/work/89/a8a73fde010d1bee84842f388009b2,true,-,9,1,3,28
29,cpu09,1c/c6335b,nf-1cc6335bd5af5cc3f77b8105bfc11d4a,preprocessing:preprocess,LE07_L1TP_181035_20051027_20170112_01_T1,preprocessing:preprocess (LE07_L1TP_181035_20051027_20170112_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1699600731415,1699600732000,1699600861000,129585,128402,-,261.2,3.3,4432846848,8349331456,4432846848,8349384704,120039408,51713011,12196,2991,83005440,52006912,1221,4379,/input/data/work/1c/c6335bd5af5cc3f77b8105bfc11d4a,true,-,10,1,3,21
