task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
1,cpu10,-,34/9c77d0,nf-349c77d09079951cf6a664a65e94cb53,preprocessing:generateTileAllowList,-,preprocessing:generateTileAllowList,COMPLETED,0,-,davidfrantz/force:3.6.5,4,1200000,-,1073741824,1,1698811532580,1698811537000,1698811543000,10420,1896,-,1025.2,0.0,28712960,105226240,28749824,105332736,71388399,4687780,27740,2475,0,6529024,453,66,/input/data/work/34/9c77d09079951cf6a664a65e94cb53,true,-,0,-,-,-,-,-,-,-,127,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,127,-,-,-,-,-,-,18,7,34,29,-
2,cpu10,-,b3/461d9a,nf-b3461d9a43b6b86041db257c0c3d7a47,preprocessing:generateAnalysisMask,-,preprocessing:generateAnalysisMask,COMPLETED,0,-,davidfrantz/force:3.6.5,11,1200000,-,1073741824,1,1698811532622,1698811537000,1698811543000,10378,1268,-,735.9,0.0,25452544,86405120,25489408,86458368,69909396,3806409,26461,2283,0,5574656,503,54,/input/data/work/b3/461d9a43b6b86041db257c0c3d7a47,true,-,0,-,-,-,-,-,-,-,121,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,7,1,6,26,-
37,cpu07,-,bd/f311eb,nf-bdf311eb99fcfc223da03cdb03e9c97f,preprocessing:preprocess,LT05_L1TP_183035_19990627_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_183035_19990627_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1698811549142,1698811550000,1698811653000,103858,102331,-,297.3,3.0,4076969984,7849734144,4076969984,7849787392,118750699,11881902,11313,1623,0,11997184,490,4720,/input/data/work/bd/f311eb99fcfc223da03cdb03e9c97f,true,-,0,-,-,-,-,-,-,-,56,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,7,2,4,24,-
14,cpu10,-,6a/7548c5,nf-6a7548c5cf4054e06f11cd669a8f8312,preprocessing:preprocess,LT05_L1TP_183035_20010616_20180311_01_T1,preprocessing:preprocess (LT05_L1TP_183035_20010616_20180311_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1698811547953,1698811548000,1698811657000,109047,108042,-,300.3,3.0,4038676480,7815077888,4038676480,7815131136,122759578,9003673,10642,1537,0,9121792,519,3847,/input/data/work/6a/7548c5cf4054e06f11cd669a8f8312,true,-,0,-,-,-,-,-,-,-,20,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,7,2,5,28,-
3,cpu08,-,f6/421149,nf-f64211490a8387a2a45a5098ed47736a,preprocessing:preprocess,LT05_L1TP_183035_20040811_20180309_01_T1,preprocessing:preprocess (LT05_L1TP_183035_20040811_20180309_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1698811548219,1698811550000,1698811653000,104781,102773,-,300.7,3.0,4051685376,7817420800,4051685376,7817474048,112448152,18999754,10920,1839,0,19116032,500,4661,/input/data/work/f6/4211490a8387a2a45a5098ed47736a,true,-,2,-,-,-,-,-,-,-,818,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,43,-,-,-,-,-,-,5,2,3,20,-
12,cpu08,-,d6/d6fbdc,nf-d6d6fbdcd20043b1e802bbaa41353d74,preprocessing:preprocess,LT05_L1TP_183035_19980811_20170717_01_T1,preprocessing:preprocess (LT05_L1TP_183035_19980811_20170717_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1698811548366,1698811550000,1698811657000,108634,106478,-,300.4,3.0,4085252096,7861092352,4085252096,7861145600,113067148,15357418,11031,1729,0,15482880,510,4945,/input/data/work/d6/d6fbdcd20043b1e802bbaa41353d74,true,-,1,-,-,-,-,-,-,-,685,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,56,-,-,-,-,-,-,3,1,4,78,-
6,cpu08,-,23/3ad16b,nf-233ad16b5394b0632e6616d70cbbd4f7,preprocessing:preprocess,LT05_L1TP_183035_19980523_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_183035_19980523_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1698811548437,1698811550000,1698811658000,109563,107646,-,297.0,3.0,4088659968,7862235136,4088659968,7862288384,122219429,15527589,11300,1733,0,15650816,535,4908,/input/data/work/23/3ad16b5394b0632e6616d70cbbd4f7,true,-,0,-,-,-,-,-,-,-,627,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,72,-,-,-,-,-,-,5,1,4,25,-
4,cpu06,-,3c/a1e735,nf-3ca1e73523f1f353d305837a71e65ad7,preprocessing:preprocess,LT05_L1TP_183035_19980421_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_183035_19980421_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1698811548601,1698811549000,1698811658000,109399,108568,-,301.7,3.0,4084981760,7861067776,4084981760,7861121024,121568079,18587394,11358,1825,0,18706432,551,4687,/input/data/work/3c/a1e73523f1f353d305837a71e65ad7,true,-,0,-,-,-,-,-,-,-,489,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,96,-,-,-,-,-,-,5,1,4,19,-
32,cpu09,-,a8/d13c79,nf-a8d13c79bafa15a3b7824a9cc0770eaf,preprocessing:preprocess,LT05_L1TP_183035_19870423_20170213_01_T1,preprocessing:preprocess (LT05_L1TP_183035_19870423_20170213_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1698811548724,1698811549000,1698811659000,110276,109579,-,297.4,3.0,4033277952,7794208768,4033277952,7794262016,135136092,13302790,11651,1664,0,13418496,518,4428,/input/data/work/a8/d13c79bafa15a3b7824a9cc0770eaf,true,-,0,-,-,-,-,-,-,-,173,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,5,1,7,21,-
33,cpu09,-,3e/caa20f,nf-3ecaa20faece149394518580de6274c9,preprocessing:preprocess,LT05_L1TP_183035_19940715_20180616_01_T1,preprocessing:preprocess (LT05_L1TP_183035_19940715_20180616_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1698811548791,1698811549000,1698811654000,105209,104787,-,302.4,3.0,4001124352,7767961600,4001124352,7768014848,103747353,6117496,10017,1446,0,6242304,531,4919,/input/data/work/3e/caa20faece149394518580de6274c9,true,-,0,-,-,-,-,-,-,-,120,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,7,1,4,24,-
