task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
1,cpu10,-,cb/2e849e,nf-cb2e849e45408616860a02a001fd88ac,preprocessing:generateAnalysisMask,-,preprocessing:generateAnalysisMask,COMPLETED,0,-,davidfrantz/force:3.6.5,11,1200000,-,1073741824,1,1699591073364,1699591074000,1699591075000,1636,1021,-,879.9,0.0,6541312,37642240,6545408,37748736,69976218,3495076,26480,2207,5951488,5107712,21,1,/input/data/work/cb/2e849e45408616860a02a001fd88ac,true,-,0,-,-,-,-,-,-,-,126,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,126,-,-,-,-,-,-,31,8,36,31,-
2,cpu10,-,bf/708d21,nf-bf708d21451df8474151a763c2c80a94,preprocessing:generateTileAllowList,-,preprocessing:generateTileAllowList,COMPLETED,0,-,davidfrantz/force:3.6.5,4,1200000,-,1073741824,1,1699591073409,1699591074000,1699591078000,4591,1579,-,1213.5,0.0,28499968,105226240,28528640,105332736,71297644,4671395,27716,2471,8192,6639616,471,54,/input/data/work/bf/708d21451df8474151a763c2c80a94,true,-,0,-,-,-,-,-,-,-,115,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,8,2,4,29,-
57,cpu01,-,91/ae24c8,nf-91ae24c8da07fc7e33016bc64847d18e,preprocessing:preprocess,LT05_L1TP_181035_19930511_20180218_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19930511_20180218_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1699591083874,1699591085000,1699591141000,57126,52163,-,130.7,1.7,2296410112,3190648832,2888273920,3642728448,171393857,37168,11718,1189,49426432,65536,505,1565,/input/data/work/91/ae24c8da07fc7e33016bc64847d18e,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,9,1,2,18,-
26,cpu10,-,c6/e9befe,nf-c6e9befe6c71224cade85ba06cf3a0f2,preprocessing:preprocess,LT05_L1TP_181035_19940615_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19940615_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1699591081947,1699591082000,1699591199000,117053,116373,-,281.0,3.2,4371492864,8270221312,4371492864,8270274560,125434410,60663352,12063,3250,121118720,60977152,1148,4486,/input/data/work/c6/e9befe6c71224cade85ba06cf3a0f2,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,10,1,5,24,-
12,cpu10,-,d5/c0f1ab,nf-d5c0f1ab7768f539bc6c846f45b54d22,preprocessing:preprocess,LT05_L1TP_181035_19930527_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19930527_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1699591082049,1699591083000,1699591198000,115951,114631,-,276.2,3.2,4375171072,8276639744,4375171072,8276692992,112184765,52999023,11535,3016,76541952,53280768,1017,4388,/input/data/work/d5/c0f1ab7768f539bc6c846f45b54d22,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,9,1,4,30,-
54,cpu03,-,43/59d3d0,nf-4359d3d0c848bd06e54a1f5362b4382b,preprocessing:preprocess,LT05_L1TP_181035_19901127_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19901127_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1699591083804,1699591085000,1699591203000,119196,117355,-,268.1,3.2,4302905344,8197775360,4302905344,8197828608,105205445,55971560,10398,3103,73781248,56270848,1061,4201,/input/data/work/43/59d3d0c848bd06e54a1f5362b4382b,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,7,1,3,20,-
10,cpu03,-,85/765ef4,nf-85765ef404d4ed6f8d76f617027cc5e0,preprocessing:preprocess,LT05_L1TP_181035_19940919_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19940919_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1699591082165,1699591083000,1699591206000,123835,122340,-,263.5,3.2,4384710656,8282746880,4384710656,8282800128,113721038,55351007,11408,3084,112029696,55640064,1645,4104,/input/data/work/85/765ef404d4ed6f8d76f617027cc5e0,true,-,1,-,-,-,-,-,-,-,769,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,80,-,-,-,-,-,-,11,0,4,23,"0"
21,cpu10,-,bf/a50737,nf-bfa507372287c1d7b6cd700c9e68f34d,preprocessing:preprocess,LE07_L1TP_181035_20040211_20170122_01_T1,preprocessing:preprocess (LE07_L1TP_181035_20040211_20170122_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1699591081827,1699591083000,1699591216000,134173,132821,-,285.3,3.3,4425314304,8327708672,4425314304,8327761920,143024338,35411849,12385,2394,105185280,35586048,1079,5788,/input/data/work/bf/a507372287c1d7b6cd700c9e68f34d,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,10,1,4,25,-
41,cpu09,-,be/0468c2,nf-be0468c2b82cef61345ebee7188ed589,preprocessing:preprocess,LE07_L1TP_181035_20040922_20170118_01_T1,preprocessing:preprocess (LE07_L1TP_181035_20040922_20170118_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1699591083273,1699591084000,1699591217000,133727,132459,-,260.9,3.3,4416004096,8327774208,4416004096,8327827456,102404177,47489088,11352,2852,73936896,47800320,1578,4508,/input/data/work/be/0468c2b82cef61345ebee7188ed589,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,9,1,2,19,-
17,cpu08,-,37/68310f,nf-3768310fbeeb307f872545943c878cd0,preprocessing:preprocess,LT05_L1TP_181035_19870815_20170211_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19870815_20170211_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1699591082534,1699591083000,1699591221000,138466,138110,-,247.0,3.2,4318658560,8208293888,4318658560,8208347136,118379929,54169168,11711,3053,116965376,54472704,1273,4386,/input/data/work/37/68310fbeeb307f872545943c878cd0,true,-,0,-,-,-,-,-,-,-,258,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,36,-,-,-,-,-,-,9,1,4,21,-
