task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
2,cpu10,-,ce/d31de2,nf-ced31de2e6be8aa3a3966f868a5851dd,preprocessing:generateAnalysisMask,-,preprocessing:generateAnalysisMask,COMPLETED,0,-,davidfrantz/force:3.6.5,11,1200000,-,1073741824,1,1704444647476,1704444648000,1704444649000,1524,928,-,946.6,0.0,6586368,37642240,6590464,37748736,69919387,3290254,26464,2157,647168,4800512,21,0,/input/data/work/ce/d31de2e6be8aa3a3966f868a5851dd,true,-,0,-,-,-,-,-,-,-,130,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,130,-,-,-,-,-,-,29,10,39,32,-
1,cpu10,-,02/d592c6,nf-02d592c645d9b2b2ea74e9d483316c40,preprocessing:generateTileAllowList,-,preprocessing:generateTileAllowList,COMPLETED,0,-,davidfrantz/force:3.6.5,4,1200000,-,1073741824,1,1704444647526,1704444648000,1704444652000,4474,1547,-,1250.7,0.0,29011968,105226240,29040640,105332736,71274711,4597661,27710,2453,4096,6500352,479,30,/input/data/work/02/d592c645d9b2b2ea74e9d483316c40,true,-,0,-,-,-,-,-,-,-,120,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,11,1,4,30,-
9,cpu10,-,98/f3f9f0,nf-98f3f9f07db9aec235d30e69732613c3,preprocessing:preprocess,LT05_L1TP_181035_19990629_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19990629_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704444655822,1704444656000,1704444777000,121178,120691,-,286.8,3.2,4379336704,8278667264,4379336704,8278720512,115547659,55319380,11625,3086,107802624,55607296,1130,4380,/input/data/work/98/f3f9f07db9aec235d30e69732613c3,true,-,0,-,-,-,-,-,-,-,19,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,9,1,6,26,-
10,cpu10,-,0c/a26e4c,nf-0ca26e4cb0c78a8cf989ed43e3d1c345,preprocessing:preprocess,LT05_L1TP_181035_19940919_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19940919_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704444655861,1704444656000,1704444782000,126139,124871,-,288.2,3.2,4385959936,8282746880,4385959936,8282800128,113721115,55351009,11408,3084,78819328,55640064,1033,4355,/input/data/work/0c/a26e4cb0c78a8cf989ed43e3d1c345,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,9,1,3,25,-
28,cpu10,-,3f/c38165,nf-3fc38165c26c9ed12f73fa4ee37216cd,preprocessing:preprocess,LT05_L1TP_181035_19870425_20170213_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19870425_20170213_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704444655939,1704444656000,1704444783000,127061,126633,-,284.5,3.2,4320157696,8207769600,4320157696,8207822848,131836154,59325980,11880,3215,94216192,59621376,890,4843,/input/data/work/3f/c38165c26c9ed12f73fa4ee37216cd,true,-,0,-,-,-,-,-,-,-,19,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,8,2,2,26,-
11,cpu10,-,9c/9b01b5,nf-9c9b01b51f454ac592919b8da54f47c7,preprocessing:preprocess,LT05_L1TP_181035_19840806_20171213_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19840806_20171213_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704444655981,1704444657000,1704444782000,126019,125057,-,287.3,3.2,4323606528,8212918272,4323606528,8212971520,113273915,53492949,11519,3031,79192064,53800960,962,4509,/input/data/work/9c/9b01b51f454ac592919b8da54f47c7,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,11,1,4,25,-
29,cpu03,-,6a/617dda,nf-6a617ddaad345992db19c4eecd04e9c8,preprocessing:preprocess,LE07_L1TP_181035_20051027_20170112_01_T1,preprocessing:preprocess (LE07_L1TP_181035_20051027_20170112_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704444656143,1704444657000,1704444789000,132857,131733,-,265.6,3.3,4433182720,8349331456,4433182720,8349384704,120039714,51713015,12197,2991,91758592,52006912,1372,4192,/input/data/work/6a/617ddaad345992db19c4eecd04e9c8,true,-,1,-,-,-,-,-,-,-,695,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,77,-,-,-,-,-,-,9,1,5,30,-
27,cpu02,-,88/7791bc,nf-887791bc62261e78206cfeca86550acf,preprocessing:preprocess,LT05_L1TP_181035_19910927_20180218_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19910927_20180218_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704444656225,1704444657000,1704444789000,132775,131140,-,246.5,3.2,4349870080,8245792768,4349870080,8245846016,109282922,43034566,11278,2705,107945984,43335680,1304,3996,/input/data/work/88/7791bc62261e78206cfeca86550acf,true,-,0,-,-,-,-,-,-,-,630,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,10,1,3,20,-
13,cpu10,-,ce/73d5a8,nf-ce73d5a82bbbc85fc5cf9feefcbc9f80,preprocessing:preprocess,LT05_L1TP_181035_19990325_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19990325_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704444655739,1704444656000,1704444795000,139261,138574,-,276.4,3.3,4391944192,8290959360,4391944192,8291012608,143811029,42777780,12027,2614,105713664,42958848,961,5971,/input/data/work/ce/73d5a82bbbc85fc5cf9feefcbc9f80,true,-,0,-,-,-,-,-,-,-,19,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,18,1,6,27,-
34,cpu08,-,55/e19f7f,nf-55e19f7fb16362128b5c173816e9bcfe,preprocessing:preprocess,LT05_L1TP_181035_20040829_20180309_01_T1,preprocessing:preprocess (LT05_L1TP_181035_20040829_20180309_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704444656019,1704444657000,1704444790000,133981,132401,-,274.4,3.2,4378071040,8282640384,4378071040,8282693632,115019075,48835939,11675,2885,86802432,49123328,2066,4919,/input/data/work/55/e19f7fb16362128b5c173816e9bcfe,true,-,2,-,-,-,-,-,-,-,778,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,43,-,-,-,-,-,-,8,2,4,24,-
