task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
3,cpu03,ae/09c3c3,nf-ae09c3c36e91a4005a2ee522de42ce78,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1697128130994,1697128132000,1697128135000,4006,0,-,78.4,0.0,3256320,5632000,3256320,5636096,713137,4917,280,18,8192,16384,4,0,/input/data/work/ae/09c3c36e91a4005a2ee522de42ce78,true,-,5,1,3,25
60,cpu08,fb/b01b90,nf-fbb01b90220d7a3159a2e573e6507847,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1697128138267,1697128148000,1697128230000,91733,76000,-,195.0,0.2,298205184,3009908736,298487808,3010535424,1417877454,3669193,2740640,11310,21872640,4091904,7,6,/input/data/work/fb/b01b90220d7a3159a2e573e6507847,true,-,5,1,3,32
46,cpu07,24/21a12e,nf-2421a12e3a51171f215125ee5866bfe6,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1697128138882,1697128140000,1697128248000,109118,105000,-,194.7,0.2,320868352,3085795328,320868352,3147108352,2257001775,3675336,4379669,11242,54673408,4116480,160,37,/input/data/work/24/21a12e3a51171f215125ee5866bfe6,true,-,6,1,3,19
76,cpu06,2b/00d8a7,nf-2b00d8a7e35143868585f1c3aa8833f5,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1697128140238,1697128149000,1697128250000,109762,97000,-,185.0,0.3,355237888,3089989632,355323904,3145183232,1832019244,3672470,3549487,11267,23633920,4108288,7,4,/input/data/work/2b/00d8a7e35143868585f1c3aa8833f5,true,-,5,1,2,28
18,cpu02,69/ac50ef,nf-69ac50efa596fafc62a7de4195cf3888,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1697128138821,1697128139000,1697128260000,121179,117000,-,141.0,0.3,354713600,3089989632,354713600,3145183232,1740240100,3670768,3370266,11314,21848064,4128768,11,10,/input/data/work/69/ac50efa596fafc62a7de4195cf3888,true,-,3,1,3,21
26,cpu09,ca/222b68,nf-ca222b68393ab8f1a8964511d0848769,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1697128138937,1697128139000,1697128270000,131063,127000,-,169.5,0.2,329908224,3089989632,330170368,3145183232,2183739281,3676838,4236630,11236,54046720,4149248,159,22,/input/data/work/ca/222b68393ab8f1a8964511d0848769,true,-,5,1,2,17
2,cpu10,e0/529464,nf-e0529464ee6e7189ededb7fb91a3cb37,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1697128130911,1697128139000,1697128273000,142089,131000,-,11.5,0.0,6008832,12533760,6008832,12537856,3147402920,5943,48261,20,9838592,16384,259,6714,/input/data/work/e0/529464ee6e7189ededb7fb91a3cb37,true,-,20,8,30,61
32,cpu09,3b/191506,nf-3b19150634e24741093892cf3173b480,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1697128138225,1697128140000,1697128277000,138775,135000,-,175.3,0.2,322723840,3085795328,322723840,3145183232,2519035478,3693326,4891183,11348,0,4427776,12,12,/input/data/work/3b/19150634e24741093892cf3173b480,true,-,5,1,2,25
59,cpu08,2a/2d1f16,nf-2a2d1f1622a861d3bb3fb8e0491adcfa,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1697128138518,1697128147000,1697128275000,136482,125000,-,191.7,0.2,298921984,3009908736,298921984,3009921024,2401530548,3695700,4661729,11308,29388800,4235264,156,27,/input/data/work/2a/2d1f1622a861d3bb3fb8e0491adcfa,true,-,5,2,2,23
7,cpu06,20/5f94ef,nf-205f94ef49b4a40750f721a481239fcd,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1697128138549,1697128149000,1697128278000,139451,127000,-,192.1,0.3,365584384,3095150592,365584384,3145183232,2508493830,3693315,4870687,11311,28192768,4218880,151,21,/input/data/work/20/5f94ef49b4a40750f721a481239fcd,true,-,5,1,2,22
