task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
2,cpu08,2f/91f93e,nf-2f91f93edd95fef5dc0481f77a3feb8d,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1699116494334,1699116495000,1699116495000,666,0,-,98.5,0.0,11624448,16920576,11624448,17281024,712781,4909,279,18,159744,16384,20,0,/input/data/work/2f/91f93edd95fef5dc0481f77a3feb8d,true,-,23,7,31,66
14,cpu01,2c/ddd56a,nf-2cddd56ae47406cd297de1318bb0e0ed,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699116497745,1699116498000,1699116647000,149255,144000,-,148.9,0.2,339886080,3089989632,355639296,3145183232,2183702665,3676827,4236363,11320,2183860224,4427776,5,5,/input/data/work/2c/ddd56ae47406cd297de1318bb0e0ed,true,-,27,2,2,28
49,cpu01,b8/e906ff,nf-b8e906ff78db61892bd62937f300d7cc,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699116497235,1699116498000,1699116662000,164765,160000,-,146.4,0.2,326156288,3089989632,326979584,3145183232,2401499699,3695690,4661975,11350,2412363776,4554752,151,23,/input/data/work/b8/e906ff78db61892bd62937f300d7cc,true,-,29,1,3,30
52,cpu09,a6/3e426e,nf-a63e426e29dc99fb35851a03b380a520,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699116496778,1699116497000,1699116889000,392222,384000,-,42.4,0.3,351834112,3089989632,356503552,3145183232,1417876249,3669178,2740630,11310,1450348544,4632576,156,24,/input/data/work/a6/3e426e29dc99fb35851a03b380a520,true,-,27,1,3,36
71,cpu01,37/ba4eca,nf-37ba4ecafc7cdf5a91f3a0bc1a0821cf,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699116510017,1699116666000,1699116957000,446983,286000,-,97.3,0.2,339816448,3089989632,347754496,3145183232,2651888854,3695475,5150845,11346,2630115328,4763648,5,2,/input/data/work/37/ba4ecafc7cdf5a91f3a0bc1a0821cf,true,-,312,1,1,144
74,cpu01,d0/ab79e0,nf-d0ab79e0ad128988c61f781ebc4eda71,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699116511401,1699116651000,1699117038000,526599,384000,-,101.3,0.2,330371072,3089989632,330371072,3145187328,3805264714,3700886,7403659,11366,3783491584,5120000,5,4,/input/data/work/d0/ab79e0ad128988c61f781ebc4eda71,true,-,301,2,2,145
5,cpu09,6f/1d7c8e,nf-6f1d7c8e0d203efd0db3466356ed34e0,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699116497365,1699116498000,1699117112000,614635,609000,-,46.3,0.3,341118976,3089989632,355045376,3145183232,2508459853,3693302,4870652,11353,2417098752,5005312,7,2,/input/data/work/6f/1d7c8e0d203efd0db3466356ed34e0,true,-,28,1,3,28
10,cpu09,4e/7dcb80,nf-4e7dcb803a6f1fec24106080102727e1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699116497869,1699116499000,1699117123000,625131,620000,-,46.6,0.2,293224448,3009908736,293224448,3011067904,2589132084,3695780,5028241,11354,2567368704,5046272,7,5,/input/data/work/4e/7dcb803a6f1fec24106080102727e1,true,-,28,1,3,30
65,cpu09,ea/af6947,nf-eaaf6947bd49bcaf2cb290adf4643671,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699116498389,1699116499000,1699117129000,630611,625000,-,46.8,0.3,342364160,3089989632,350150656,3145183232,2632390587,3688474,5112723,11353,2610630656,5128192,7,4,/input/data/work/ea/af6947bd49bcaf2cb290adf4643671,true,-,35,1,3,32
33,cpu09,ab/513560,nf-ab5135604b5e4f0d9ab9b22197e59ca7,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699116498809,1699116500000,1699117136000,637191,632000,-,47.6,0.2,334725120,3089989632,344797184,3145183232,2711721624,3695978,5267578,11279,2689929216,5193728,7,3,/input/data/work/ab/5135604b5e4f0d9ab9b22197e59ca7,true,-,53,1,3,40
