task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
1,cpu10,-,bd/ea31a5,nf-bdea31a52f6e77456b7ad3b944c775da,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1697148850131,1697148851000,1697148851000,869,0,-,100.0,0.0,3239936,5632000,3239936,5636096,712688,4908,279,18,8192,16384,6,5,/input/data/work/bd/ea31a52f6e77456b7ad3b944c775da,true,-,0,-,-,-,-,-,-,-,101,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,4,2,3,26,-
12,cpu03,-,98/5c5b97,nf-985c5b97ca61d2f02212f6c2b795d59c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1697148858507,1697148859000,1697148966000,107493,101000,-,195.0,0.2,298917888,3009908736,298917888,3009921024,2183705332,3676838,4236488,11320,22032384,4120576,11,12,/input/data/work/98/5c5b97ca61d2f02212f6c2b795d59c,true,-,0,-,-,-,-,-,-,-,12,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,4,1,3,20,-
75,cpu01,-,44/ea27ec,nf-44ea27ecc91954923b23068f465973b7,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1697148858997,1697148860000,1697148966000,107003,99000,-,174.9,0.3,344670208,3089989632,348786688,3145183232,1832018319,3672468,3549467,11309,21839872,4091904,4,5,/input/data/work/44/ea27ecc91954923b23068f465973b7,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,5,1,2,22,-
43,cpu10,-,07/a16f65,nf-07a16f65b8701f3b51e56bfcfa423fbf,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1697148856957,1697148858000,1697148981000,124043,117000,-,116.6,0.2,331751424,3089989632,331751424,3147051008,1417847306,3669181,2740908,11310,30547968,4124672,90,5,/input/data/work/07/a16f65b8701f3b51e56bfcfa423fbf,true,-,0,-,-,-,-,-,-,-,19,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,6,1,2,21,-
6,cpu07,-,5a/17faf6,nf-5a17faf6b51c0b2303308869205be09c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1697148858012,1697148858000,1697148986000,127988,126000,-,185.5,0.2,336973824,3089989632,340291584,3146838016,2508462435,3693315,4870780,11269,54566912,4128768,155,32,/input/data/work/5a/17faf6b51c0b2303308869205be09c,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,5,1,2,19,-
7,cpu06,-,57/745dd9,nf-57745dd9216e299c51bd5260a4b7e7e2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1697148858245,1697148859000,1697148986000,127755,125000,-,191.2,0.3,347828224,3089989632,352411648,3116855296,2508459528,3693315,4870657,11269,6836224,4157440,11,11,/input/data/work/57/745dd9216e299c51bd5260a4b7e7e2,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,5,2,2,17,-
4,cpu06,-,c9/7e6247,nf-c97e62478acec451af881e1d940fe69f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1697148858274,1697148859000,1697148986000,127726,123000,-,190.7,0.2,338149376,3089989632,343535616,3145183232,2508461184,3693314,4870685,11269,49713152,4128768,157,32,/input/data/work/c9/7e62478acec451af881e1d940fe69f,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,5,1,3,18,-
35,cpu06,-,f6/54319e,nf-f654319eb5bc0a4ea556fafc8b18ea50,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1697148858420,1697148859000,1697148986000,127580,124000,-,188.5,0.2,325120000,3089989632,326148096,3145183232,2508494644,3694699,4870905,11269,6197248,4128768,11,12,/input/data/work/f6/54319eb5bc0a4ea556fafc8b18ea50,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,4,1,2,19,-
36,cpu03,-,f4/28dcba,nf-f428dcba19fed4d4cd5759be7fbee360,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1697148858846,1697148859000,1697148989000,130154,127000,-,188.9,0.3,342695936,3089989632,350683136,3145183232,2544383539,3679548,4940867,11335,4096,4161536,11,11,/input/data/work/f4/28dcba19fed4d4cd5759be7fbee360,true,-,0,-,-,-,-,-,-,-,11,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,4,1,2,18,-
11,cpu09,-,06/770139,nf-0677013950a7342ff9e9e03e6116090f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1697148857586,1697148858000,1697148991000,133414,128000,-,133.7,0.2,316526592,3085795328,316968960,3145183232,1740240920,3670768,3370351,11272,21590016,4128768,11,9,/input/data/work/06/77013950a7342ff9e9e03e6116090f,true,-,0,-,-,-,-,-,-,-,19,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,5,2,2,22,-
