task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
1,cpu10,-,e9/1a8528,nf-e91a85285685fd02fd6462c3426ec4c4,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1699060963031,1699060963000,1699060964000,969,0,-,111.0,0.0,12296192,17616896,12296192,17620992,713143,4919,280,18,327680,16384,22,4,/input/data/work/e9/1a85285685fd02fd6462c3426ec4c4,true,-,0,-,-,-,-,-,-,-,97,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,8,1,3,28,-
75,cpu01,-,92/0b5154,nf-920b5154a9d213e63aefca41116fdd31,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699060972280,1699060973000,1699061538000,565720,556000,-,36.1,0.2,322871296,3089989632,323735552,3116851200,1832020058,3672453,3549697,11309,1832013824,5328896,5,3,/input/data/work/92/0b5154a9d213e63aefca41116fdd31,true,-,0,-,-,-,-,-,-,-,40,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-,34,1,3,32,-
25,cpu08,-,66/3ea4f9,nf-663ea4f968993dc488298f67462bfd94,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699060970494,1699060972000,1699061673000,702506,697000,-,36.2,0.3,347676672,3089989632,347688960,3116855296,2257032554,3675324,4379525,11326,2257068032,5066752,7,6,/input/data/work/66/3ea4f968993dc488298f67462bfd94,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,8,2,2,22,-
35,cpu10,-,f4/b51eee,nf-f4b51eeed6168e446e171d3fc7717a7f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699060969823,1699060971000,1699061682000,712177,706000,-,24.0,0.2,340037632,3089989632,354127872,3145183232,1417845410,3669187,2740683,11352,1415282688,5287936,9,6,/input/data/work/f4/b51eeed6168e446e171d3fc7717a7f,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,8,1,3,23,-
29,cpu08,-,89/d26e2f,nf-89d26e2f6632e742839fd1d798ecc743,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699060971281,1699060972000,1699061737000,765719,760000,-,36.9,0.3,344719360,3089989632,353222656,3145183232,2508493136,3694687,4870708,11353,2276605952,5210112,7,2,/input/data/work/89/d26e2f6632e742839fd1d798ecc743,true,-,0,-,-,-,-,-,-,-,13,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,8,2,2,19,-
10,cpu10,-,f1/42d414,nf-f142d414003b2515738abbfa5f4866b4,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699060969966,1699060970000,1699061788000,818034,812000,-,26.0,0.2,332787712,3089989632,357015552,3145183232,1740240046,3670765,3370264,11230,1729855488,5517312,8,6,/input/data/work/f1/42d414003b2515738abbfa5f4866b4,true,-,0,-,-,-,-,-,-,-,19,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,8,1,3,22,-
40,cpu08,-,78/29aa97,nf-7829aa975958d95931ac230122349a4f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_1000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_1000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699060970560,1699060971000,1699061790000,819440,817000,-,37.9,0.3,343367680,3089989632,343367680,3145183232,2740002443,3707908,5322868,11378,2750701568,5357568,153,26,/input/data/work/78/29aa975958d95931ac230122349a4f,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,8,1,3,20,-
20,cpu08,-,ae/9f20bc,nf-ae9f20bce6774a1d78ea2da8758f3e25,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_1000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_1000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699060970727,1699060972000,1699061841000,870273,867000,-,39.5,0.3,341581824,3089989632,353411072,3145183232,3094708278,3668421,6015795,11313,3072954368,5476352,7,5,/input/data/work/ae/9f20bce6774a1d78ea2da8758f3e25,true,-,0,-,-,-,-,-,-,-,17,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,8,2,2,18,-
38,cpu08,-,b1/0de556,nf-b10de5569060b9e8e27c9fe3d88a2a22,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_10000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699060970527,1699060972000,1699061854000,883473,881000,-,40.9,0.3,347361280,3089989632,347361280,3145183232,3250278915,3709363,6319652,11370,3228504064,5603328,7,2,/input/data/work/b1/0de5569060b9e8e27c9fe3d88a2a22,true,-,0,-,-,-,-,-,-,-,16,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,9,1,2,20,-
34,cpu10,-,12/123ee7,nf-12123ee72bc89d65d802ad122a995f0b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699060969749,1699060971000,1699061979000,1009251,1003000,-,28.4,0.2,332124160,3089989632,333459456,3145183232,2401533258,3695698,4661975,11350,2379726848,5943296,7,20,/input/data/work/12/123ee72bc89d65d802ad122a995f0b,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,9,1,3,23,-
