task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
2,cpu10,-,9c/3e0786,nf-9c3e07860931c7768863be6033f63d1a,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1699437625470,1699437626000,1699437626000,530,0,-,88.4,0.0,12083200,17481728,12083200,17485824,713151,4919,280,18,20480,16384,14,5,/input/data/work/9c/3e07860931c7768863be6033f63d1a,true,-,0,-,-,-,-,-,-,-,166,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,9,1,2,28,-
41,cpu10,-,c0/214922,nf-c0214922af05e4e04b8b81c681ea5b1f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699437632182,1699437633000,1699438226000,593818,588000,-,28.8,0.3,341155840,3089989632,355762176,3145183232,1417877718,3669187,2740695,11310,1396088832,5009408,7,7,/input/data/work/c0/214922af05e4e04b8b81c681ea5b1f,true,-,0,-,-,-,-,-,-,-,37,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,27,2,3,35,-
71,cpu01,-,59/c64ec9,nf-59c64ec9f16469baf6de4a0d80cc4b29,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699437637086,1699437638000,1699438302000,664914,658000,-,44.0,0.3,342081536,3089989632,353554432,3145183232,2651888422,3695479,5150782,11262,2630115328,5095424,5,2,/input/data/work/59/c64ec9f16469baf6de4a0d80cc4b29,true,-,0,-,-,-,-,-,-,-,46,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,46,-,-,-,-,-,-,70,2,2,45,-
32,cpu01,-,cd/6be18f,nf-cd6be18f0605159ad834e2450032110f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699437636334,1699437637000,1699438332000,695666,691000,-,39.4,0.2,334655488,3089989632,353402880,3145183232,2508461003,3694692,4870708,11353,1347039232,5169152,5,3,/input/data/work/cd/6be18f0605159ad834e2450032110f,true,-,0,-,-,-,-,-,-,-,50,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,45,2,3,42,-
9,cpu01,-,59/2be65f,nf-592be65fafe04bcc66836c82dd3ed5bc,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699437636637,1699437637000,1699438332000,695363,690000,-,39.8,0.2,335888384,3089989632,356712448,3145183232,2508460484,3693308,4870655,11353,1139650560,5156864,5,3,/input/data/work/59/2be65fafe04bcc66836c82dd3ed5bc,true,-,0,-,-,-,-,-,-,-,61,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,60,-,-,-,-,-,-,59,2,2,42,-
13,cpu08,-,e9/cffd0d,nf-e9cffd0dfce56837ba56af509c8482ee,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699437633564,1699437634000,1699438347000,713436,708000,-,34.9,0.3,341729280,3089989632,351547392,3145183232,2183737126,3676831,4236433,11236,2161942528,5230592,7,6,/input/data/work/e9/cffd0dfce56837ba56af509c8482ee,true,-,0,-,-,-,-,-,-,-,30,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,18,1,3,31,-
57,cpu08,-,43/29fb5a,nf-4329fb5a13b3411746ac26e0a538aa92,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699437633627,1699437634000,1699438451000,817373,813000,-,36.6,0.2,333049856,3089989632,345407488,3145187328,2632424657,3688477,5112807,11353,2610630656,5570560,9,5,/input/data/work/43/29fb5a13b3411746ac26e0a538aa92,true,-,0,-,-,-,-,-,-,-,29,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,26,2,2,31,-
72,cpu01,-,12/699cda,nf-12699cda02ca96ff266ac0d4fd37492c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699437637210,1699437638000,1699438466000,828790,820000,-,41.0,0.3,346304512,3089989632,346320896,3145183232,3070558439,3692447,5968533,11256,3048787968,5468160,5,4,/input/data/work/12/699cda02ca96ff266ac0d4fd37492c,true,-,0,-,-,-,-,-,-,-,54,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,54,-,-,-,-,-,-,71,2,2,48,-
23,cpu08,-,05/458626,nf-054586265d5794e3a872acaf783b9eea,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699437633803,1699437635000,1699438477000,843197,839000,-,37.4,0.3,340500480,3089989632,353038336,3145183232,2792819436,3701600,5426115,11372,2771017728,5648384,7,3,/input/data/work/05/4586265d5794e3a872acaf783b9eea,true,-,0,-,-,-,-,-,-,-,26,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,25,2,2,26,-
15,cpu08,-,0f/518e94,nf-0f518e948225208d0ed4d420fd84c14c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1699437633509,1699437634000,1699438500000,866491,864000,-,38.6,0.2,297828352,3009908736,297885696,3009921024,2978933492,3686620,5789618,11338,2958282752,5771264,11,5,/input/data/work/0f/518e948225208d0ed4d420fd84c14c,true,-,0,-,-,-,-,-,-,-,24,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,25,2,2,27,-
