task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
7,cpu06,6f/2203b1,nf-6f2203b1af077f15b5a971d13d5cc44f,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1700245340199,1700245349000,1700245350000,9801,0,-,44.9,0.0,2797568,11567104,2797568,11571200,52715,2599,145,17,0,12288,1,2,/input/data/work/6f/2203b1af077f15b5a971d13d5cc44f,true,-,6,2,2,18
14,cpu03,bf/95175e,nf-bf95175e3cb9e57fb3549fb52be036e6,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1700245338574,1700245349000,1700245356000,17426,0,-,90.4,0.0,5816320,23134208,5816320,23142400,9300814,37200250,491,1168,3244032,37253120,6,0,/input/data/work/bf/95175e3cb9e57fb3549fb52be036e6,true,-,6,2,2,21
15,cpu09,f1/836269,nf-f18362693752953dc90fca5c149da430,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1700245340170,1700245349000,1700245359000,18830,0,-,76.8,0.0,2834432,11567104,2834432,11571200,11009891,33652569,505,1058,3133440,33701888,1,1,/input/data/work/f1/8362693752953dc90fca5c149da430,true,-,5,1,3,23
9,cpu02,8d/5e487c,nf-8d5e487c9bdb9e1965ea3fbeae502b73,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1700245338984,1700245347000,1700245379000,40016,4000,-,74.2,0.0,9752576,42303488,9752576,42311680,114384876,435495666,1085,13311,3141632,435499008,82,354,/input/data/work/8d/5e487c9bdb9e1965ea3fbeae502b73,true,-,5,0,3,18
90,cpu07,f6/2ee672,nf-f62ee67276264917f6a4629d25be32da,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,intervals,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (intervals),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1700245357063,1700245358000,1700245380000,22937,13000,-,40.7,0.0,51949568,4526178304,51949568,4526182400,53570403,119125,7679,34,128512000,147456,774,708,/input/data/work/f6/2ee67276264917f6a4629d25be32da,true,-,24,0,3,29
89,cpu03,a8/7910dd,nf-a87910dd6f734f0be4f43196b4aae087,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1700245357135,1700245358000,1700245381000,23865,3000,-,1.1,0.0,2875392,11567104,2875392,11571200,51985,2612,146,58,0,180224,2,2,/input/data/work/a8/7910dd6f734f0be4f43196b4aae087,true,-,8,1,2,60
100,cpu07,44/e4c868,nf-44e4c86815e8c5f58e2d956d7588a272,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,8_1-146364022,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (8_1-146364022),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1700245428530,1700245429000,1700245433000,4470,0,-,46.2,0.0,3252224,5632000,3252224,5636096,87896,3367,212,47,0,16384,2,3,/input/data/work/44/e4c86815e8c5f58e2d956d7588a272,true,-,4,1,2,17
116,cpu03,7a/bfacd1,nf-7abfacd174b332098a1a9ac1e20f1f98,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,hs37d5_1-35477943,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (hs37d5_1-35477943),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1700245428555,1700245429000,1700245438000,9445,4000,-,1.1,0.0,4677632,36196352,4677632,36200448,87932,3286,213,47,1273856,16384,22,6,/input/data/work/7a/bfacd174b332098a1a9ac1e20f1f98,true,-,4,1,2,17
104,cpu10,cb/27d92c,nf-cb27d92c0e18a244d1b394e44a14a05e,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,12_1-133851895,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (12_1-133851895),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1700245428590,1700245430000,1700245438000,9410,0,-,26.7,0.0,3264512,5632000,3264512,5636096,87877,3352,213,47,1945600,16384,2,3,/input/data/work/cb/27d92c0e18a244d1b394e44a14a05e,true,-,6,1,8,19
126,cpu06,b0/d0b926,nf-b0d0b92672167ff162380fc03c8cd9d3,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,GL000224.1_1-179693,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (GL000224.1_1-179693),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1700245428615,1700245429000,1700245438000,9385,0,-,24.3,0.0,3182592,5632000,3182592,5636096,87770,3246,213,47,0,16384,2,3,/input/data/work/b0/d0b92672167ff162380fc03c8cd9d3,true,-,4,1,2,17
128,cpu02,9f/dcd45d,nf-9fdcd45d8641cb506c650cc977df400b,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,GL000205.1_1-174588,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (GL000205.1_1-174588),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1700245428668,1700245429000,1700245434000,5332,1000,-,27.9,0.0,3305472,5632000,3305472,5636096,87927,3250,216,47,1945600,16384,2,3,/input/data/work/9f/dcd45d8641cb506c650cc977df400b,true,-,5,1,2,12
94,cpu09,2b/a92a70,nf-2ba92a7085fd1d57967a22b7c7fcfb44,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,3_1-198022430,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (3_1-198022430),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1700245428728,1700245429000,1700245437000,8272,0,-,32.1,0.0,3325952,5632000,3325952,5636096,87769,3388,212,47,2076672,16384,2,3,/input/data/work/2b/a92a7085fd1d57967a22b7c7fcfb44,true,-,3,1,3,52
92,cpu01,80/222a22,nf-80222a22bbb5e5216db8e5967071604f,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1_1-249250621,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1700245428749,1700245430000,1700245446000,17251,0,-,46.0,0.0,3297280,5632000,3297280,5636096,87539,3413,217,47,1810432,16384,1,0,/input/data/work/80/222a22bbb5e5216db8e5967071604f,true,-,3,1,2,14
98,cpu07,9a/95230e,nf-9a95230e12a3b847a94634dfd03e729a,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,7_1-159138663,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (7_1-159138663),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1700245428809,1700245432000,1700245446000,17191,1000,-,52.5,0.0,4538368,171335680,4538368,238448640,87897,3374,213,47,0,16384,7,4,/input/data/work/9a/95230e12a3b847a94634dfd03e729a,true,-,3,1,2,53
93,cpu03,d6/65b1aa,nf-d665b1aae72caa9afe1df2e59df1d978,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,2_1-243199373,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-243199373),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1700245428836,1700245429000,1700245438000,9164,0,-,45.5,0.0,3342336,5632000,3342336,5636096,87911,3413,212,47,536576,16384,2,4,/input/data/work/d6/65b1aae72caa9afe1df2e59df1d978,true,-,4,1,2,19
108,cpu10,32/3e152e,nf-323e152e2396b561613baaa3793ec236,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,16_1-90354753,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (16_1-90354753),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1700245428893,1700245430000,1700245439000,10107,0,-,21.8,0.0,3203072,5632000,3203072,5636096,87872,3299,214,47,0,16384,1,1,/input/data/work/32/3e152e2396b561613baaa3793ec236,true,-,5,2,2,47
112,cpu06,15/dfd22d,nf-15dfd22ddc9deb33b17e5f07f32ade06,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,Y_1-59373566,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (Y_1-59373566),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1700245428948,1700245429000,1700245445000,16052,0,-,54.9,0.0,3325952,5632000,3325952,5636096,88819,4297,211,47,0,16384,3,2,/input/data/work/15/dfd22ddc9deb33b17e5f07f32ade06,true,-,4,1,2,48
