task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
9,cpu01,11/ac60e4,nf-11ac60e40fc1a4a8e002ab0c348ff9af,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1700872346545,1700872347000,1700872353000,6455,0,-,53.3,0.0,0,0,0,0,52573,2604,145,17,24576,12288,0,0,/input/data/work/11/ac60e40fc1a4a8e002ab0c348ff9af,true,-
10,cpu06,66/cbd99a,nf-66cbd99af572f5aa4661d477485aa958,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1700872346772,1700872358000,1700872367000,20228,1000,-,78.2,0.0,2781184,11567104,2781184,11571200,11009913,33652569,506,1058,2531328,33701888,2,2,/input/data/work/66/cbd99af572f5aa4661d477485aa958,true,-
11,cpu02,a5/187a64,nf-a5187a64dbce11e59653e1de7e3e2897,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1700872347466,1700872358000,1700872367000,19534,1000,-,64.9,0.0,2965504,11567104,2965504,11571200,9300826,37200251,491,1168,294912,37253120,1,2,/input/data/work/a5/187a64dbce11e59653e1de7e3e2897,true,-
90,cpu06,c4/c36126,nf-c4c36126ad4c3ec3e92b8c75a702c5ae,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,intervals,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (intervals),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1700872354986,1700872357000,1700872367000,12014,5000,-,125.1,0.1,138498048,4585607168,138498048,4751400960,53570298,119123,7679,34,128262144,147456,2757,692,/input/data/work/c4/c36126ad4c3ec3e92b8c75a702c5ae,true,-
89,cpu08,03/ab49af,nf-03ab49af1a082f4b0e3408574857565e,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1700872355034,1700872355000,1700872369000,13966,2000,-,1.3,0.0,2904064,11567104,2904064,11571200,51890,2610,146,58,0,180224,3,2,/input/data/work/03/ab49af1a082f4b0e3408574857565e,true,-
14,cpu07,46/87b2fd,nf-4687b2fda818424ed375720278667ff6,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1700872346668,1700872349000,1700872387000,40332,9000,-,34.6,0.0,9785344,42303488,9785344,42311680,113275062,388442029,1077,11875,0,388448256,61,404,/input/data/work/46/87b2fda818424ed375720278667ff6,true,-
8,cpu07,c6/ce4740,nf-c6ce47405d4250b2b2798f3b6db5e513,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1700872347590,1700872349000,1700872387000,39410,25000,-,14.0,0.0,9781248,42303488,9781248,42311680,114384910,435495667,1085,13311,294912,435499008,55,338,/input/data/work/c6/ce47405d4250b2b2798f3b6db5e513,true,-
118,cpu02,99/098f01,nf-99098f0165cad5abd8da48756cd7f952,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,GL000225.1_1-211173,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (GL000225.1_1-211173),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1700872418843,1700872419000,1700872423000,4157,1000,-,16.2,0.0,3252224,5632000,3252224,5636096,87956,3253,212,47,0,16384,2,3,/input/data/work/99/098f0165cad5abd8da48756cd7f952,true,-
117,cpu07,00/98657f,nf-0098657f2c4ff78172ecc4b5ea6002b2,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,GL000192.1_1-547496,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (GL000192.1_1-547496),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1700872418892,1700872420000,1700872422000,3108,0,-,31.9,0.0,3321856,5632000,3321856,5636096,87962,3255,212,47,0,16384,2,3,/input/data/work/00/98657f2c4ff78172ecc4b5ea6002b2,true,-
94,cpu06,af/a41862,nf-afa41862b082277cd2e8a1ada32bd3ed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,3_1-198022430,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (3_1-198022430),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1700872418912,1700872420000,1700872422000,3088,0,-,32.4,0.0,3207168,5632000,3207168,5636096,87791,3388,215,47,1941504,16384,2,3,/input/data/work/af/a41862b082277cd2e8a1ada32bd3ed,true,-
99,cpu03,6f/d610a3,nf-6fd610a3cffab7e0463b8ccb4ac40228,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,X_1-155270560,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (X_1-155270560),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1700872418955,1700872420000,1700872425000,6045,5000,-,0.4,0.0,4550656,36196352,4550656,36200448,87930,3370,212,47,1404928,16384,24,8,/input/data/work/6f/d610a3cffab7e0463b8ccb4ac40228,true,-
93,cpu02,20/bea108,nf-20bea108e43245e4f493a7dbec85bba4,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,2_1-243199373,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-243199373),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1700872418976,1700872421000,1700872427000,8024,5000,-,0.9,0.0,3346432,5632000,3346432,5636096,87920,3412,213,47,0,16384,3,3,/input/data/work/20/bea108e43245e4f493a7dbec85bba4,true,-
