task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
24,cpu10,-,bf/0c3c90,nf-bf0c3c9079eff0de04273c8d2e3ba5f2,writeLargeFile,24,writeLargeFile (24),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417419411,1701417420000,1701417427000,7589,1044,-,108.2,0.0,3223552,5857280,3223552,5894144,109460,1059063887,249,258578,28672,1059061760,4,5,/input/data/work/bf/0c3c9079eff0de04273c8d2e3ba5f2,true,-,0,-,-,-,-,-,-,-,140,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,140,-,-,-,-,-,-,32,10,33,43,-
18,cpu09,-,73/e5cc94,nf-73e5cc949db98f4ae43e49327661089f,writeLargeFile,18,writeLargeFile (18),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417419454,1701417421000,1701417427000,7546,988,-,108.4,0.0,3203072,5857280,3203072,5894144,109367,973080649,250,237586,36864,973078528,2,2,/input/data/work/73/e5cc949db98f4ae43e49327661089f,true,-,0,-,-,-,-,-,-,-,146,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,41,-,-,-,-,-,-,8,1,6,26,-
3,cpu09,-,20/105049,nf-20105049860106a18c87f25eda1b02ba,writeLargeFile,3,writeLargeFile (3),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417419499,1701417420000,1701417427000,7501,1007,-,111.0,0.0,3317760,5857280,3317760,5894144,109368,984614985,250,240402,36864,984612864,3,3,/input/data/work/20/105049860106a18c87f25eda1b02ba,true,-,0,-,-,-,-,-,-,-,109,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,48,-,-,-,-,-,-,11,1,5,27,-
28,cpu09,-,f1/881165,nf-f1881165b4d28eee913dc5b5e3dd2954,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417419536,1701417420000,1701417427000,7464,948,-,99.0,0.0,3276800,5857280,3276800,5894144,109367,950011975,250,231954,28672,950009856,3,4,/input/data/work/f1/881165b4d28eee913dc5b5e3dd2954,true,-,0,-,-,-,-,-,-,-,78,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,55,-,-,-,-,-,-,6,1,6,23,-
27,cpu10,-,d0/cb6c45,nf-d0cb6c454d1698ae0b0c2521ae7b0a0e,writeLargeFile,27,writeLargeFile (27),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417419571,1701417420000,1701417427000,7429,959,-,101.0,0.0,3362816,5857280,3362816,5894144,109454,913311815,250,222994,32768,913309696,4,4,/input/data/work/d0/cb6c454d1698ae0b0c2521ae7b0a0e,true,-,0,-,-,-,-,-,-,-,59,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,4,1,5,24,-
7,cpu10,-,5b/3823de,nf-5b3823de8210abfaae9c2d531e778274,writeLargeFile,7,writeLargeFile (7),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417419607,1701417421000,1701417427000,7393,819,-,107.3,0.0,3186688,5857280,3186688,5894144,109134,877660071,247,214290,28672,877658112,2,2,/input/data/work/5b/3823de8210abfaae9c2d531e778274,true,-,0,-,-,-,-,-,-,-,35,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,6,2,4,22,-
5,cpu08,-,94/db5c63,nf-94db5c6300ec35334b044d704eeecc3c,writeLargeFile,5,writeLargeFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417419646,1701417426000,1701417432000,12354,1091,-,96.3,0.0,27496448,326897664,27496448,326934528,109454,908069024,250,221714,0,908066816,5,6,/input/data/work/94/db5c6300ec35334b044d704eeecc3c,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,6,1,6,25,-
21,cpu08,-,f0/33841e,nf-f033841e1f83075682477310a1a135e7,writeLargeFile,21,writeLargeFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417419682,1701417425000,1701417432000,12318,1118,-,97.4,0.0,32776192,776916992,33955840,945336320,109453,967837850,251,236306,0,967835648,127,82,/input/data/work/f0/33841e1f83075682477310a1a135e7,true,-,0,-,-,-,-,-,-,-,20,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,6,1,5,23,-
36,cpu08,-,4d/844edf,nf-4d844edfc9fa58a4042f07ae3b17ab02,writeLargeFile,36,writeLargeFile (36),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417419714,1701417425000,1701417432000,12286,960,-,111.1,0.0,27836416,326901760,27836416,326938624,109395,1024460901,250,250130,0,1024458752,5,4,/input/data/work/4d/844edfc9fa58a4042f07ae3b17ab02,true,-,0,-,-,-,-,-,-,-,18,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,4,0,5,22,-
32,cpu07,-,d1/02ec07,nf-d102ec07bb404361dc14b80fa93c3257,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417419748,1701417423000,1701417430000,10252,1032,-,104.7,0.0,3268608,5857280,3268608,5894144,109580,1069549724,250,261138,0,1069547520,4,3,/input/data/work/d1/02ec07bb404361dc14b80fa93c3257,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,5,1,5,22,-
22,cpu07,-,4b/b29d49,nf-4bb29d4993d82e9980d80190d6055976,writeLargeFile,22,writeLargeFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417419780,1701417423000,1701417430000,10220,1000,-,110.1,0.0,27672576,326901760,27672576,326938624,109502,1050675279,250,256530,0,1050673152,6,7,/input/data/work/4b/b29d4993d82e9980d80190d6055976,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,5,1,5,20,-
8,cpu07,-,a6/4fe7ef,nf-a64fe7ef1bf1448132c1844d0d90fa72,writeLargeFile,8,writeLargeFile (8),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417419813,1701417422000,1701417430000,10187,1013,-,106.7,0.0,3244032,5857280,3244032,5894144,109498,1017120841,250,248338,0,1017118720,2,1,/input/data/work/a6/4fe7ef1bf1448132c1844d0d90fa72,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,5,0,5,22,-
14,cpu06,-,40/2e66ec,nf-402e66ec4a48c010d5fddda3f5a9739a,writeLargeFile,14,writeLargeFile (14),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417419847,1701417420000,1701417427000,7153,1106,-,100.9,0.0,32165888,771596288,33345536,940015616,109386,961546356,251,234770,0,961544192,131,124,/input/data/work/40/2e66ec4a48c010d5fddda3f5a9739a,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,5,1,4,23,-
2,cpu06,-,2c/288249,nf-2c288249da087b41ba356a644c5f2f3c,writeLargeFile,2,writeLargeFile (2),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417419880,1701417420000,1701417427000,7120,976,-,102.9,0.0,3166208,5857280,3166208,5894144,109343,881854536,251,215314,0,881852416,2,3,/input/data/work/2c/288249da087b41ba356a644c5f2f3c,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,5,1,5,21,-
25,cpu06,-,b4/cb5b3c,nf-b4cb5b3cda6b507e6f38da3498f201e5,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417419914,1701417420000,1701417427000,7086,1035,-,98.9,0.0,3330048,5857280,3330048,5894144,109344,1001392201,251,244498,0,1001390080,2,3,/input/data/work/b4/cb5b3cda6b507e6f38da3498f201e5,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,5,1,5,22,-
43,cpu03,-,a6/9ea565,nf-a69ea565f293a5b6ade5a28710ab34f7,writeLargeFile,43,writeLargeFile (43),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417419951,1701417421000,1701417427000,7049,892,-,112.5,0.0,3215360,5857280,3215360,5894144,109322,865077332,247,211218,0,865075200,2,3,/input/data/work/a6/9ea565f293a5b6ade5a28710ab34f7,true,-,0,-,-,-,-,-,-,-,19,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,7,3,4,21,-
15,cpu03,-,db/538cfb,nf-db538cfb5d8cf7824e4014dda14f1d2e,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417419983,1701417421000,1701417427000,7017,1098,-,88.8,0.0,27451392,422277120,28557312,590696448,109307,871368773,247,212754,0,871366656,75,21,/input/data/work/db/538cfb5d8cf7824e4014dda14f1d2e,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,5,1,5,20,-
4,cpu03,-,14/023550,nf-14023550cb1962211a86dc4f295e7a41,writeLargeFile,4,writeLargeFile (4),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417420017,1701417422000,1701417427000,6983,943,-,107.4,0.0,3342336,5857280,3342336,5894144,109394,1012926608,250,247314,0,1012924416,4,3,/input/data/work/14/023550cb1962211a86dc4f295e7a41,true,-,0,-,-,-,-,-,-,-,15,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,6,0,6,20,-
23,cpu02,-,a3/a80ad1,nf-a3a80ad1c058e53444bf06a77c249d50,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701417420051,1701417426000,1701417433000,12949,1021,-,105.5,0.0,3272704,5857280,3272704,5894144,109490,1002440793,250,244754,0,1002438656,4,0,/input/data/work/a3/a80ad1c058e53444bf06a77c249d50,true,-,0,-,-,-,-,-,-,-,14,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,5,1,5,22,-
