task_id,hostname,out_label,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,scheduler_copy_tasks,scheduler_files_bytes,scheduler_files_node_bytes,scheduler_files_node_other_task_bytes,scheduler_files,scheduler_files_node,scheduler_files_node_other_task,scheduler_depending_task,scheduler_time_in_queue,scheduler_place_in_queue,scheduler_location_count,scheduler_tried_to_schedule,scheduler_init_runtime,scheduler_init_errors,scheduler_init_symlinks_runtime,scheduler_init_download_runtime,scheduler_init_depending_tasks_runtime,scheduler_nodes_to_copy_from,scheduler_time_to_schedule,scheduler_nodes_tried,scheduler_nodes_cost,scheduler_could_stop_fetching,scheduler_best_cost,scheduler_init_throughput,scheduler_no_alignment_found,scheduler_delta_schedule_submitted,scheduler_delta_schedule_alignment,scheduler_batch_id,scheduler_delta_batch_start_submitted,scheduler_delta_batch_start_received,scheduler_delta_batch_closed_batch_end,scheduler_delta_submitted_batch_end,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time,scheduler_time_delta_phase_three
25,cpu10,-,b5/43c577,nf-b543c5770a3a64ffbddfab71a0a16189,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701526380733,1701526381000,1701526388000,7267,1089,-,93.5,0.0,7823360,185212928,7823360,185249792,109468,1001392204,250,244498,16453632,1001390080,121,5,/input/data/work/b5/43c5770a3a64ffbddfab71a0a16189,true,-,0,-,-,-,-,-,-,-,129,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,129,-,-,-,-,-,-,43,10,33,31,-
31,cpu09,-,cb/63f04f,nf-cb63f04f6e8c892db050eb38774fd60c,writeLargeFile,31,writeLargeFile (31),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701526380783,1701526381000,1701526389000,8217,1077,-,94.8,0.0,7368704,185212928,7368704,185249792,109406,969934933,251,236818,13996032,969932800,179,3,/input/data/work/cb/63f04f6e8c892db050eb38774fd60c,true,-,0,-,-,-,-,-,-,-,133,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-,12,1,6,29,-
1,cpu09,-,a5/81a7e4,nf-a581a7e4392a5419e8e5cf3510b88735,writeLargeFile,1,writeLargeFile (1),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701526380824,1701526381000,1701526389000,8176,1119,-,98.6,0.0,26820608,422281216,27951104,590700544,109373,1056966717,251,258066,9322496,1056964608,373,29,/input/data/work/a5/81a7e4392a5419e8e5cf3510b88735,true,-,0,-,-,-,-,-,-,-,102,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,8,1,5,26,-
23,cpu09,-,27/ae02e5,nf-27ae02e544b086a2314d6d485ada4ece,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701526380865,1701526382000,1701526389000,8135,972,-,111.7,0.0,27459584,326901760,27459584,326938624,109363,1002440765,250,244754,4096,1002438656,5,4,/input/data/work/27/ae02e544b086a2314d6d485ada4ece,true,-,0,-,-,-,-,-,-,-,70,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,59,-,-,-,-,-,-,8,1,6,25,-
30,cpu10,-,96/4bf49b,nf-964bf49b5a6df70d2a2ee379cef21e11,writeLargeFile,30,writeLargeFile (30),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701526380906,1701526382000,1701526388000,7094,911,-,112.5,0.0,27594752,326901760,27594752,326938624,109249,912263195,247,222738,40960,912261120,5,3,/input/data/work/96/4bf49b5a6df70d2a2ee379cef21e11,true,-,0,-,-,-,-,-,-,-,54,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,8,0,6,26,-
22,cpu10,-,74/3a8321,nf-743a8321cb9253c441861badcd59cc80,writeLargeFile,22,writeLargeFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701526380946,1701526381000,1701526388000,7054,1082,-,95.0,0.0,12251136,185380864,12251136,185417728,109477,1050675292,250,256530,6791168,1050673152,46,0,/input/data/work/74/3a8321cb9253c441861badcd59cc80,true,-,0,-,-,-,-,-,-,-,40,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,8,1,4,25,-
5,cpu08,-,3d/85ade2,nf-3d85ade2e15f3858be96b7655dff9415,writeLargeFile,5,writeLargeFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701526380987,1701526382000,1701526389000,8013,975,-,99.7,0.0,27283456,326901760,27283456,326938624,109390,908068951,250,221714,49152,908066816,5,8,/input/data/work/3d/85ade2e15f3858be96b7655dff9415,true,-,0,-,-,-,-,-,-,-,21,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,7,1,6,27,-
13,cpu08,-,74/49142f,nf-7449142fcea0950666f43bb98ada428b,writeLargeFile,13,writeLargeFile (13),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701526381025,1701526381000,1701526389000,7975,1083,-,103.3,0.0,6701056,185212928,6701056,185249792,109424,990906471,251,241938,23412736,990904320,117,4,/input/data/work/74/49142fcea0950666f43bb98ada428b,true,-,0,-,-,-,-,-,-,-,20,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,10,1,4,22,-
28,cpu08,-,b2/f75d34,nf-b2f75d3447609b4a1192f0d0ba9d31ba,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701526381067,1701526382000,1701526389000,7933,996,-,105.7,0.0,27439104,326897664,27439104,326934528,109406,950012006,250,231954,12288,950009856,6,5,/input/data/work/b2/f75d3447609b4a1192f0d0ba9d31ba,true,-,0,-,-,-,-,-,-,-,20,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,10,1,5,24,-
32,cpu07,-,ed/2dc580,nf-ed2dc580bf242a71649357941b87d511,writeLargeFile,32,writeLargeFile (32),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701526381105,1701526381000,1701526389000,7895,1186,-,94.7,0.0,26767360,422277120,27934720,590696448,109533,1069549665,250,261138,12918784,1069547520,382,32,/input/data/work/ed/2dc580bf242a71649357941b87d511,true,-,0,-,-,-,-,-,-,-,19,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,8,1,5,23,-
