task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
11,cpu01,7f/976d0c,nf-7f976d0c3f4b86ca4c3a62ab89690056,writeLargeFile,11,writeLargeFile (11),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701673567560,1701673568000,1701673608000,40440,1053,-,108.5,0.0,27611136,326901760,27611136,326938624,108510,951060486,252,232210,0,951058432,2,7,/input/data/work/7f/976d0c3f4b86ca4c3a62ab89690056,true,-
14,cpu01,21/d79d2c,nf-21d79d2c8455f769b04daf3519cf29d4,writeLargeFile,14,writeLargeFile (14),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701673567783,1701673568000,1701673608000,40217,1085,-,106.7,0.0,27901952,326901760,27901952,326938624,108493,961546228,252,234770,0,961544192,2,13,/input/data/work/21/d79d2c8455f769b04daf3519cf29d4,true,-
30,cpu01,11/d9ded6,nf-11d9ded6a6fb91a8b86e58bdbca0e8d5,writeLargeFile,30,writeLargeFile (30),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701673567971,1701673568000,1701673608000,40029,1004,-,104.8,0.0,27443200,326901760,27443200,326938624,108471,912263134,252,222738,0,912261120,2,6,/input/data/work/11/d9ded6a6fb91a8b86e58bdbca0e8d5,true,-
20,cpu03,c9/661d1f,nf-c9661d1f56a0b17998ea9500ae196d2d,writeLargeFile,20,writeLargeFile (20),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701673567533,1701673575000,1701673619000,51467,1259,-,97.6,0.0,32772096,776908800,33841152,945332224,108839,956303369,254,233490,20480,956301312,102,92,/input/data/work/c9/661d1f56a0b17998ea9500ae196d2d,true,-
9,cpu07,1a/cf2895,nf-1acf28950293b2c6b98847fe9f7b2ad0,writeLargeFile,9,writeLargeFile (9),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701673567595,1701673573000,1701673620000,52405,1101,-,99.1,0.0,32399360,776908800,33579008,945332224,108830,875562981,254,213778,0,875560960,100,90,/input/data/work/1a/cf28950293b2c6b98847fe9f7b2ad0,true,-
15,cpu03,06/8c3858,nf-068c38582ecf2d0170b161416cebce61,writeLargeFile,15,writeLargeFile (15),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701673567651,1701673576000,1701673619000,51349,1133,-,97.7,0.0,32927744,776900608,34009088,945324032,108792,871368666,254,212754,24576,871366656,106,94,/input/data/work/06/8c38582ecf2d0170b161416cebce61,true,-
23,cpu10,5b/6fd8a4,nf-5b6fd8a49b87069a7d66b342099f8c7f,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701673567677,1701673571000,1701673622000,54323,1242,-,94.7,0.0,32989184,776900608,34037760,945324032,108800,1002440685,254,244754,0,1002438656,95,98,/input/data/work/5b/6fd8a49b87069a7d66b342099f8c7f,true,-
22,cpu08,2f/d73887,nf-2fd7388775ade4b23ee7247356fad2d7,writeLargeFile,22,writeLargeFile (22),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701673567703,1701673576000,1701673623000,55297,1276,-,99.0,0.0,32935936,776900608,34086912,945324032,108780,1050675223,256,256530,0,1050673152,106,95,/input/data/work/2f/d7388775ade4b23ee7247356fad2d7,true,-
6,cpu09,cc/097f9e,nf-cc097f9ee80112143da0c6b2ba7e7951,writeLargeFile,6,writeLargeFile (6),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701673567729,1701673577000,1701673623000,55271,1401,-,87.4,0.0,32944128,776900608,34033664,945324032,108739,1058015216,254,258322,0,1058013184,83,78,/input/data/work/cc/097f9ee80112143da0c6b2ba7e7951,true,-
26,cpu06,26/8b11a9,nf-268b11a98eb11a5f4e609fa8c636811f,writeLargeFile,26,writeLargeFile (26),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701673567757,1701673570000,1701673622000,54243,1116,-,102.7,0.0,32899072,776900608,34078720,945324032,108710,1048578033,254,256018,0,1048576000,96,92,/input/data/work/26/8b11a98eb11a5f4e609fa8c636811f,true,-
16,cpu07,e8/d3765e,nf-e8d3765e988c1d0341ed3407f97b22ec,writeLargeFile,16,writeLargeFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701673567812,1701673574000,1701673620000,52188,1142,-,101.0,0.0,32763904,776908800,33853440,945332224,108880,887097363,254,216594,0,887095296,108,101,/input/data/work/e8/d3765e988c1d0341ed3407f97b22ec,true,-
8,cpu08,63/70bfbb,nf-6370bfbb076a74d93045f405b3719338,writeLargeFile,8,writeLargeFile (8),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701673567862,1701673576000,1701673623000,55138,1281,-,96.2,0.0,32665600,776900608,33710080,945324032,108739,1017120758,254,248338,0,1017118720,99,85,/input/data/work/63/70bfbb076a74d93045f405b3719338,true,-
17,cpu03,10/fd31ae,nf-10fd31aed0af8aac604fab332a86022d,writeLargeFile,17,writeLargeFile (17),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701673567890,1701673576000,1701673619000,51110,1270,-,95.8,0.0,32706560,776908800,33767424,945332224,108794,1017120732,254,248338,32768,1017118720,109,98,/input/data/work/10/fd31aed0af8aac604fab332a86022d,true,-
5,cpu10,dd/965075,nf-dd965075ea2dc773df7380bd9d87f1ac,writeLargeFile,5,writeLargeFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701673567917,1701673571000,1701673622000,54083,1164,-,87.3,0.0,32903168,776908800,33968128,945332224,108789,908068833,254,221714,0,908066816,94,92,/input/data/work/dd/965075ea2dc773df7380bd9d87f1ac,true,-
25,cpu09,f2/37e553,nf-f237e5533c836ab1d5f06c73710b05c1,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701673567943,1701673578000,1701673623000,55057,1289,-,97.6,0.0,32931840,776900608,34111488,945324032,108774,1001392138,256,244498,0,1001390080,93,100,/input/data/work/f2/37e5533c836ab1d5f06c73710b05c1,true,-
