task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
10,cpu07,3b/de08a0,nf-3bde08a051e751b053cc1a10730c2213,writeLargeFile,10,writeLargeFile (10),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701734297023,1701734298000,1701734387000,89977,1175,-,110.7,0.0,33112064,776908800,34291712,945332224,108824,1021315043,254,249362,32768,1021313024,149,108,/input/data/work/3b/de08a051e751b053cc1a10730c2213,true,-
5,cpu07,74/88a054,nf-7488a054279149ac11dca020d500e436,writeLargeFile,5,writeLargeFile (5),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701734297286,1701734298000,1701734387000,89714,1085,-,104.8,0.0,27521024,326897664,27521024,326934528,108798,908068808,254,221714,36864,908066816,5,6,/input/data/work/74/88a054279149ac11dca020d500e436,true,-
21,cpu07,c8/8af462,nf-c88af4623cefd73859ae1ec187d53d9b,writeLargeFile,21,writeLargeFile (21),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701734297543,1701734299000,1701734388000,90457,1295,-,85.1,0.0,3223552,5857280,3239936,5894144,108824,967837666,254,236306,36864,967835648,4,1,/input/data/work/c8/8af4623cefd73859ae1ec187d53d9b,true,-
9,cpu02,d3/5df34d,nf-d35df34dbd8e78c0e3f08f34a361ed24,writeLargeFile,9,writeLargeFile (9),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701734296755,1701734297000,1701734394000,97245,1087,-,104.8,0.0,27947008,326901760,27947008,326938624,108823,875563001,254,213778,28672,875560960,5,4,/input/data/work/d3/5df34dbd8e78c0e3f08f34a361ed24,true,-
28,cpu10,a4/cf1bbd,nf-a4cf1bbd0eecfec296c46c254728f71c,writeLargeFile,28,writeLargeFile (28),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701734296802,1701734297000,1701734393000,96198,1104,-,107.0,0.0,27799552,422277120,28598272,590700544,108832,950011910,255,231954,36864,950009856,111,32,/input/data/work/a4/cf1bbd0eecfec296c46c254728f71c,true,-
20,cpu06,80/0fa90e,nf-800fa90ebe1942d4c071a6ada8a977ca,writeLargeFile,20,writeLargeFile (20),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701734296842,1701734297000,1701734393000,96158,1613,-,79.0,0.0,32538624,776908800,33718272,945332224,108829,956303433,260,233490,4096,956301312,176,78,/input/data/work/80/0fa90ebe1942d4c071a6ada8a977ca,true,-
25,cpu08,85/837871,nf-85837871c78798ae65b443079996a4d6,writeLargeFile,25,writeLargeFile (25),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701734296883,1701734297000,1701734392000,95117,1818,-,76.2,0.0,32497664,776908800,33505280,945332224,108854,1001392183,264,244498,4096,1001390080,182,76,/input/data/work/85/837871c78798ae65b443079996a4d6,true,-
16,cpu03,72/108b8e,nf-72108b8efb769f3dac9a212fbbf02a8a,writeLargeFile,16,writeLargeFile (16),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701734296921,1701734297000,1701734392000,95079,1008,-,110.3,0.0,27848704,326901760,27848704,326938624,108838,887097349,254,216594,12288,887095296,5,4,/input/data/work/72/108b8efb769f3dac9a212fbbf02a8a,true,-
23,cpu09,13/bf3087,nf-13bf30879d5c2563a307ab4e95fbfd5b,writeLargeFile,23,writeLargeFile (23),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701734296956,1701734297000,1701734396000,99044,1108,-,108.4,0.0,28160000,422273024,28741632,590696448,108779,1002440721,255,244754,4096,1002438656,102,18,/input/data/work/13/bf30879d5c2563a307ab4e95fbfd5b,true,-
14,cpu01,1b/f9b97a,nf-1bf9b97a9434cbba9ee1463c4c9607ed,writeLargeFile,14,writeLargeFile (14),COMPLETED,0,-,anonymized/test1:fio,10,-,-,10737418240,1,1701734296991,1701734297000,1701734392000,95009,1056,-,109.9,0.0,27754496,326901760,27754496,326938624,108530,961546256,253,234770,0,961544192,4,7,/input/data/work/1b/f9b97a9434cbba9ee1463c4c9607ed,true,-
